model,fp16,batch,delta,delta_sd,mean_cos_to_bs1_fp32,time_s
gpt2_m,0,1,0.08160560355642223,0.004483021838750108,1.0,33.91391372680664
gpt2_m,0,16,0.09960827051767733,0.002582667973536659,0.9790483117103577,3.3502285480499268
gpt2_m,0,32,0.09051372583261641,0.004178902780393994,0.9780609607696533,3.2413244247436523
gpt2_m,1,1,0.08171015434735107,0.004156337793520732,1.0,15.15115237236023
gpt2_m,1,16,0.0997082788067606,0.0021264327175750395,0.9790419936180115,3.053511381149292
gpt2_m,1,32,0.09046485372122702,0.004042179332074609,0.9780957698822021,2.8400111198425293
olmo_1b,0,1,0.08170395319936989,0.0036733133002062237,1.0,32.78636837005615
olmo_1b,0,16,0.08170394347082824,0.0036733313436598516,1.0,5.379695415496826
olmo_1b,0,32,0.08170396263714097,0.0036733780708417267,1.0,4.940956354141235
olmo_1b,1,1,0.08170641937224665,0.003658782087135512,0.9999996423721313,18.330811738967896
olmo_1b,1,16,0.08164152031797628,0.0036757860325395387,0.9999995827674866,4.3397603034973145
olmo_1b,1,32,0.08167000071799169,0.003698209298076771,0.9999995231628418,3.790834665298462
