model,kind,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
gpt2,causal,768,0.1280005705780341,0.004133590203051537,0.1412124060830961,0.009885038888578732,-0.013211835505061996,-1.2330797087127856,0.915,183,0.08955223880597014,397.25158858299255
gpt2_m,causal,1024,0.08160560355642223,0.004483021838750108,0.09064854966052843,0.008140604190246986,-0.00904294610410622,-0.973052388192708,0.865,173,0.13930348258706468,558.6414420604707
gpt2_l,causal,1280,0.0823318127142184,0.004768855434570471,0.12128163238325344,0.006440300661270721,-0.03894981966903503,-4.860401478548746,1.0,200,0.0049751243781094535,740.8248357772827
gpt2_xl,causal,1600,0.07213911640415528,0.002745502873080389,0.11934160925629098,0.006165007960551004,-0.047202492852135715,-6.994296863346884,1.0,200,0.0049751243781094535,916.5770950317384
pythia_410m,causal,1024,0.09838986334657653,0.005186942530350306,0.1336177538145876,0.007596316024200749,-0.035227890468011086,-3.829833749660733,1.0,200,0.0049751243781094535,463.5612206459045
pythia_1b,causal,2048,0.09626459289721648,0.0038772241486359532,0.12721755451583028,0.007003927755162308,-0.0309529616186138,-3.866466810553741,1.0,200,0.0049751243781094535,597.5245223045349
pythia_2b8,causal,2560,0.09806037870291144,0.0043289699184539026,0.13261586228407207,0.007595057487528969,-0.03455548358116063,-3.952752260419283,1.0,200,0.0049751243781094535,591.8868813514711
olmo_1b,causal,2048,0.08170641937224665,0.0036587820871355117,0.11975952587750215,0.006267088015138385,-0.03805310650525552,-5.243689832661658,1.0,200,0.0049751243781094535,523.1348540782928
bge_base,embed,768,0.1213154138175996,0.00574150927823113,0.11604320056963605,0.004811375805542818,0.005272213247963564,0.7038114454091959,0.115,23,0.8855721393034826,413.9838080406189
bge_large,embed,1024,0.120514147222205,0.0075665161143915645,0.1171044939173931,0.0050287198125384455,0.0034096533048118965,0.3752990735305197,0.265,53,0.7363184079601991,604.8948640823363
gte_base,embed,768,0.12423772485100515,0.010938171416591235,0.11212111459699532,0.004533425624355973,0.012116610254009829,1.023326066519059,0.01,2,0.9900497512437813,417.394460439682
gte_large,embed,1024,0.12025215778425373,0.011574566062778851,0.11310389401943485,0.004631993367408163,0.007148263764818862,0.573375081651624,0.055,11,0.9452736318407958,571.5978889465333
gte_qwen2,embed,1536,0.12244129947002914,0.008308373932319372,0.11916955047052745,0.005795421663807386,0.003271748999501723,0.3229776418398856,0.315,63,0.6865671641791045,859.0325829982758
e5_base,embed,768,0.1152156363073348,0.007467612202495539,0.11120987545387853,0.0046191186274641355,0.004005760853456289,0.4561982717627601,0.195,39,0.8059701492537313,303.29506611824036
e5_large,embed,1024,0.11386099242186948,0.009794371956421272,0.1089795304156308,0.0047235025708891034,0.004881462006238679,0.4489164312671173,0.14,28,0.8606965174129353,383.3472723960877
