model,template,d,delta,delta_sd,null_mean,null_sd,excess,z,time_s
gpt2,photo,768,0.1280005705780341,0.004133590203051537,0.14446211822440838,0.0036423718809958264,-0.01646154764637428,-2.9879044033046798,19.405900716781616
gpt2,name_only,768,0.10293169073749693,0.005409783416569966,0.10906474585736546,0.005298637878790511,-0.00613305511986853,-0.8099216809103011,13.947160243988037
gpt2,image,768,0.12763477302457243,0.005022729855284112,0.14592630646990715,0.004031954893762298,-0.018291533445334712,-2.8399278970884914,13.955779314041138
gpt2,closeup,768,0.14548665650718012,0.007121097987627255,0.13888482687143966,0.004682948767675918,0.006601829635740464,0.774597798800565,14.048118591308594
gpt2,this_is,768,0.1327869798597124,0.013049482483638618,0.16451769227227003,0.005017370889460233,-0.03173071241255762,-2.2695906765341984,13.839188575744629
gpt2,wild,768,0.12232401900028092,0.0063123106082269955,0.14548839929860108,0.003964094166308449,-0.02316438029832016,-3.1077227942982453,14.480002164840698
gpt2,def_pair,768,0.13341963283067623,0.008918678853511568,0.13523589254368032,0.006588516485084461,-0.001816259713004087,-0.1637989986858406,14.97888994216919
gpt2,gloss_only,768,0.12471663786930749,0.008307031082121502,0.14437533203774908,0.003930896492234375,-0.019658694168441584,-2.139106649257473,15.536404848098755
gpt2,concept,768,0.13635133933643157,0.005654669255419126,0.1380107076307534,0.004902812513134915,-0.001659368294321839,-0.22171696920869288,14.94485855102539
gpt2,discussion,768,0.13231418436827722,0.004686904742749829,0.14221874044063906,0.005389694073820608,-0.009904556072361848,-1.3866994110853292,12.926940441131592
gpt2_m,photo,1024,0.08160560355642223,0.004483021838750108,0.10094970326994263,0.0036165331929734774,-0.0193440997135204,-3.358391279438441,24.108166456222534
gpt2_m,name_only,1024,0.12639513530720048,0.0068847204519426625,0.13298490466234092,0.005147249839237497,-0.00658976935514044,-0.7665966714147063,21.24256920814514
gpt2_m,image,1024,0.07963233621258414,0.0036387381756456264,0.10808127599539698,0.004026110356306762,-0.028448939782812835,-5.242320671345975,21.554583311080933
gpt2_m,closeup,1024,0.07964415076926273,0.0046444291049524515,0.09717976621947998,0.00352272617094954,-0.017535615450217243,-3.0082039135866956,22.384747743606567
gpt2_m,this_is,1024,0.07713470316882898,0.0036669333744020456,0.09896120494077058,0.0034110373875106607,-0.021826501771941606,-4.3581956245340345,22.039041996002197
gpt2_m,wild,1024,0.09040559892781706,0.004622575869346595,0.1575634268621294,0.008535661812482874,-0.06715782793431234,-6.918499047558285,22.114306449890137
gpt2_m,def_pair,1024,0.06909131545059746,0.002691823484287354,0.08783649667872795,0.004857122834342719,-0.018745181228130486,-3.3755898214068134,21.424968719482422
gpt2_m,gloss_only,1024,0.06703430810811928,0.003913529337304117,0.09671172075245589,0.003913032377321535,-0.029677412644336612,-5.362533498550837,22.14769148826599
gpt2_m,concept,1024,0.085326435384566,0.004852906203961393,0.0881267430906052,0.004354280903258438,-0.002800307706039201,-0.4294947397536341,21.708869218826294
gpt2_m,discussion,1024,0.06691933631435991,0.003621570866599215,0.08026056934591597,0.003456763639833075,-0.013341233031556057,-2.664785145233485,21.95249104499817
gpt2_l,photo,1280,0.0823318127142184,0.0047688554345704706,0.12529180665178324,0.0058990378369648214,-0.04295999393756485,-5.663395700711263,62.08602595329285
gpt2_l,name_only,1280,0.07515079233332264,0.003666919090082308,0.1235714284360931,0.004442103698839415,-0.04842063610277046,-8.406236171671415,26.783205032348633
gpt2_l,image,1280,0.07407058320846607,0.0024225339100118924,0.12450285433928605,0.0048104275731997905,-0.05043227113081998,-9.363603509629577,27.36884617805481
gpt2_l,closeup,1280,0.08015832914562544,0.007728352517868062,0.1242833799469815,0.006458148321394557,-0.044125050801356064,-4.381179642827713,26.97196364402771
gpt2_l,this_is,1280,0.08038215571345435,0.004528352928665895,0.12257877318506279,0.007221007671358354,-0.04219661747160844,-4.950659095057067,27.367469787597656
gpt2_l,wild,1280,0.11224982668894287,0.005305357720220601,0.12587835607114406,0.004629908322435242,-0.013628529382201188,-1.935455351113392,27.03852653503418
gpt2_l,def_pair,1280,0.091464371307918,0.004935511293487224,0.12732004515941409,0.005557963480499875,-0.03585567385149609,-4.823817231207439,27.43572974205017
gpt2_l,gloss_only,1280,0.09231668824724973,0.003166031429860243,0.12580830150557606,0.004684904493807544,-0.033491613258326336,-5.9231207621937045,26.990933179855347
gpt2_l,concept,1280,0.06994159239784278,0.004154095271244597,0.11319080854366596,0.004241418244472656,-0.04324921614582318,-7.284881351267705,26.89343523979187
gpt2_l,discussion,1280,0.07424839221637594,0.0030769581739869584,0.1151030785147517,0.00409659360812416,-0.040854686298375756,-7.974056118872958,26.917439460754395
gpt2_xl,photo,1600,0.07213911640415527,0.002745502873080389,0.12252822598497128,0.005783737818926228,-0.05038910958081601,-7.870473388254919,95.88750147819519
gpt2_xl,name_only,1600,0.06825493267125042,0.004104261319130937,0.11956095130677524,0.0036990615486036838,-0.05130601863552482,-9.285793358941458,33.53232288360596
gpt2_xl,image,1600,0.07105717741326524,0.002097275454237128,0.12041019321924729,0.0052787643460562896,-0.049353015805982045,-8.688706913976196,33.496315002441406
gpt2_xl,closeup,1600,0.07301312911789873,0.0031357707199260332,0.12200957104530359,0.005251561024066283,-0.04899644192740486,-8.010495182396507,33.196682929992676
gpt2_xl,this_is,1600,0.07474006930981328,0.003509130445361288,0.1204344342503203,0.006631615295649946,-0.04569436494050702,-6.090291503489576,33.2078697681427
gpt2_xl,wild,1600,0.11289543851971595,0.002412320625089864,0.12303474408786584,0.0038177819637666044,-0.01013930556814989,-2.2451689083915842,33.113200187683105
gpt2_xl,def_pair,1600,0.0856323501175826,0.0035764338512320575,0.12065469344562496,0.004865653947578401,-0.035022343328042355,-5.799683697439629,33.31168341636658
