model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s,genuine,p_bh,genuine_bh
i21k_t,imagenet,haar,p999,1000,192,0.08783908467353604,0.0003035147351940353,0.09281630855527488,0.0045870907694923035,-0.0049772238817388246,-1.0826827731848814,0.845,169,0.15920398009950248,285.557772397995,False,0.19428282317227422,False
i21k_s,imagenet,haar,p999,1000,384,0.06289278478250815,0.00026560569479597545,0.07518287514874017,0.003315142360881404,-0.01229009036623202,-3.695417150697983,1.0,200,0.0049751243781094535,326.823575258255,True,0.009426551453260016,True
i21k_b,imagenet,haar,p999,1000,768,0.05393620095877087,0.00019941582908156085,0.07010633399869341,0.003029123212252993,-0.01617013303992254,-5.3266919183370645,1.0,200,0.0049751243781094535,564.4043984413148,True,0.009426551453260016,True
i21k_l,imagenet,haar,p999,1000,1024,0.05545452090601352,0.00017080526901697715,0.07119662953357829,0.003115564280340811,-0.015742108627564776,-5.0451549961575415,1.0,200,0.0049751243781094535,732.6665785312653,True,0.009426551453260016,True
dinov1_b,imagenet,haar,p999,1000,768,0.0552455916591852,0.0003731814462132311,0.07552051380706402,0.002235248793202896,-0.020274922147878818,-8.946713583723326,1.0,200,0.0049751243781094535,554.0517594814299,True,0.009426551453260016,True
dinov2_s,imagenet,haar,p999,1000,384,0.05293377280502317,0.00023910565046815884,0.06909242501008404,0.0009185910204642494,-0.016158652205060874,-17.023439950862638,1.0,200,0.0049751243781094535,367.4940209388733,True,0.009426551453260016,True
dinov2_b,imagenet,haar,p999,1000,768,0.033561652366344834,0.00016182450755775234,0.050268250519337386,0.0004683316427349872,-0.016706598152992566,-33.71654663930341,1.0,200,0.0049751243781094535,499.1215751171112,True,0.009426551453260016,True
dinov2_l,imagenet,haar,p999,1000,1024,0.029723104229456367,0.00011737536245415696,0.04325991523214073,0.00040368130181218297,-0.013536811002684362,-32.19988970160432,1.0,200,0.0049751243781094535,747.1644082069397,True,0.009426551453260016,True
dinov2_g,imagenet,haar,p999,1000,1536,0.03264781036605507,0.0004987619777615,0.04066993997930656,0.00033107855369757705,-0.008022129613251487,-13.40046599765964,1.0,200,0.0049751243781094535,1019.9852147102356,True,0.009426551453260016,True
clip_b,imagenet,haar,p999,1000,512,0.08431129786955477,0.00026180391642323636,0.0908513079827971,0.005097624167832604,-0.006540010113242317,-1.281263938785866,0.86,172,0.14427860696517414,415.35897159576416,False,0.1791044776119403,False
clip_l,imagenet,haar,p999,1000,768,0.07603490956647023,0.00028942422421858796,0.08512123137872084,0.004356511235507545,-0.009086321812250622,-2.0811001739714308,0.985,197,0.01990049751243781,461.9166059494018,True,0.030485868529691963,True
siglip_b,imagenet,haar,p999,1000,768,0.07474222652776473,0.00034010496388139314,0.08233238044553798,0.004517535511246537,-0.007590153917773262,-1.6754123482459655,0.945,189,0.059701492537313425,430.1817922592163,False,0.08266360505166473,False
i21k_t,cifar100,haar,p999,100,192,0.13091116037629616,0.00018946347045129994,0.13735744238150233,0.008440346745269561,-0.006446282005206167,-0.7635537643967629,0.755,151,0.24875621890547264,105.72660279273987,False,0.28887818969667794,False
i21k_s,cifar100,haar,p999,100,384,0.122018838875406,0.00031181699995200686,0.1223685769101924,0.0069892044245463214,-0.0003497380347863982,-0.04999002318642109,0.555,111,0.4477611940298508,112.07917737960815,False,0.46722907203114866,False
i21k_b,cifar100,haar,p999,100,768,0.12592955120900734,0.00041531548991135056,0.12020199790546808,0.007242950937969663,0.00572755330353926,0.7894793924098499,0.215,43,0.7860696517412935,120.6644971370697,False,0.7971410552869455,False
i21k_l,cifar100,haar,p999,100,1024,0.09395713512929824,0.0002113500247731973,0.11443380939662295,0.00510465479628416,-0.020476674267324704,-4.007939153658983,1.0,200,0.0049751243781094535,118.48936820030212,True,0.009426551453260016,True
dinov1_b,cifar100,haar,p999,100,768,0.08217579478434547,0.00020743078514805192,0.11381148827407085,0.0041332149761274285,-0.031635693489725385,-7.644395201469978,1.0,200,0.0049751243781094535,114.17798042297363,True,0.009426551453260016,True
dinov2_s,cifar100,haar,p999,100,384,0.0672418727517851,0.00028089798370294533,0.09782655450877624,0.003114416408953809,-0.03058468175699114,-9.780656257465166,1.0,200,0.0049751243781094535,95.21812176704408,True,0.009426551453260016,True
dinov2_b,cifar100,haar,p999,100,768,0.049220013861640696,0.00022545167916675392,0.08054139090402285,0.002093727387020954,-0.03132137704238215,-14.873644599088502,1.0,200,0.0049751243781094535,119.75198650360107,True,0.009426551453260016,True
dinov2_l,cifar100,haar,p999,100,1024,0.036464683107390115,0.00016461804818072786,0.07129818006414429,0.0015687160243546545,-0.03483349695675417,-22.083839774435702,1.0,200,0.0049751243781094535,139.96914196014404,True,0.009426551453260016,True
dinov2_g,cifar100,haar,p999,100,1536,0.030008624669895567,0.00014585741071636364,0.06955806561947654,0.0013606769359124171,-0.039549440949580975,-28.90043474734837,1.0,200,0.0049751243781094535,129.23763608932495,True,0.009426551453260016,True
clip_b,cifar100,haar,p999,100,512,0.1009863390958035,0.00035877607415080425,0.12043992342193036,0.006245658290681192,-0.019453584326126844,-3.109610861995592,1.0,200,0.0049751243781094535,118.94784736633301,True,0.009426551453260016,True
clip_l,cifar100,haar,p999,100,768,0.09706439934187908,0.0005306858483585809,0.11515968908603827,0.005027764673935125,-0.018095289744159197,-3.5791898379550977,1.0,200,0.0049751243781094535,128.66062641143802,True,0.009426551453260016,True
siglip_b,cifar100,haar,p999,100,768,0.09781604158699787,0.0005469030512733434,0.11978152350086715,0.0050594220803632595,-0.02196548191386928,-4.3163556902265094,1.0,200,0.0049751243781094535,128.70107698440552,True,0.009426551453260016,True
i21k_t,cifar10,haar,p999,10,192,0.12219879620197655,0.0,0.1435442461375456,0.020278003826613492,-0.021345449935569027,-1.0526405911589083,0.86,172,0.14427860696517414,104.85016322135924,False,0.1791044776119403,False
i21k_s,cifar10,haar,p999,10,384,0.0859252978448907,1.3877787807814454e-17,0.1418708668987863,0.021078414112684844,-0.05594556905389561,-2.6541640540323166,1.0,200,0.0049751243781094535,104.7650830745697,True,0.009426551453260016,True
i21k_b,cifar10,haar,p999,10,768,0.08912335947310047,0.0,0.13903045869875175,0.02056259606690788,-0.04990709922565127,-2.427081632263766,1.0,200,0.0049751243781094535,104.94965124130249,True,0.009426551453260016,True
i21k_l,cifar10,haar,p999,10,1024,0.08357815749110106,1.3877787807814454e-17,0.14319269887661487,0.020940013445257324,-0.059614541385513815,-2.8469199191949817,1.0,200,0.0049751243781094535,99.13202023506165,True,0.009426551453260016,True
dinov1_b,cifar10,haar,p999,10,768,0.08839522628605256,0.0,0.14975446162710931,0.022826562019597933,-0.06135923534105675,-2.6880629368704887,1.0,200,0.0049751243781094535,123.989337682724,True,0.009426551453260016,True
dinov2_s,cifar10,haar,p999,10,384,0.08393180116410727,0.0,0.15496435990539498,0.025228295025308288,-0.07103255874128772,-2.815590933514529,1.0,200,0.0049751243781094535,98.40702986717224,True,0.009426551453260016,True
dinov2_b,cifar10,haar,p999,10,768,0.045766195304774486,0.0,0.15794877476986,0.025917912898771538,-0.1121825794650855,-4.3283801401463435,1.0,200,0.0049751243781094535,98.7598557472229,True,0.009426551453260016,True
dinov2_l,cifar10,haar,p999,10,1024,0.02745945866246001,0.0,0.15502384647685913,0.02599844877394498,-0.12756438781439913,-4.906615349383502,1.0,200,0.0049751243781094535,96.69336748123169,True,0.009426551453260016,True
dinov2_g,cifar10,haar,p999,10,1536,0.02540740300216212,0.0,0.15567727533238793,0.02690369594517648,-0.1302698723302258,-4.842080902032409,1.0,200,0.0049751243781094535,101.20837330818176,True,0.009426551453260016,True
clip_b,cifar10,haar,p999,10,512,0.10510009138196408,0.0,0.1413910634953162,0.019973048031488257,-0.03629097211335211,-1.8169971882177443,0.975,195,0.02985074626865672,97.24434924125671,True,0.04386232104782212,True
clip_l,cifar10,haar,p999,10,768,0.09893099602982093,0.0,0.14217303765861608,0.021832387084267917,-0.043242041628795136,-1.9806373651168303,0.995,199,0.009950248756218905,96.19244384765624,True,0.017057569296375266,True
siglip_b,cifar10,haar,p999,10,768,0.08738363341151585,1.3877787807814454e-17,0.13756801148396192,0.019466347953009857,-0.05018437807244607,-2.5780068348509424,0.995,199,0.009950248756218905,97.28677701950072,True,0.017057569296375266,True
i21k_t,dtd,haar,p999,47,192,0.1105465467483246,0.0002472334637240465,0.12475382159559395,0.006972941435007293,-0.014207274847269332,-2.0362071226441807,0.985,197,0.01990049751243781,118.53347373008728,True,0.030485868529691963,True
i21k_s,dtd,haar,p999,47,384,0.09584507552385388,0.0003461725965027012,0.11444203183821555,0.005553982856272828,-0.01859695631436166,-3.3419148641391083,0.995,199,0.009950248756218905,112.2520227432251,True,0.017057569296375266,True
i21k_b,dtd,haar,p999,47,768,0.08885700661181575,0.0004494266024590538,0.10963020494911543,0.0049248230149972795,-0.02077319833729968,-4.200604996386281,1.0,200,0.0049751243781094535,106.01126098632812,True,0.009426551453260016,True
i21k_l,dtd,haar,p999,47,1024,0.07733017339604878,0.0003670979005732898,0.108431184297985,0.0045526190960846254,-0.031101010901936232,-6.809353605207316,1.0,200,0.0049751243781094535,111.46263265609741,True,0.009426551453260016,True
dinov1_b,dtd,haar,p999,47,768,0.095200424225416,0.0003949681991277883,0.12235467771685553,0.005597052401097143,-0.02715425349143953,-4.839492760921951,1.0,200,0.0049751243781094535,104.70272755622864,True,0.009426551453260016,True
dinov2_s,dtd,haar,p999,47,384,0.10531931977064338,0.00042696525002554325,0.12318498222627622,0.004989508978836911,-0.01786566245563284,-3.5676070379771465,1.0,200,0.0049751243781094535,109.20960354804993,True,0.009426551453260016,True
dinov2_b,dtd,haar,p999,47,768,0.07665548771119285,0.00038836079159903727,0.11169181572234332,0.0040189928913698676,-0.035036328011150475,-8.677270075873286,1.0,200,0.0049751243781094535,99.52811121940613,True,0.009426551453260016,True
dinov2_l,dtd,haar,p999,47,1024,0.06926402629604357,0.0003943455218830268,0.11122027160835957,0.0036145014258347156,-0.04195624531231597,-11.539281561639116,1.0,200,0.0049751243781094535,100.20633983612059,True,0.009426551453260016,True
dinov2_g,dtd,haar,p999,47,1536,0.07308887946938485,0.0002303184640741918,0.1117244415705758,0.0038877217614811423,-0.038635562101190964,-9.920447819683806,1.0,200,0.0049751243781094535,100.39982342720032,True,0.009426551453260016,True
clip_b,dtd,haar,p999,47,512,0.09882658147110926,0.00018551046647280768,0.12279249196725385,0.0065203900653839145,-0.02396591049614459,-3.6740465746779902,1.0,200,0.0049751243781094535,90.08071994781494,True,0.009426551453260016,True
clip_l,dtd,haar,p999,47,768,0.09791602685789023,0.0002366032967465189,0.1245343432516434,0.005827877381952468,-0.026618316393753144,-4.5636524291785525,1.0,200,0.0049751243781094535,90.48302698135376,True,0.009426551453260016,True
siglip_b,dtd,haar,p999,47,768,0.0961696797036115,0.00023303961698772178,0.1194683453264985,0.005572360841775366,-0.023298665622887,-4.1774606308046165,1.0,200,0.0049751243781094535,88.15425944328308,True,0.009426551453260016,True
