model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
i21k_t,cifar100,haar,p999,100,192,0.13091116037629616,0.00018946347045129994,0.13735744238150233,0.008440346745269561,-0.0064462820052061665,-0.7635537643967629,0.755,151,0.24875621890547264,105.72660279273987
i21k_s,cifar100,haar,p999,100,384,0.12201883887540599,0.0003118169999520068,0.12236857691019239,0.006989204424546321,-0.0003497380347863982,-0.04999002318642109,0.555,111,0.44776119402985076,112.07917737960815
i21k_b,cifar100,haar,p999,100,768,0.12592955120900734,0.00041531548991135056,0.12020199790546808,0.007242950937969662,0.0057275533035392595,0.78947939240985,0.215,43,0.7860696517412935,120.6644971370697
i21k_l,cifar100,haar,p999,100,1024,0.09395713512929824,0.00021135002477319726,0.11443380939662294,0.00510465479628416,-0.020476674267324704,-4.007939153658983,1.0,200,0.004975124378109453,118.48936820030212
dinov1_b,cifar100,haar,p999,100,768,0.08217579478434547,0.00020743078514805192,0.11381148827407085,0.004133214976127428,-0.03163569348972538,-7.644395201469979,1.0,200,0.004975124378109453,114.17798042297363
dinov2_s,cifar100,haar,p999,100,384,0.0672418727517851,0.00028089798370294533,0.09782655450877624,0.0031144164089538084,-0.03058468175699114,-9.780656257465166,1.0,200,0.004975124378109453,95.21812176704407
dinov2_b,cifar100,haar,p999,100,768,0.049220013861640696,0.0002254516791667539,0.08054139090402285,0.002093727387020954,-0.03132137704238215,-14.873644599088502,1.0,200,0.004975124378109453,119.75198650360107
dinov2_l,cifar100,haar,p999,100,1024,0.03646468310739012,0.00016461804818072786,0.07129818006414429,0.0015687160243546543,-0.03483349695675417,-22.083839774435706,1.0,200,0.004975124378109453,139.96914196014404
dinov2_g,cifar100,haar,p999,100,1536,0.030008624669895567,0.00014585741071636364,0.06955806561947654,0.0013606769359124171,-0.039549440949580975,-28.900434747348374,1.0,200,0.004975124378109453,129.23763608932495
clip_b,cifar100,haar,p999,100,512,0.1009863390958035,0.00035877607415080425,0.12043992342193034,0.006245658290681192,-0.019453584326126844,-3.1096108619955913,1.0,200,0.004975124378109453,118.94784736633301
clip_l,cifar100,haar,p999,100,768,0.09706439934187909,0.0005306858483585808,0.11515968908603828,0.005027764673935125,-0.018095289744159193,-3.5791898379550977,1.0,200,0.004975124378109453,128.660626411438
siglip_b,cifar100,haar,p999,100,768,0.09781604158699787,0.0005469030512733433,0.11978152350086715,0.005059422080363259,-0.02196548191386928,-4.31635569022651,1.0,200,0.004975124378109453,128.70107698440552
i21k_t,cifar10,haar,p999,10,192,0.12219879620197657,0.0,0.1435442461375456,0.02027800382661349,-0.021345449935569027,-1.0526405911589083,0.86,172,0.14427860696517414,104.85016322135925
