model,kind,null,stat,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s,genuine,p_bh,genuine_bh
gpt2,causal,gauss,p999,768,0.07726838992912052,0.00033664364507023054,0.0905445431539513,0.005509234467883221,-0.013276153224830778,-2.40531362945362,0.995,199,0.009950248756218905,189.34171438217163,True,0.021321961620469083,True
gpt2_m,causal,gauss,p999,1024,0.0518141399008048,0.00017089569638776818,0.056930266023406936,0.004487817983296922,-0.005116126122602142,-1.139177385624066,0.855,171,0.14925373134328354,265.0277440547943,False,0.27985074626865664,False
gpt2_l,causal,gauss,p999,1280,0.0527819312943156,0.00013325561868488288,0.07755131058935168,0.003951408584318629,-0.02476937929503608,-6.26493209105258,1.0,200,0.0049751243781094535,326.82891988754267,True,0.012437810945273632,True
gpt2_xl,causal,gauss,p999,1600,0.04795416565775894,0.00025398454432635457,0.07632200624065419,0.0038171323206534656,-0.02836784058289525,-7.415318440816648,1.0,200,0.0049751243781094535,452.4176607131958,True,0.012437810945273632,True
pythia_410m,causal,gauss,p999,1024,0.0674117647438742,0.0001958876317542593,0.0867982093559959,0.004411301366663963,-0.019386444612121703,-4.390395792169299,1.0,200,0.0049751243781094535,292.24945878982544,True,0.012437810945273632,True
pythia_1b,causal,gauss,p999,2048,0.06606350117737178,0.00019008801918193101,0.08209668933289686,0.004289148056458529,-0.016033188155525083,-3.734416618511184,1.0,200,0.0049751243781094535,451.7577538490296,True,0.012437810945273632,True
pythia_2b8,causal,gauss,p999,2560,0.06644288873366122,0.00030621786577728744,0.08455968499970247,0.004085719982311289,-0.01811679626604124,-4.421773008240303,1.0,200,0.0049751243781094535,439.93959283828735,True,0.012437810945273632,True
olmo_1b,causal,gauss,p999,2048,0.05088700973466024,0.00012764341645016682,0.07673353696209856,0.003885046869369628,-0.02584652722743832,-6.649234695364673,1.0,200,0.0049751243781094535,408.85791945457464,True,0.012437810945273632,True
bge_base,embed,gauss,p999,768,0.07757440450260705,0.00034215080330364734,0.07694857233040672,0.002779528939785562,0.0006258321722003303,0.2234708998797126,0.46,92,0.5422885572139303,189.03704524040225,False,0.6257175660160734,False
bge_large,embed,gauss,p999,1024,0.07779356420824983,0.00031467815337460076,0.07787248591267842,0.0033140398473819857,-7.892170442860835e-05,-0.023707714376071,0.555,111,0.4477611940298508,264.8108336925506,False,0.610583446404342,False
gte_base,embed,gauss,p999,768,0.07557151636880924,0.00029630479875114986,0.07470464172354373,0.0023686613207325245,0.0008668746452655113,0.3631463024860572,0.395,79,0.6069651741293532,188.6699149608612,False,0.6467661691542289,False
gte_large,embed,gauss,p999,1024,0.07462552104594429,0.0003921969375582432,0.07518692022005607,0.0029368446725386967,-0.0005613991741117846,-0.1894751829473045,0.605,121,0.39800995024875613,269.4643325805664,False,0.5970149253731342,False
gte_qwen2,embed,gauss,p999,1536,0.07770928910628393,0.0003523944470637862,0.0776439066132592,0.0035341313399065545,6.5382493024721e-05,0.018409011996444867,0.5,100,0.5024875621890548,424.41218447685236,False,0.6257175660160734,False
e5_base,embed,gauss,p999,768,0.0742891351387698,0.0003454607710036149,0.07311289682364516,0.0026455207695753797,0.0011762383151246306,0.4408720525937631,0.355,71,0.6467661691542289,214.99114990234372,False,0.6467661691542289,False
e5_large,embed,gauss,p999,1024,0.07093733007206543,0.00017366111520599202,0.07170346506370001,0.0031001539378984685,-0.0007661349916345955,-0.24674122711217786,0.62,124,0.38308457711442784,280.02695894241333,False,0.5970149253731342,False
