model,kind,null,stat,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s,genuine,p_bh,genuine_bh
gpt2,causal,haar,p999,768,0.07726838992912052,0.00033664364507023054,0.09044045991789887,0.006787737251693922,-0.013172069988778344,-1.9381863694272166,0.985,197,0.01990049751243781,431.7691204547882,True,0.042643923240938165,True
gpt2_m,causal,haar,p999,1024,0.0518141399008048,0.00017089569638776818,0.05693569922393145,0.004486794871573591,-0.005121559323126647,-1.1406468268279581,0.85,170,0.15422885572139305,595.2453491687775,False,0.28917910447761197,False
gpt2_l,causal,haar,p999,1280,0.0527819312943156,0.00013325561868488288,0.07584319890676787,0.003806655281572396,-0.023061267612452287,-6.05443599277113,1.0,200,0.0049751243781094535,808.8295691013336,True,0.01492537313432836,True
gpt2_xl,causal,haar,p999,1600,0.04795416565775894,0.00025398454432635457,0.0744589367116355,0.003645351419138828,-0.02650477105387657,-7.253257335009001,1.0,200,0.0049751243781094535,976.6567025184632,True,0.01492537313432836,True
pythia_410m,causal,haar,p999,1024,0.0674117647438742,0.0001958876317542593,0.08556082572707803,0.004276768005626104,-0.018149060983203832,-4.239194994195252,1.0,200,0.0049751243781094535,529.6626982688904,True,0.01492537313432836,True
pythia_1b,causal,haar,p999,2048,0.06606350117737178,0.00019008801918193101,0.08068123964768159,0.004168239742953033,-0.01461773847030981,-3.5032921962681165,0.995,199,0.009950248756218905,646.8375818729402,True,0.02487562189054726,True
pythia_2b8,causal,haar,p999,2560,0.06644288873366122,0.00030621786577728744,0.08316997392017386,0.0039410591936909385,-0.016727085186512627,-4.231557943490146,1.0,200,0.0049751243781094535,600.3167223930359,True,0.01492537313432836,True
olmo_1b,causal,haar,p999,2048,0.05088700973466024,0.00012764341645016682,0.0749342660984424,0.00371922092564905,-0.024047256363782167,-6.461865863218873,1.0,200,0.0049751243781094535,527.9490396976471,True,0.01492537313432836,True
bge_base,embed,haar,p999,768,0.07757440450260705,0.00034215080330364734,0.07442747367120127,0.0032325644081692266,0.0031469308314057967,0.968101293162408,0.13,26,0.8706467661691543,454.4396994113922,False,0.9452736318407958,False
bge_large,embed,haar,p999,1024,0.07779356420824983,0.00031467815337460076,0.0753159149415454,0.00312930421523597,0.0024776492667044213,0.7877842158725601,0.245,49,0.7562189054726368,641.7365357875824,False,0.9452736318407958,False
gte_base,embed,haar,p999,768,0.07557151636880924,0.00029630479875114986,0.07158724137342637,0.0026420032514770874,0.003984274995382856,1.4986551833833297,0.055,11,0.9452736318407958,465.1157145500183,False,0.9452736318407958,False
gte_large,embed,haar,p999,1024,0.07462552104594429,0.0003921969375582432,0.07212262036808567,0.00272938261144891,0.0025029006778586192,0.9076975960735636,0.18,36,0.8208955223880597,613.1908848285675,False,0.9452736318407958,False
gte_qwen2,embed,haar,p999,1536,0.07770928910628393,0.0003523944470637862,0.07540899195833065,0.0033769376479199087,0.002300297147953281,0.6774995861878391,0.29,58,0.7114427860696517,914.1496415138243,False,0.9452736318407958,False
e5_base,embed,haar,p999,768,0.0742891351387698,0.0003454607710036149,0.0702344623095183,0.0030120297016936718,0.004054672829251496,1.337391928417501,0.075,15,0.9253731343283582,367.4934754371643,False,0.9452736318407958,False
e5_large,embed,haar,p999,1024,0.07093733007206543,0.00017366111520599202,0.06859698115869557,0.0028555950548353505,0.002340348913369844,0.8180547599153108,0.22,44,0.7810945273631841,409.8107624053955,False,0.9452736318407958,False
