model,kind,null,stat,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s,genuine,p_bh,genuine_bh
gpt2,causal,haar,sup,768,0.1280005705780341,0.004133590203051537,0.14056140769993694,0.011362256026499928,-0.012560837121902868,-1.0388756535367152,0.86,172,0.14427860696517414,453.05266404151917,False,0.2705223880597015,False
gpt2_m,causal,haar,sup,1024,0.08160560355642223,0.004483021838750108,0.09055022601063968,0.008036293089775704,-0.008944622454217455,-0.9720148356382748,0.87,174,0.13432835820895522,639.696923494339,False,0.2705223880597015,False
gpt2_l,causal,haar,sup,1280,0.0823318127142184,0.004768855434570471,0.11939935768913078,0.006466300790306114,-0.03706754497491238,-4.6134815275804915,1.0,200,0.0049751243781094535,817.2123062610626,True,0.012437810945273632,True
gpt2_xl,causal,haar,sup,1600,0.07213911640415528,0.002745502873080389,0.1171962220796156,0.006228334817543746,-0.04505710567546034,-6.619610234988079,1.0,200,0.0049751243781094535,985.2825429439544,True,0.012437810945273632,True
pythia_410m,causal,haar,sup,1024,0.09838986334657653,0.005186942530350306,0.13212172808674902,0.007505417904621238,-0.03373186474017248,-3.697307812221622,1.0,200,0.0049751243781094535,534.1424477100371,True,0.012437810945273632,True
pythia_1b,causal,haar,sup,2048,0.09626459289721648,0.0038772241486359532,0.12558707852763967,0.007071549814031966,-0.029322485630423195,-3.635896996111817,1.0,200,0.0049751243781094535,643.4772846698761,True,0.012437810945273632,True
pythia_2b8,causal,haar,sup,2560,0.09806037870291144,0.0043289699184539026,0.1310991928129651,0.007690215191423455,-0.03303881411005365,-3.7438046480831,1.0,200,0.0049751243781094535,580.6366410255432,True,0.012437810945273632,True
olmo_1b,causal,haar,sup,2048,0.08170641937224665,0.0036587820871355117,0.11765530595867606,0.006279008634832863,-0.035948886586429384,-4.946710817014743,1.0,200,0.0049751243781094535,515.4059941768646,True,0.012437810945273632,True
bge_base,embed,haar,sup,768,0.1213154138175996,0.00574150927823113,0.11273493358650055,0.005058201319354031,0.008580480231099072,1.1213648114693462,0.045,9,0.9552238805970148,444.155041217804,False,1.0,False
bge_large,embed,haar,sup,1024,0.120514147222205,0.0075665161143915645,0.11396408391931075,0.004912414934935249,0.006550063302894246,0.7260658612696097,0.07,14,0.9303482587064676,633.3766453266144,False,1.0,False
gte_base,embed,haar,sup,768,0.12423772485100515,0.010938171416591235,0.10771124829578653,0.004167130022879142,0.01652647655521862,1.4119080376131106,0.0,0,1.0,475.3730490207672,False,1.0,False
gte_large,embed,haar,sup,1024,0.12025215778425373,0.011574566062778851,0.10924677365633244,0.004428566544535101,0.011005384127921264,0.8880428904072213,0.005,1,0.9950248756218906,656.847452878952,False,1.0,False
gte_qwen2,embed,haar,sup,1536,0.12244129947002914,0.008308373932319372,0.1163932388622311,0.0058831283188522186,0.006048060607798071,0.5940894685788161,0.15,30,0.8507462686567164,879.4395861625671,False,1.0,False
e5_base,embed,haar,sup,768,0.1152156363073348,0.007467612202495539,0.10755410652471414,0.004831457810143449,0.007661529782620662,0.8613996624141259,0.045,9,0.9552238805970148,384.9795780181885,False,1.0,False
e5_large,embed,haar,sup,1024,0.11386099242186948,0.009794371956421272,0.105248997442155,0.004719844424671874,0.008611994979714502,0.7921050953189596,0.035,7,0.965174129353234,428.95642137527466,False,1.0,False
