model,dataset,null,stat,n,d,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
i21k_t,cifar100,haar,sup,100,192,0.16886612693773034,0.0027071835325949705,0.20570510850710855,0.01127315123066731,-0.036838981569378204,-3.1775129667147155,1.0,200,0.004975124378109453,110.8888931274414
i21k_s,cifar100,haar,sup,100,384,0.1565304832589991,0.005482901565579968,0.18179376513399148,0.009868304366414686,-0.025263281874992383,-2.2378309467001967,1.0,200,0.004975124378109453,110.9991455078125
i21k_b,cifar100,haar,sup,100,768,0.1691518489653338,0.003852999500419518,0.17951735437975244,0.010685843512004143,-0.010365505414418635,-0.9125156607325523,0.83,166,0.17412935323383086,113.80322122573853
i21k_l,cifar100,haar,sup,100,1024,0.13567005864275186,0.002268764796920949,0.16933844773368534,0.007873241676117505,-0.033668389090933476,-4.109103711657032,1.0,200,0.004975124378109453,113.32295680046082
dinov1_b,cifar100,haar,sup,100,768,0.11419533445939303,0.0037573232522253074,0.166793820198488,0.007014048001756375,-0.05259848573909498,-6.61031528446369,1.0,200,0.004975124378109453,116.9866452217102
dinov2_s,cifar100,haar,sup,100,384,0.11326184133440934,0.00335544793386342,0.14356775732859944,0.005538678485624293,-0.030305915994190108,-4.679871883792032,1.0,200,0.004975124378109453,113.5098946094513
dinov2_b,cifar100,haar,sup,100,768,0.11196180005418092,0.002229551727113432,0.11853942795393177,0.004591058208724265,-0.006577627899750846,-1.2887721364895517,0.94,188,0.06467661691542288,119.86795568466187
dinov2_l,cifar100,haar,sup,100,1024,0.0983998808058492,0.0019029998758363228,0.10481991226507782,0.003987580461370825,-0.00642003145922862,-1.4530237247468811,0.955,191,0.04975124378109453,119.49103331565857
dinov2_g,cifar100,haar,sup,100,1536,0.06984616018097747,0.002435097721995694,0.10226834959340804,0.0036937259601005266,-0.032422189412430566,-7.328417024585745,1.0,200,0.004975124378109453,125.08380007743835
clip_b,cifar100,haar,sup,100,512,0.14103894015431093,0.0027354401390508286,0.17756646771887546,0.009157900559260189,-0.03652752756456454,-3.821787496043022,1.0,200,0.004975124378109453,117.57403087615967
clip_l,cifar100,haar,sup,100,768,0.1406566097510245,0.002964240248211589,0.16952858334433454,0.007747034139494567,-0.028871973593310035,-3.480743087853517,1.0,200,0.004975124378109453,120.38322257995605
siglip_b,cifar100,haar,sup,100,768,0.14569211362869644,0.003471695574866869,0.175322068715195,0.007759803378540924,-0.02962995508649857,-3.4854617656799936,1.0,200,0.004975124378109453,121.41738677024841
i21k_t,cifar10,haar,sup,10,192,0.12219879620197657,0.0,0.1435442461375456,0.02027800382661349,-0.021345449935569027,-1.0526405911589083,0.86,172,0.14427860696517414,100.0875096321106
i21k_s,cifar10,haar,sup,10,384,0.0859252978448907,1.3877787807814457e-17,0.1418708668987863,0.021078414112684844,-0.05594556905389561,-2.654164054032317,1.0,200,0.004975124378109453,100.96493744850159
i21k_b,cifar10,haar,sup,10,768,0.08912335947310047,0.0,0.13903045869875175,0.02056259606690788,-0.04990709922565127,-2.427081632263766,1.0,200,0.004975124378109453,102.29690670967102
i21k_l,cifar10,haar,sup,10,1024,0.08357815749110106,1.3877787807814457e-17,0.14319269887661487,0.020940013445257324,-0.05961454138551381,-2.8469199191949817,1.0,200,0.004975124378109453,94.78431344032288
dinov1_b,cifar10,haar,sup,10,768,0.08839522628605256,0.0,0.14975446162710931,0.022826562019597933,-0.06135923534105675,-2.688062936870488,1.0,200,0.004975124378109453,95.08275532722473
dinov2_s,cifar10,haar,sup,10,384,0.08393180116410728,0.0,0.154964359905395,0.025228295025308288,-0.07103255874128772,-2.8155909335145295,1.0,200,0.004975124378109453,94.59460473060608
dinov2_b,cifar10,haar,sup,10,768,0.04576619530477449,0.0,0.15794877476986,0.025917912898771538,-0.1121825794650855,-4.328380140146344,1.0,200,0.004975124378109453,95.43420267105103
dinov2_l,cifar10,haar,sup,10,1024,0.027459458662460006,0.0,0.15502384647685913,0.02599844877394498,-0.12756438781439913,-4.906615349383502,1.0,200,0.004975124378109453,95.01166868209839
dinov2_g,cifar10,haar,sup,10,1536,0.025407403002162116,0.0,0.15567727533238793,0.02690369594517648,-0.1302698723302258,-4.842080902032409,1.0,200,0.004975124378109453,98.310711145401
clip_b,cifar10,haar,sup,10,512,0.10510009138196408,0.0,0.1413910634953162,0.019973048031488257,-0.03629097211335211,-1.816997188217744,0.975,195,0.029850746268656716,97.07065796852112
clip_l,cifar10,haar,sup,10,768,0.09893099602982094,0.0,0.14217303765861608,0.02183238708426792,-0.043242041628795136,-1.9806373651168305,0.995,199,0.009950248756218905,93.20250844955444
siglip_b,cifar10,haar,sup,10,768,0.08738363341151585,1.3877787807814457e-17,0.13756801148396192,0.019466347953009857,-0.050184378072446065,-2.5780068348509424,0.995,199,0.009950248756218905,92.26970911026001
i21k_t,dtd,haar,sup,47,192,0.1399298739592871,0.0,0.16941453634228595,0.010455233528209639,-0.02948466238299885,-2.8200864479444894,1.0,200,0.004975124378109453,110.90073370933533
i21k_s,dtd,haar,sup,47,384,0.12325147231493894,0.0,0.1567199558351078,0.009330158223315356,-0.033468483520168874,-3.5871292553789367,1.0,200,0.004975124378109453,112.42358732223511
i21k_b,dtd,haar,sup,47,768,0.11773657062183052,0.0,0.150929824590768,0.009001417184409223,-0.03319325396893749,-3.687558668698235,1.0,200,0.004975124378109453,113.35392260551453
i21k_l,dtd,haar,sup,47,1024,0.09745994519203147,1.3877787807814457e-17,0.14919869713884482,0.008753932132640013,-0.05173875194681335,-5.9103441930854865,1.0,200,0.004975124378109453,109.5042884349823
dinov1_b,dtd,haar,sup,47,768,0.12802947844009926,0.0015913018924607696,0.16677368719042662,0.009360050163170009,-0.03874420875032736,-4.080762506915231,1.0,200,0.004975124378109453,102.82787871360779
dinov2_s,dtd,haar,sup,47,384,0.14050482573277404,2.7755575615628914e-17,0.1679547378066912,0.009875140143683146,-0.02744991207391717,-2.779698482707217,1.0,200,0.004975124378109453,101.24084448814392
dinov2_b,dtd,haar,sup,47,768,0.11171688827609479,1.3877787807814457e-17,0.1530944608909544,0.009192009758609666,-0.04137757261485962,-4.501471789246465,1.0,200,0.004975124378109453,100.2337851524353
