level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
star,12,0.1,iso,100,0,-0.12888203473058207,-0.10706076086901772,-0.02182127386156435,-0.7102436393027177,10.570627450942991
star,12,0.1,iso,100,1,-0.13865270591294127,-0.1084550233108605,-0.030197682602080764,-0.9376225264209744,10.438859701156618
star,12,0.1,iso,100,2,-0.1296306782741374,-0.10724978846108496,-0.02238088981305246,-0.6640276895721734,10.479805946350098
star,12,0.1,iso,100,3,-0.120940870970427,-0.10698607355445708,-0.013954797415969916,-0.4528110749934746,10.647571325302122
star,12,0.1,iso,100,4,-0.1276291940414409,-0.10757286774843544,-0.020056326293005463,-0.626773857479579,10.62663984298706
star,12,0.1,iso,1000,0,-0.12821368286685586,-0.1066832146480534,-0.02153046821880246,-0.6940991453897976,37.98884510993958
star,12,0.1,iso,1000,1,-0.13623349651509525,-0.10647560366848402,-0.02975789284661125,-0.9162600324912687,35.90697884559631
star,12,0.1,iso,1000,2,-0.12819845465961333,-0.10745874644234472,-0.0207397082172686,-0.6192496576361062,37.019936800003045
star,12,0.1,iso,1000,3,-0.11749948429748452,-0.10657647091031758,-0.010923013387166948,-0.3589474071812457,36.55235290527344
star,12,0.1,iso,1000,4,-0.126233667767371,-0.10680855173000664,-0.019425116037364368,-0.6114359181975108,36.11336755752564
star,12,0.1,aniso,100,0,-0.12920556814847028,-0.10740573390453202,-0.021799834243938263,-0.7058307773971334,12.461132526397705
star,12,0.1,aniso,100,1,-0.13890213948389632,-0.10840820751010494,-0.030493931973791383,-0.9534612965973746,12.946908712387085
star,12,0.1,aniso,100,2,-0.12940397594485806,-0.1072803452651052,-0.02212363067975281,-0.6611691870440192,12.923875331878662
star,12,0.1,aniso,100,3,-0.12062421437597792,-0.10686110648014767,-0.01376310789583024,-0.4466530117477153,12.855998277664185
star,12,0.1,aniso,100,4,-0.12898156057915386,-0.10767815406011604,-0.0213034065190378,-0.6680757610854875,12.29962968826294
star,12,0.1,aniso,1000,0,-0.12883574265140654,-0.10658258253917073,-0.0222531601122358,-0.7120084599574663,39.84313440322876
star,12,0.1,aniso,1000,1,-0.13710351698483464,-0.10649851954919233,-0.030604997435642326,-0.9440208321162205,39.2168562412262
star,12,0.1,aniso,1000,2,-0.12783734954193932,-0.10745259467544382,-0.02038475486649549,-0.6070279001708266,39.200160026550286
star,12,0.1,aniso,1000,3,-0.11744253094292148,-0.10653918392771064,-0.010903347015210813,-0.3501576709058154,38.798562049865716
star,12,0.1,aniso,1000,4,-0.12638177639015366,-0.10678491316438543,-0.0195968632257682,-0.6165994469500242,37.36012601852417
star,12,0.3,iso,100,0,-0.11458434019076133,-0.09630263557624967,-0.018281704614511632,-0.6249350436740022,10.855257034301758
star,12,0.3,iso,100,1,-0.1212010152989412,-0.09926092787830317,-0.02194008742063805,-0.7514108823590337,10.880736589431763
star,12,0.3,iso,100,2,-0.1151016590573504,-0.09533217396526956,-0.019769485092080846,-0.6659521530554849,10.623261690139769
star,12,0.3,iso,100,3,-0.1122062606394994,-0.09574635608799067,-0.016459904551508708,-0.5641983357729135,10.694430828094482
