level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
star,6,0.1,iso,100,0,-0.1443427568326281,-0.15531253826270616,0.010969781430078068,0.25264824890341414,10.41169285774231
star,6,0.1,iso,100,1,-0.15934532566350465,-0.15487927716116012,-0.004466048502344527,-0.09780482884311047,10.726822853088379
star,6,0.1,iso,100,2,-0.16371578923247648,-0.15477111176394542,-0.00894467746853106,-0.19330302515730408,10.296396255493164
star,6,0.1,iso,100,3,-0.14104185194421293,-0.15520339791151536,0.01416154596730243,0.3111117171630501,9.727526903152466
star,6,0.1,iso,100,4,-0.14949144182741145,-0.15418352792279855,0.004692086095387099,0.1030693146800338,10.158101558685303
star,6,0.1,iso,1000,0,-0.14228844874870697,-0.15346313190512798,0.011174683156421006,0.2563609221317494,36.08086061477661
star,6,0.1,iso,1000,1,-0.15735794442260437,-0.153400206937079,-0.003957737485525359,-0.08781953736080156,32.91522431373596
star,6,0.1,iso,1000,2,-0.16258659986321816,-0.1531622302818109,-0.009424369581407271,-0.20639044760413539,39.72187900543213
star,6,0.1,iso,1000,3,-0.14006144629730813,-0.15315976682519852,0.013098320527890395,0.2852631699381843,36.706902503967285
star,6,0.1,iso,1000,4,-0.14984451587146425,-0.15269724523652548,0.0028527293650612295,0.06259162956083163,36.601351737976074
star,6,0.1,aniso,100,0,-0.1425744949734769,-0.15529688016526363,0.012722385191786728,0.2953787097861116,10.200206518173218
star,6,0.1,aniso,100,1,-0.15706365242208675,-0.15489093588927172,-0.0021727165328150333,-0.04758988829928532,10.924875259399414
star,6,0.1,aniso,100,2,-0.15522219941362123,-0.15483250181401817,-0.00038969759960305606,-0.008496013274562866,10.975305795669556
star,6,0.1,aniso,100,3,-0.1432873445421302,-0.15517223948421577,0.011884894942085555,0.2586765122080309,10.915832757949829
star,6,0.1,aniso,100,4,-0.15232876324226838,-0.1540428485193156,0.0017140852770472226,0.03762315938822829,10.966636896133423
star,6,0.1,aniso,1000,0,-0.14095576224739859,-0.15353793221581202,0.012582169968413437,0.2953489494619658,37.70892286300659
star,6,0.1,aniso,1000,1,-0.14933951936851228,-0.15336523125173712,0.004025711883224842,0.08963913523840189,39.81954765319824
star,6,0.1,aniso,1000,2,-0.14751953774435433,-0.15322968596291361,0.00571014821855928,0.1265788234277402,39.03135824203491
star,6,0.1,aniso,1000,3,-0.1417036942164666,-0.15310613405587967,0.011402439839413053,0.2488589494788316,35.53753924369812
star,6,0.1,aniso,1000,4,-0.14997594828379515,-0.15273292234883915,0.0027569740650439933,0.061314938398586635,38.35221886634827
star,6,0.3,iso,100,0,-0.12988349383682263,-0.13534737601377422,0.0054638821769515955,0.14794469452026382,10.17111587524414
star,6,0.3,iso,100,1,-0.14298603120444695,-0.13535316358625685,-0.007632867618190098,-0.19111199670455425,10.54917573928833
star,6,0.3,iso,100,2,-0.1456126886645394,-0.1343134624464345,-0.011299226218104919,-0.27781706240223764,10.590226650238037
star,6,0.3,iso,100,3,-0.12488377732140789,-0.1366251534266023,0.01174137610519442,0.29932417239417974,10.736485481262207
star,6,0.3,iso,100,4,-0.12757521717867304,-0.13311945095914104,0.005544233780468005,0.14255472401134217,10.112626314163208
star,6,0.3,iso,1000,0,-0.12249043042644014,-0.1282913142726325,0.005800883846192345,0.15477985740958222,35.97824311256409
star,6,0.3,iso,1000,1,-0.13769457668223822,-0.12938212892016845,-0.008312447762069769,-0.21566508424397438,34.549113512039185
star,6,0.3,iso,1000,2,-0.14190815031575063,-0.1280253410882273,-0.01388280922752333,-0.3519901498833315,37.35820937156677
star,6,0.3,iso,1000,3,-0.12303795739806965,-0.12928723972297504,0.006249282324905389,0.15964930740963718,37.18544316291809
star,6,0.3,iso,1000,4,-0.12972958306499013,-0.12769659454103374,-0.0020329885239563916,-0.05198384411422104,37.26894450187683
star,6,0.3,aniso,100,0,-0.11598628539470257,-0.1353133049231707,0.01932701952846813,0.5796010353040724,11.316165447235107
star,6,0.3,aniso,100,1,-0.12415297656020033,-0.1360645140513711,0.01191153749117077,0.3052865110095675,11.18515920639038
star,6,0.3,aniso,100,2,-0.11775892030346613,-0.13450153030045942,0.016742609996993285,0.4258991685900723,11.226325511932373
star,6,0.3,aniso,100,3,-0.12620036675362933,-0.13680416812326493,0.010603801369635596,0.28996370466536087,11.203648090362549
star,6,0.3,aniso,100,4,-0.11243312673444544,-0.1324659931794219,0.020032866444976455,0.5331561551465007,11.316793441772461
star,6,0.3,aniso,1000,0,-0.09748287591766717,-0.1286704109537111,0.03118753503604392,0.890615775881945,38.708548069000244
star,6,0.3,aniso,1000,1,-0.10259700629818155,-0.1293143511820322,0.026717344883850636,0.7472825211825771,38.63695573806763
star,6,0.3,aniso,1000,2,-0.09843753088542546,-0.12827358446978868,0.029836053584363212,0.8319311556590283,39.5183527469635
star,6,0.3,aniso,1000,3,-0.09717238948545055,-0.12881118073459752,0.031638791249146966,0.9338761221762296,37.636096239089966
star,6,0.3,aniso,1000,4,-0.10600870687018155,-0.12778948763271458,0.021780780762533036,0.6061207214494924,39.99970197677612
star,6,0.6,iso,100,0,-0.09898262736792462,-0.09930137141366317,0.00031874404573854764,0.011813301835971188,10.601035118103027
star,6,0.6,iso,100,1,-0.10387132925401983,-0.09745081958344558,-0.006420509670574254,-0.21096517046254046,10.207096338272095
