level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
star,12,0.1,iso,100,0,-0.12888203473058207,-0.1027040056609794,-0.02617802906960268,-0.8476029367132368,25.68691635131836
star,12,0.1,iso,100,1,-0.13865270591294127,-0.1023451478911084,-0.036307558021832866,-1.1214719917872864,23.093555212020874
star,12,0.1,iso,100,2,-0.1296306782741374,-0.10152119082087237,-0.02810948745326504,-0.8307903783425455,19.663837432861328
star,12,0.1,iso,100,3,-0.120940870970427,-0.10250599429129968,-0.01843487667912734,-0.5948558564606441,20.801276922225952
star,12,0.1,iso,100,4,-0.1276291940414409,-0.102319194188629,-0.025309999852811904,-0.7903303713702979,21.90304374694824
star,12,0.1,iso,1000,0,-0.12821368286685586,-0.10180162141399976,-0.0264120614528561,-0.8498986773278141,59.61484551429749
star,12,0.1,iso,1000,1,-0.13623349651509525,-0.10165913879042214,-0.03457435772467311,-1.0632538709525527,58.2843382358551
star,12,0.1,iso,1000,2,-0.12819845465961333,-0.1016703131905703,-0.02652814146904303,-0.7928301864485894,60.001638889312744
star,12,0.1,iso,1000,3,-0.11749948429748452,-0.10174133598792336,-0.015758148309561154,-0.5153745236431319,57.6631691455841
star,12,0.1,iso,1000,4,-0.126233667767371,-0.10154416659661378,-0.024689501170757217,-0.7780995876647498,70.07960891723633
star,12,0.1,aniso,100,0,-0.12920556814847028,-0.10217411733765244,-0.027031450810817842,-0.8643158741647428,24.05564665794373
star,12,0.1,aniso,100,1,-0.13890213948389632,-0.10304075247248624,-0.03586138701141009,-1.11478813243351,24.138641357421875
star,12,0.1,aniso,100,2,-0.12940397594485806,-0.10210727815716483,-0.027296697787693183,-0.8119373434400685,24.623740911483765
star,12,0.1,aniso,100,3,-0.12062421437597792,-0.10323361973223248,-0.017390594643745455,-0.562480586850947,21.368832349777218
star,12,0.1,aniso,100,4,-0.12898156057915386,-0.10262709484949266,-0.02635446572966117,-0.8229372575167703,21.75033402442932
star,12,0.1,aniso,1000,0,-0.12883574265140654,-0.10114772112673576,-0.027688021524670783,-0.8835944949852823,60.390102863311775
star,12,0.1,aniso,1000,1,-0.13710351698483464,-0.10185908184261444,-0.03524443514222021,-1.08763991058636,59.12763404846192
star,12,0.1,aniso,1000,2,-0.12783734954193932,-0.10169399496008427,-0.02614335458185503,-0.7796334603561192,59.25719881057739
star,12,0.1,aniso,1000,3,-0.11744253094292148,-0.10147650563454494,-0.015966025308376527,-0.5096613426671077,60.320359230041504
star,12,0.1,aniso,1000,4,-0.12638177639015366,-0.10142934870099307,-0.024952427689160558,-0.7862248944481952,60.01936602592468
star,12,0.3,iso,100,0,-0.11458434019076133,-0.0873104988220993,-0.02727384136866201,-0.9328534745212816,19.258096218109127
star,12,0.3,iso,100,1,-0.1212010152989412,-0.08646795753091645,-0.034733057768024767,-1.1934247414549126,23.850505113601685
star,12,0.3,iso,100,2,-0.1151016590573504,-0.08636738016420475,-0.028734278893145657,-0.9709548268394712,21.929946422576904
star,12,0.3,iso,100,3,-0.1122062606394994,-0.08503715126682135,-0.02716910937267805,-0.9476574740609554,19.791974544525143
star,12,0.3,iso,100,4,-0.11386449306544764,-0.08736729392701185,-0.02649719913843579,-0.8869823529062164,23.602655172348022
star,12,0.3,iso,1000,0,-0.1114690878926567,-0.08909773104048582,-0.022371356852170884,-0.8023758449842922,79.04444146156311
star,12,0.3,iso,1000,1,-0.11883401327422795,-0.0892037300024893,-0.02963028327173865,-1.0291191625741176,62.52287888526917
