level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
star,6,0.1,iso,100,0,-0.1443427568326281,-0.1463644261191499,0.00202166928652181,0.04654334462072305,21.607027292251587
star,6,0.1,iso,100,1,-0.15934532566350465,-0.1466357018071031,-0.012709623856401536,-0.2839371811984841,20.30753469467163
star,6,0.1,iso,100,2,-0.16371578923247648,-0.14707875886348384,-0.01663703036899264,-0.36558361463403766,19.685444116592407
star,6,0.1,iso,100,3,-0.14104185194421293,-0.14600294318082893,0.004961091236616005,0.10958425660315482,19.550326108932495
star,6,0.1,iso,100,4,-0.14949144182741145,-0.14697655097802315,-0.0025148908493883015,-0.05588048874264721,19.487459897994995
star,6,0.1,iso,1000,0,-0.14228844874870697,-0.14597972212194749,0.0036912733732405167,0.08524639677586722,59.494582653045654
star,6,0.1,iso,1000,1,-0.15735794442260437,-0.14638611955203087,-0.010971824870573493,-0.24638334385678937,58.90734505653381
star,6,0.1,iso,1000,2,-0.16258659986321816,-0.14614646131389344,-0.016440138549324718,-0.3645243929371542,71.74564123153687
star,6,0.1,iso,1000,3,-0.14006144629730813,-0.1458212552989263,0.005759809001618182,0.12778476212090983,80.33393216133118
star,6,0.1,iso,1000,4,-0.14984451587146425,-0.1459603630997199,-0.003884152771744337,-0.08645538954739004,58.03964424133301
star,6,0.1,aniso,100,0,-0.1425744949734769,-0.1460231097610997,0.003448614787622789,0.08097599097188736,19.291356801986694
star,6,0.1,aniso,100,1,-0.15706365242208675,-0.14541722701989807,-0.011646425402188687,-0.2619200320599698,19.582873344421387
star,6,0.1,aniso,100,2,-0.15522219941362123,-0.14557664947327154,-0.00964554994034969,-0.21554158368348864,21.27024483680725
star,6,0.1,aniso,100,3,-0.1432873445421302,-0.14516847862736776,0.0018811340852375458,0.04151425647019145,24.2970769405365
star,6,0.1,aniso,100,4,-0.15232876324226838,-0.14404813789510734,-0.008280625347161036,-0.18533650081796252,24.022719621658325
star,6,0.1,aniso,1000,0,-0.14095576224739859,-0.1435492962031935,0.0025935339557949244,0.062283463066709704,81.691570520401
star,6,0.1,aniso,1000,1,-0.14933951936851228,-0.14218946730028023,-0.007150052068232049,-0.16385488687985636,82.70581936836243
star,6,0.1,aniso,1000,2,-0.14751953774435433,-0.14323855906002303,-0.004280978684331305,-0.09747397867496105,82.04557299613953
star,6,0.1,aniso,1000,3,-0.1417036942164666,-0.14264921850156748,0.0009455242851008627,0.0213586300716401,67.28736805915833
