model,dataset,K,variant,n_star,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
i21k_t,cifar100,20,iso,10,-0.023997483800807462,-0.024235284569162383,0.0068513523828001325,0.0002378007683549212,0.015704102868870678,0.16886612693773034,0.0027071835325949705,21.52467918395996
i21k_t,cifar100,20,aniso,10,-0.023997483800807462,0.0008771769961756215,0.010965005024526766,-0.024874660796983084,-1.4299837620347742,0.16886612693773034,0.0027071835325949705,23.83925628662109
i21k_t,cifar100,10,iso,10,-0.02425116071841682,-0.04037044461448792,0.005335881592882492,0.016119283896071104,0.8973382255268781,0.16886612693773034,0.0027071835325949705,21.937966346740726
i21k_t,cifar100,10,aniso,10,-0.02425116071841682,0.0004586557721508678,0.006127766482808638,-0.024709816490567686,-1.3566113174573888,0.16886612693773034,0.0027071835325949705,20.708475828170773
i21k_t,cifar100,5,iso,10,-0.026129567048158497,-0.021567170245902417,0.004280433472471318,-0.004562396802256081,-0.3185468408503414,0.16886612693773034,0.0027071835325949705,18.292967796325684
i21k_t,cifar100,5,aniso,10,-0.026129567048158497,9.294737971549947e-05,0.005869055655597611,-0.026222514427874,-1.7628861787066843,0.16886612693773034,0.0027071835325949705,18.4215886592865
i21k_s,cifar100,20,iso,10,-0.007302418821626272,-0.04293849930302776,0.005082442526219831,0.03563608048140148,2.3434302172884114,0.1565304832589991,0.005482901565579968,22.684588193893433
i21k_s,cifar100,20,aniso,10,-0.007302418821626272,0.00041145948148267055,0.0046308079952983704,-0.007713878303108944,-0.5121460368880464,0.1565304832589991,0.005482901565579968,23.19397735595703
i21k_s,cifar100,10,iso,10,-0.011997840115020308,-0.05006671920856666,0.003246462160773226,0.038068879093546365,3.5692846074925644,0.1565304832589991,0.005482901565579968,23.373370885849
i21k_s,cifar100,10,aniso,10,-0.011997840115020308,0.0005082010468669476,0.0066026798121129274,-0.012506041161887256,-1.0321383572157172,0.1565304832589991,0.005482901565579968,24.215639114379886
i21k_s,cifar100,5,iso,10,-0.005773574081816779,-0.03634789775333487,0.004638242655649568,0.030574323671518088,1.7691046835923705,0.1565304832589991,0.005482901565579968,24.4156973361969
i21k_s,cifar100,5,aniso,10,-0.005773574081816779,-0.0004759397831272577,0.0032719698738251164,-0.005297634298689522,-0.3122350309125554,0.1565304832589991,0.005482901565579968,24.126505374908447
i21k_b,cifar100,20,iso,10,0.0044422363462430225,-0.058370117225773364,0.004896591930602154,0.0628123535720164,4.474360715519419,0.1691518489653338,0.003852999500419518,24.0514714717865
i21k_b,cifar100,20,aniso,10,0.0044422363462430225,0.0012809591216453556,0.0038974635934316063,0.0031612772245976665,0.23038400890012026,0.1691518489653338,0.003852999500419518,23.680604457855225
i21k_b,cifar100,10,iso,10,0.0014459476099097925,-0.06071150016095219,0.002446286438444968,0.062157447770861976,6.139640550624737,0.1691518489653338,0.003852999500419518,23.790956497192386
i21k_b,cifar100,10,aniso,10,0.0014459476099097925,-0.0017828690002521796,0.0045749037270793975,0.003228816610161972,0.2979446138678753,0.1691518489653338,0.003852999500419518,21.764338731765747
i21k_b,cifar100,5,iso,10,0.010688097645558808,-0.04008940368984934,0.004302883327182257,0.05077750133540815,4.38456909713879,0.1691518489653338,0.003852999500419518,22.856584072113037
i21k_b,cifar100,5,aniso,10,0.010688097645558808,-0.0012251974836476414,0.00413301956954132,0.01191329512920645,1.0342368995326128,0.1691518489653338,0.003852999500419518,23.603790998458862
i21k_l,cifar100,20,iso,10,-0.016355404062486728,-0.056674579555264774,0.0013662935233453384,0.04031917549277805,4.195100296795563,0.13567005864275186,0.002268764796920949,24.059226036071774
i21k_l,cifar100,20,aniso,10,-0.016355404062486728,0.00033529744402402417,0.005982666845988506,-0.016690701506510752,-1.4851755122542738,0.13567005864275186,0.002268764796920949,21.705469131469727
i21k_l,cifar100,10,iso,10,-0.012809783013734144,-0.0574970611460749,0.002159883533878248,0.04468727813234076,5.78610277395524,0.13567005864275186,0.002268764796920949,23.56313323974609
i21k_l,cifar100,10,aniso,10,-0.012809783013734144,8.682145013631654e-05,0.0017575304541664412,-0.01289660446387046,-1.692360435560469,0.13567005864275186,0.002268764796920949,23.3732225894928
i21k_l,cifar100,5,iso,10,-0.006124826120249588,-0.03083032838584113,0.0037647692554211775,0.024705502265591543,2.9564055216924063,0.13567005864275186,0.002268764796920949,22.900952339172363
i21k_l,cifar100,5,aniso,10,-0.006124826120249588,-0.001285681033289457,0.003925895800413281,-0.004839145086960131,-0.5740100680226694,0.13567005864275186,0.002268764796920949,23.359861850738525
i21k_t,imagenet,30,iso,10,-0.017306886749485786,-0.0022210081464489355,0.004287779998083612,-0.01508587860303685,-1.4786224853143426,0.12265660377499435,0.003726257716344887,57.006356716156006
i21k_t,imagenet,30,aniso,10,-0.017306886749485786,0.00030773784278943783,0.007462135845461569,-0.017614624592275224,-1.4813579176116465,0.12265660377499435,0.003726257716344887,57.45460510253906
i21k_t,imagenet,10,iso,10,-0.018237040492060555,-0.0046364279434071365,0.005239254622906728,-0.01360061254865342,-1.1448086308074306,0.12265660377499435,0.003726257716344887,56.5602240562439
i21k_t,imagenet,10,aniso,10,-0.018237040492060555,0.0013397430526986705,0.004411768870988051,-0.019576783544759224,-1.6965388910704842,0.12265660377499435,0.003726257716344887,40.604538202285774
i21k_t,imagenet,60,iso,10,-0.022380525662069675,-0.0017969234027438675,0.003115657337946909,-0.02058360225932581,-2.4233254899937844,0.12265660377499435,0.003726257716344887,51.57568335533142
i21k_t,imagenet,60,aniso,10,-0.022380525662069675,0.0026906616262823927,0.005954899891734218,-0.025071187288352063,-2.5338567384613855,0.12265660377499435,0.003726257716344887,56.92388272285461
i21k_s,imagenet,30,iso,10,-0.0247066719693006,-0.003453003153430308,0.0017685744350259766,-0.02125366881587029,-1.9454263080188785,0.09710775274121362,0.00643771707378804,54.36439514160156
i21k_s,imagenet,30,aniso,10,-0.0247066719693006,0.003392909098758444,0.005035874386449524,-0.028099581068059043,-2.361505082329531,0.09710775274121362,0.00643771707378804,48.164917707443244
i21k_s,imagenet,10,iso,10,-0.01847088505610471,-0.0076921468284527955,0.0023158579186747107,-0.010778738227651914,-0.9856743043135282,0.09710775274121362,0.00643771707378804,63.532499074935906
i21k_s,imagenet,10,aniso,10,-0.01847088505610471,0.0006293366806341307,0.003096588548145116,-0.01910022173673884,-1.7165763200083952,0.09710775274121362,0.00643771707378804,62.53088045120239
i21k_s,imagenet,60,iso,10,-0.022618560841479673,-0.0016522652054461822,0.003394277730351072,-0.02096629563603349,-1.8135644569505796,0.09710775274121362,0.00643771707378804,53.77037930488586
i21k_s,imagenet,60,aniso,10,-0.022618560841479673,-0.002178111893303347,0.00318950502047728,-0.02044044894817633,-1.777064733783433,0.09710775274121362,0.00643771707378804,62.01067304611206
i21k_b,imagenet,30,iso,10,-0.0334709385291426,-0.007622146825444084,0.0013428327290130179,-0.025848791703698512,-2.8690673624604544,0.08813706792283382,0.006249006262011937,75.84458494186401
i21k_b,imagenet,30,aniso,10,-0.0334709385291426,-7.948608354908793e-06,0.00246838760286602,-0.03346298992078769,-3.619781224237433,0.08813706792283382,0.006249006262011937,77.01014304161072
i21k_b,imagenet,10,iso,10,-0.02368089818402116,-0.015768161168559218,0.001316322251883309,-0.007912737015461947,-0.9018223509603964,0.08813706792283382,0.006249006262011937,81.34653687477113
i21k_b,imagenet,10,aniso,10,-0.02368089818402116,-0.0005326521300322573,0.0024162879435146154,-0.023148246053988908,-2.5705727853583737,0.08813706792283382,0.006249006262011937,83.61203598976134
i21k_b,imagenet,60,iso,10,-0.024134188139120938,-0.0029369050734118114,0.0017874439978086331,-0.021197283065709126,-2.2398610010545803,0.08813706792283382,0.006249006262011937,83.09516596794128
i21k_b,imagenet,60,aniso,10,-0.024134188139120938,-0.001571987002962441,0.0040114172372051,-0.022562201136158498,-2.228998913956642,0.08813706792283382,0.006249006262011937,84.31039047241211
i21k_l,imagenet,30,iso,10,-0.033640434412626555,-0.00954584949916014,0.0012077599011712599,-0.024094584913466416,-3.1710219717024573,0.08417299741796473,0.004392220806412441,95.65949320793152
i21k_l,imagenet,30,aniso,10,-0.033640434412626555,-0.0004750719555626697,0.003333213798253298,-0.033165362457063884,-4.040148732302261,0.08417299741796473,0.004392220806412441,92.428537607193
i21k_l,imagenet,10,iso,10,-0.029681725174551667,-0.01990982382203944,0.0014013512376412813,-0.009771901352512229,-0.9345476636966904,0.08417299741796473,0.004392220806412441,92.85507225990295
i21k_l,imagenet,10,aniso,10,-0.029681725174551667,-0.00021882911894737788,0.0030386747851103755,-0.029462896055604294,-2.728469844405164,0.08417299741796473,0.004392220806412441,101.52424049377441
i21k_l,imagenet,60,iso,10,-0.034690399531829084,-0.004718428758293431,0.0017032971671968285,-0.02997197077353565,-4.296492257511374,0.08417299741796473,0.004392220806412441,97.23332047462463
i21k_l,imagenet,60,aniso,10,-0.034690399531829084,-0.0009843048450880174,0.002432574130274511,-0.033706094686741066,-4.688661101600074,0.08417299741796473,0.004392220806412441,92.26887726783752
dinov1_b,cifar100,20,iso,10,-0.035744809081326295,-0.04344581170961874,0.00448847376069649,0.0077010026282924434,0.8588732573812179,0.11419533445939305,0.003757323252225307,23.120752573013306
dinov1_b,cifar100,20,aniso,10,-0.035744809081326295,0.002555148695140139,0.004628988913490404,-0.038299957776466435,-4.237864576534318,0.11419533445939305,0.003757323252225307,20.224036931991574
