model,dataset,K,variant,n_star,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
dinov2_g,cifar100,20,iso,10,-0.002875470876147715,-0.02928573776052513,0.0015682340070100622,0.026410266884377417,3.764606481986202,0.06984616018097747,0.002435097721995694,21.311045169830322
dinov2_g,cifar100,20,aniso,10,-0.002875470876147715,0.0044925075031250015,0.00837091113224303,-0.007367978379272716,-0.6816687323279781,0.06984616018097747,0.002435097721995694,24.64940047264099
dinov2_g,cifar100,10,iso,10,-0.0015752058524217127,-0.016092398051355348,0.002391078391121921,0.014517192198933635,2.1642595305485646,0.06984616018097747,0.002435097721995694,22.5555739402771
dinov2_g,cifar100,10,aniso,10,-0.0015752058524217127,-0.0011329332765809123,0.003933090730254226,-0.00044227257584080045,-0.05977468884738419,0.06984616018097747,0.002435097721995694,22.84737753868103
dinov2_g,cifar100,5,iso,10,-0.0003305544256301668,-0.008280517864316337,0.001568544690333802,0.00794996343868617,2.7417754209338354,0.06984616018097747,0.002435097721995694,23.264308214187622
dinov2_g,cifar100,5,aniso,10,-0.0003305544256301668,0.0007368740616115089,0.0053043529796036005,-0.0010674284872416756,-0.18283857891558303,0.06984616018097747,0.002435097721995694,23.21204137802124
clip_b,cifar100,20,iso,10,-0.024698666242382455,-0.04402047352688176,0.002921066053254784,0.019321807284499302,1.7525616461685367,0.14103894015431093,0.0027354401390508286,23.34727191925049
clip_b,cifar100,20,aniso,10,-0.024698666242382455,-0.0004532041814009624,0.005887673821428538,-0.024245462060981493,-1.995120226554519,0.14103894015431093,0.0027354401390508286,22.816891193389893
clip_b,cifar100,10,iso,10,-0.015661988013683542,-0.05092688263560423,0.004538919217713055,0.03526489462192069,2.8618600098696443,0.14103894015431093,0.0027354401390508286,24.13529324531555
clip_b,cifar100,10,aniso,10,-0.015661988013683542,-0.0012784116960438574,0.005513981087232889,-0.014383576317639684,-1.1313278186623905,0.14103894015431093,0.0027354401390508286,24.38811683654785
clip_b,cifar100,5,iso,10,-0.0037592536412177358,-0.030504897074785396,0.0026904213761076057,0.02674564343356766,1.8685579889878006,0.14103894015431093,0.0027354401390508286,24.264743089675903
clip_b,cifar100,5,aniso,10,-0.0037592536412177358,-0.0010913134544719872,0.004391509483512811,-0.002667940186745749,-0.1811433620371232,0.14103894015431093,0.0027354401390508286,23.980200052261353
clip_l,cifar100,20,iso,10,-0.012663192164706794,-0.04856817086546266,0.004699910277467525,0.03590497870075587,5.677978577142688,0.1406566097510245,0.002964240248211589,21.158811569213867
clip_l,cifar100,20,aniso,10,-0.012663192164706794,0.00027214026169833925,0.0035482528366941025,-0.012935332426405132,-2.342672387635055,0.1406566097510245,0.002964240248211589,18.390095472335815
