cls,K20,K10,K5
0,4,5,1
1,1,0,2
2,14,9,4
3,8,1,2
4,0,0,2
5,6,8,3
6,7,0,2
7,7,0,2
8,18,2,0
9,3,3,3
10,3,3,3
11,14,9,4
12,9,7,0
13,18,2,0
14,7,0,2
15,11,1,2
16,3,3,3
17,9,7,0
18,7,0,2
19,11,1,2
20,6,8,3
21,11,1,2
22,5,3,3
23,10,7,0
24,7,0,2
25,6,8,3
26,13,0,2
27,15,0,2
28,3,3,3
29,15,0,2
30,0,0,2
31,11,1,2
32,1,0,2
33,10,7,0
34,12,1,2
35,14,9,4
36,16,1,2
37,9,7,0
38,11,1,2
39,5,3,3
40,5,3,3
41,19,2,0
42,8,1,2
43,8,1,2
44,15,0,2
45,13,0,2
46,14,9,4
47,17,4,0
48,18,2,0
49,10,7,0
50,16,1,2
51,4,5,1
52,17,4,0
53,4,5,1
54,2,6,1
55,0,0,2
56,17,4,0
57,4,5,1
58,18,2,0
59,17,4,0
60,10,7,0
61,3,3,3
62,2,6,1
63,12,1,2
64,12,1,2
65,16,1,2
66,12,1,2
67,1,0,2
68,9,7,0
69,19,2,0
70,2,6,1
71,10,7,0
72,0,0,2
73,1,0,2
74,16,1,2
75,12,1,2
76,9,7,0
77,13,0,2
78,15,0,2
79,13,0,2
80,16,1,2
81,19,2,0
82,2,6,1
83,4,5,1
84,6,8,3
85,19,2,0
86,5,3,3
87,5,3,3
88,8,1,2
89,19,2,0
90,18,2,0
91,1,0,2
92,2,6,1
93,15,0,2
94,6,8,3
95,0,0,2
96,17,4,0
97,8,1,2
98,14,9,4
99,13,0,2
