model,dataset,metric,null,stat,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s,genuine,p_bh,genuine_bh
i21k_t,imagenet,cosine_geodesic,haar,p999,0.11557470195147775,0.00038673148131598833,0.12777699362080658,0.0028650204465802943,-0.01220229166932882,-4.220780117307331,1.0,200,0.0049751243781094535,194.16548919677732,True,0.00746268656716418,True
i21k_s,imagenet,cosine_geodesic,haar,p999,0.08049667070901181,0.00029993776074687984,0.09793395554193253,0.002130788264861353,-0.017437284832920716,-8.103599853346394,1.0,200,0.0049751243781094535,179.61739158630368,True,0.00746268656716418,True
i21k_b,imagenet,cosine_geodesic,haar,p999,0.06514710280073087,0.0003307019366695952,0.08708563131518501,0.002127215226149524,-0.02193852851445413,-10.190848467289356,1.0,200,0.0049751243781094535,295.4585931301117,True,0.00746268656716418,True
i21k_l,imagenet,cosine_geodesic,haar,p999,0.06755316336284381,0.00028872558860510084,0.08853894205784985,0.002059681096454493,-0.02098577869500604,-10.090192841342988,1.0,200,0.0049751243781094535,462.52833795547485,True,0.00746268656716418,True
dinov1_b,imagenet,cosine_geodesic,haar,p999,0.08000844324003342,0.000522560964733191,0.10122088911201567,0.0017196732799525044,-0.021212445871982236,-11.802288215746763,1.0,200,0.0049751243781094535,258.79752516746515,True,0.00746268656716418,True
dinov2_s,imagenet,cosine_geodesic,haar,p999,0.07717040757981078,0.0003516473966665089,0.09118835930585377,0.0009542474425720943,-0.014017951726043004,-13.783929387635078,1.0,200,0.0049751243781094535,172.26409339904785,True,0.00746268656716418,True
dinov2_b,imagenet,cosine_geodesic,haar,p999,0.053144925668260144,0.00023208388167168505,0.06625400146116478,0.0004707365722728088,-0.013109075792904636,-24.977333663033047,1.0,200,0.0049751243781094535,329.99536728858953,True,0.00746268656716418,True
dinov2_l,imagenet,cosine_geodesic,haar,p999,0.04688018249305925,0.00022580141427601142,0.05689341421978674,0.0003797495579590738,-0.010013231726727488,-22.664117015473593,1.0,200,0.0049751243781094535,435.5086188316345,True,0.00746268656716418,True
dinov2_g,imagenet,cosine_geodesic,haar,p999,0.04608295923730248,0.0007163214980016505,0.052568769044984566,0.00030006390425035286,-0.00648580980768209,-8.351217646899405,1.0,200,0.0049751243781094535,538.0310444831848,True,0.00746268656716418,True
clip_b,imagenet,cosine_geodesic,haar,p999,0.08900629136270091,0.0002887015984570509,0.10602659800435067,0.004063338655804189,-0.017020306641649774,-4.178216366630982,1.0,200,0.0049751243781094535,264.38997435569763,True,0.00746268656716418,True
