model,dataset,metric,null,stat,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
i21k_t,cifar100,cosine_geodesic,haar,p999,0.13141373520066635,0.0004709903219521883,0.1455723879927548,0.008078934798400932,-0.014158652792088444,-1.7495689263987029,0.955,191,0.04975124378109453,97.53303527832031
i21k_s,cifar100,cosine_geodesic,haar,p999,0.14332388725507256,0.0005536705809197102,0.16029767064512948,0.005301950950476911,-0.016973783390056923,-3.1841076804756168,1.0,200,0.004975124378109453,95.6128237247467
i21k_b,cifar100,cosine_geodesic,haar,p999,0.15185103210675951,0.0004998201190493447,0.15759029168822095,0.005374533294316351,-0.005739259581461431,-1.0632739275015557,0.85,170,0.15422885572139303,99.83031225204468
i21k_l,cifar100,cosine_geodesic,haar,p999,0.11589510180380962,0.0003192208295460183,0.14034520320434665,0.0038961892658762078,-0.024450101400537036,-6.254431326138123,1.0,200,0.004975124378109453,103.4791157245636
dinov1_b,cifar100,cosine_geodesic,haar,p999,0.09161801324398369,0.0002756186516847741,0.12622355233751492,0.003646937706263298,-0.03460553909353123,-9.461947555984509,1.0,200,0.004975124378109453,83.57491540908813
dinov2_s,cifar100,cosine_geodesic,haar,p999,0.08424341386264375,0.0004526920305403531,0.11676160197282864,0.0025389297522506265,-0.03251818811018489,-12.608975020243914,1.0,200,0.004975124378109453,98.54422998428345
dinov2_b,cifar100,cosine_geodesic,haar,p999,0.06829627267252911,0.00032492714522770256,0.0999226935368186,0.001706932554929583,-0.03162642086428949,-18.201381967035896,1.0,200,0.004975124378109453,84.32198596000671
dinov2_l,cifar100,cosine_geodesic,haar,p999,0.05399751552098565,0.00024507460511483564,0.08323068737184407,0.0013052241509772067,-0.029233171850858414,-22.012383633104385,1.0,200,0.004975124378109453,87.89781141281128
dinov2_g,cifar100,cosine_geodesic,haar,p999,0.04612230810237765,0.00028131765595492254,0.07489668786382088,0.0013607281066739634,-0.02877437976144323,-20.7083861873961,1.0,200,0.004975124378109453,102.53484463691711
clip_b,cifar100,cosine_geodesic,haar,p999,0.10240167756271798,0.0002950563742078309,0.12504637756773657,0.006016067698467022,-0.022644700005018586,-3.7595179381891572,1.0,200,0.004975124378109453,93.12477135658264
clip_l,cifar100,cosine_geodesic,haar,p999,0.0922875243792052,0.0004254413570000557,0.11728816006946495,0.004831028654659404,-0.025000635690259745,-5.155061925263394,1.0,200,0.004975124378109453,83.70169591903687
siglip_b,cifar100,cosine_geodesic,haar,p999,0.1003718341187168,0.00046304543381577576,0.12496529058381058,0.004690581386841832,-0.024593456465093783,-5.2177946248567055,1.0,200,0.004975124378109453,85.51306438446045
i21k_t,cifar10,cosine_geodesic,haar,p999,0.12362514839804058,1.3877787807814457e-17,0.16626214693867264,0.021324790496381755,-0.04263699854063206,-1.9994099612779979,0.99,198,0.014925373134328358,73.45000457763672
i21k_s,cifar10,cosine_geodesic,haar,p999,0.09472200776642006,1.3877787807814457e-17,0.16784818513585553,0.023401845806111217,-0.07312617736943547,-3.1248038285227535,1.0,200,0.004975124378109453,74.09642434120178
i21k_b,cifar10,cosine_geodesic,haar,p999,0.09454744210826685,0.0,0.1600782661034711,0.02172686011409467,-0.06553082399520424,-3.01612030689575,1.0,200,0.004975124378109453,72.48786449432373
