model,metric,null,stat,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s,genuine,p_bh,genuine_bh
gpt2,cosine_geodesic,haar,p999,0.08126024600298751,0.0003692408666919966,0.08099573609180298,0.005855050575337872,0.0002645099111845406,0.04508679990744828,0.505,101,0.4975124378109453,225.84113240242004,False,0.5543710021321961,False
gpt2_m,cosine_geodesic,haar,p999,0.04929391243275282,0.00036785886635227246,0.06856285290432937,0.005015640681893932,-0.01926894047157656,-3.8314793774252007,1.0,200,0.0049751243781094535,287.63037323951716,True,0.010660980810234543,True
gpt2_l,cosine_geodesic,haar,p999,0.07502937902928825,0.00013909769278339678,0.09118652654627916,0.002745782064779255,-0.0161571475169909,-5.876815747383441,1.0,200,0.0049751243781094535,377.79727697372437,True,0.010660980810234543,True
gpt2_xl,cosine_geodesic,haar,p999,0.07285594720691528,0.0003616179302679077,0.09099229324087336,0.002594100803619821,-0.018136346033958084,-6.924425245393742,1.0,200,0.0049751243781094535,547.6957399845123,True,0.010660980810234543,True
pythia_410m,cosine_geodesic,haar,p999,0.07137128944532717,0.0002185252736291196,0.09566751110821388,0.0033993643223349176,-0.024296221662886724,-7.132561539318613,1.0,200,0.0049751243781094535,269.9123492240906,True,0.010660980810234543,True
pythia_1b,cosine_geodesic,haar,p999,0.06534879559393758,0.00020867143499368984,0.09089388591423632,0.003165522704638444,-0.025545090320298752,-8.052309343048329,1.0,200,0.0049751243781094535,336.32537388801575,True,0.010660980810234543,True
pythia_2b8,cosine_geodesic,haar,p999,0.06845759737280224,0.000315001845598658,0.09168203957356487,0.003306090740852564,-0.023224442200762613,-6.993074012331847,1.0,200,0.0049751243781094535,368.2407009601593,True,0.010660980810234543,True
olmo_1b,cosine_geodesic,haar,p999,0.04986554296846856,0.000137639007032759,0.08174970208789561,0.0031030026357919795,-0.03188415911942706,-10.265166593453063,1.0,200,0.0049751243781094535,436.29235816001886,True,0.010660980810234543,True
bge_base,cosine_geodesic,haar,p999,0.0829341810962275,0.0003141940534392616,0.0845985768301652,0.0026464812003206928,-0.0016643957339377011,-0.6245231005061156,0.755,151,0.24875621890547264,174.31749629974362,False,0.373134328358209,False
bge_large,cosine_geodesic,haar,p999,0.08220977768407838,0.00034543386998331084,0.08487194187386299,0.002582104764681528,-0.002662164189784627,-1.0219015182982456,0.85,170,0.15422885572139305,186.6757018566132,False,0.25704809286898844,False
gte_base,cosine_geodesic,haar,p999,0.0770780186309905,0.0003180167090192297,0.07621853442141723,0.002378801014551744,0.0008594842095732691,0.35812373988804513,0.395,79,0.6069651741293532,126.85354709625244,False,0.6069651741293532,False
gte_large,cosine_geodesic,haar,p999,0.07569964809559249,0.00039880650201141993,0.0766152629649851,0.0024440120867191234,-0.0009156148693926086,-0.3697457618419073,0.655,131,0.3482587064676617,190.8820345401764,False,0.474898236092266,False
gte_qwen2,cosine_geodesic,haar,p999,0.08614585433027902,0.0003093798836402853,0.09256147097010796,0.002359723696405058,-0.006415616639828925,-2.6957296103120174,0.995,199,0.009950248756218905,269.82029557228094,True,0.018656716417910446,True
e5_base,cosine_geodesic,haar,p999,0.07524807574460084,0.00031234017594762564,0.0749149094139759,0.002734735757153757,0.00033316633062493994,0.12104071792936212,0.485,97,0.5174129353233831,127.99358129501344,False,0.5543710021321961,False
e5_large,cosine_geodesic,haar,p999,0.07224135148798924,0.00019498156251983404,0.07281659025603987,0.0025995905488326193,-0.0005752387680506287,-0.22066071167358653,0.595,119,0.4079601990049751,190.5829701423645,False,0.5099502487562189,False
