model,metric,null,stat,delta,delta_sd,null_mean,null_sd,excess,z,frac_null_above,r_above,p_left,time_s
gpt2,cosine_geodesic,haar,p999,0.08126024600298751,0.00036924086669199655,0.08099573609180297,0.005855050575337872,0.0002645099111845406,0.04508679990744828,0.505,101,0.4975124378109453,225.84113240242004
gpt2_m,cosine_geodesic,haar,p999,0.04929391243275282,0.00036785886635227246,0.06856285290432938,0.005015640681893932,-0.01926894047157656,-3.831479377425201,1.0,200,0.004975124378109453,287.6303732395172
gpt2_l,cosine_geodesic,haar,p999,0.07502937902928825,0.00013909769278339678,0.09118652654627915,0.002745782064779255,-0.016157147516990905,-5.87681574738344,1.0,200,0.004975124378109453,377.79727697372437
gpt2_xl,cosine_geodesic,haar,p999,0.07285594720691528,0.0003616179302679077,0.09099229324087336,0.002594100803619821,-0.018136346033958084,-6.924425245393743,1.0,200,0.004975124378109453,547.6957399845123
pythia_410m,cosine_geodesic,haar,p999,0.07137128944532717,0.0002185252736291196,0.09566751110821389,0.0033993643223349176,-0.024296221662886724,-7.132561539318613,1.0,200,0.004975124378109453,269.9123492240906
pythia_1b,cosine_geodesic,haar,p999,0.06534879559393757,0.00020867143499368984,0.09089388591423632,0.003165522704638444,-0.025545090320298752,-8.052309343048329,1.0,200,0.004975124378109453,336.32537388801575
pythia_2b8,cosine_geodesic,haar,p999,0.06845759737280224,0.000315001845598658,0.09168203957356486,0.0033060907408525636,-0.023224442200762613,-6.993074012331846,1.0,200,0.004975124378109453,368.2407009601593
olmo_1b,cosine_geodesic,haar,p999,0.049865542968468554,0.000137639007032759,0.08174970208789561,0.0031030026357919795,-0.03188415911942706,-10.265166593453062,1.0,200,0.004975124378109453,436.2923581600189
bge_base,cosine_geodesic,haar,p999,0.0829341810962275,0.00031419405343926154,0.0845985768301652,0.0026464812003206928,-0.0016643957339377013,-0.6245231005061156,0.755,151,0.24875621890547264,174.31749629974365
bge_large,cosine_geodesic,haar,p999,0.08220977768407838,0.00034543386998331084,0.084871941873863,0.0025821047646815277,-0.002662164189784627,-1.0219015182982456,0.85,170,0.15422885572139303,186.67570185661316
gte_base,cosine_geodesic,haar,p999,0.0770780186309905,0.0003180167090192297,0.07621853442141723,0.002378801014551744,0.0008594842095732691,0.35812373988804513,0.395,79,0.6069651741293532,126.85354709625244
gte_large,cosine_geodesic,haar,p999,0.07569964809559249,0.00039880650201141993,0.0766152629649851,0.0024440120867191234,-0.0009156148693926086,-0.36974576184190744,0.655,131,0.3482587064676617,190.8820345401764
gte_qwen2,cosine_geodesic,haar,p999,0.08614585433027902,0.00030937988364028527,0.09256147097010795,0.002359723696405058,-0.006415616639828925,-2.6957296103120174,0.995,199,0.009950248756218905,269.8202955722809
e5_base,cosine_geodesic,haar,p999,0.07524807574460084,0.00031234017594762564,0.0749149094139759,0.0027347357571537575,0.00033316633062493994,0.12104071792936212,0.485,97,0.5174129353233831,127.99358129501343
e5_large,cosine_geodesic,haar,p999,0.07224135148798924,0.00019498156251983404,0.07281659025603987,0.002599590548832619,-0.0005752387680506288,-0.22066071167358653,0.595,119,0.4079601990049751,190.5829701423645
