dataset,metric,linkage,model_a,model_b,ari_cut,coph_corr,triplet_agree
imagenet,euclid,average,i21k_t,i21k_s,0.5294895477946414,0.7980660224274584,0.7185
imagenet,euclid,average,i21k_t,i21k_b,0.47894362220025516,0.7642808524857094,0.636
imagenet,euclid,average,i21k_t,i21k_l,0.5846652874578281,0.7715559655364781,0.6788
imagenet,euclid,average,i21k_t,dinov1_b,0.08762666838231857,0.6566903744256242,0.635
imagenet,euclid,average,i21k_t,dinov2_s,0.04431663243387591,0.4378664926083949,0.5171
imagenet,euclid,average,i21k_t,dinov2_b,0.01941591006675289,0.3198629046218,0.4547
imagenet,euclid,average,i21k_t,dinov2_l,0.0189968801104727,0.29876547569734924,0.4498
imagenet,euclid,average,i21k_t,dinov2_g,0.02044089474573464,0.31453275288701954,0.459
imagenet,euclid,average,i21k_t,clip_b,0.8185267864166543,0.7724574874250979,0.6927
imagenet,euclid,average,i21k_t,clip_l,0.6935822105101795,0.8455404645126072,0.8072
imagenet,euclid,average,i21k_t,siglip_b,0.7645324345817786,0.8019210957883135,0.6808
imagenet,euclid,average,i21k_s,i21k_b,0.7011855164959961,0.8506167606791226,0.7441
imagenet,euclid,average,i21k_s,i21k_l,0.8320073763221153,0.8167511240635018,0.7861
imagenet,euclid,average,i21k_s,dinov1_b,0.10679452054449459,0.6830079168248538,0.621
imagenet,euclid,average,i21k_s,dinov2_s,0.0630036949466956,0.4945555665224179,0.499
imagenet,euclid,average,i21k_s,dinov2_b,0.038814373676773255,0.4108036959993544,0.4561
imagenet,euclid,average,i21k_s,dinov2_l,0.034424588144626025,0.3781057035382337,0.4464
imagenet,euclid,average,i21k_s,dinov2_g,0.034025824532823684,0.4005835063499379,0.4632
imagenet,euclid,average,i21k_s,clip_b,0.5338872861671364,0.7648712126747008,0.8434
imagenet,euclid,average,i21k_s,clip_l,0.621362190234737,0.8187064621022457,0.7454
imagenet,euclid,average,i21k_s,siglip_b,0.4802508649659394,0.8045842032190297,0.804
imagenet,euclid,average,i21k_b,i21k_l,0.7708195286983983,0.8664838655417986,0.7477
imagenet,euclid,average,i21k_b,dinov1_b,0.12222684897775829,0.660361831793688,0.6299
imagenet,euclid,average,i21k_b,dinov2_s,0.061333590964529096,0.5066847917711926,0.5371
imagenet,euclid,average,i21k_b,dinov2_b,0.04594143093781133,0.4428278899982352,0.5003
imagenet,euclid,average,i21k_b,dinov2_l,0.046948834562923446,0.41769168692027026,0.4896
imagenet,euclid,average,i21k_b,dinov2_g,0.038431743850249354,0.4217125751201219,0.5076
imagenet,euclid,average,i21k_b,clip_b,0.4677082181415489,0.7156466535679218,0.7191
imagenet,euclid,average,i21k_b,clip_l,0.5438013794353571,0.7805181371689,0.6877
imagenet,euclid,average,i21k_b,siglip_b,0.5064794699143532,0.7761705531300168,0.7078
imagenet,euclid,average,i21k_l,dinov1_b,0.14417035626131977,0.6663081575745016,0.6888
imagenet,euclid,average,i21k_l,dinov2_s,0.06434031576850255,0.47328777279498896,0.551
imagenet,euclid,average,i21k_l,dinov2_b,0.04236640299877533,0.3980569363871146,0.5043
imagenet,euclid,average,i21k_l,dinov2_l,0.039627869897416575,0.37979289490170504,0.4927
imagenet,euclid,average,i21k_l,dinov2_g,0.04052343789675881,0.3916570634037696,0.5061
imagenet,euclid,average,i21k_l,clip_b,0.5659197803607496,0.7096621438483716,0.728
imagenet,euclid,average,i21k_l,clip_l,0.66424600972479,0.7889916128456759,0.7321
imagenet,euclid,average,i21k_l,siglip_b,0.5346612895441536,0.7860769002518156,0.7184
imagenet,euclid,average,dinov1_b,dinov2_s,0.45095559626883835,0.7124990858232582,0.6923
imagenet,euclid,average,dinov1_b,dinov2_b,0.2745966962160191,0.5893456712296922,0.6209
imagenet,euclid,average,dinov1_b,dinov2_l,0.1604489126824147,0.529401271610828,0.5893
imagenet,euclid,average,dinov1_b,dinov2_g,0.17239945015751273,0.5556559550274514,0.61
