dataset,metric,linkage,ari_cut_big_vs_block,ari_cut_within_block,coph_corr_big_vs_block,coph_corr_within_block,triplet_agree_big_vs_block,triplet_agree_within_block
imagenet,euclid,average,0.02883303242964665,0.6378360313891891,0.3590270351785328,0.8013056642170346,0.46820952380952374,0.7397999999999999
imagenet,euclid,complete,0.03287028325179845,0.4394297336314764,0.2024908753823397,0.6580102158224057,0.411404761904762,0.647904761904762
imagenet,euclid,ward,0.15618601649618977,0.5274814948979243,0.6191010835843936,0.8425836643812956,0.6650238095238095,0.8503714285714284
imagenet,cosine,average,0.38525489702411714,0.4809518979659192,0.4812005720865437,0.7779308471310665,0.7707285714285713,0.7640285714285715
imagenet,cosine,complete,0.12504430034780165,0.4947747900598727,0.1787015813001495,0.7194880065965112,0.35674761904761904,0.7078809523809523
imagenet,cosine,ward,0.17002583281548828,0.5470041759584545,0.5893187823846404,0.8505260621727722,0.6875571428571429,0.8562761904761904
cifar100,euclid,average,0.0047296027020232445,0.57139351376641,0.15481845362499463,0.779121112146519,0.4093,0.7388904761904762
cifar100,euclid,complete,0.16640445097309858,0.5423013105321074,0.23129896907217032,0.724166717300662,0.40705238095238094,0.659395238095238
cifar100,euclid,ward,0.3676599675481084,0.627506420787879,0.629969497123789,0.7714239187326238,0.7001952380952382,0.7907809523809524
cifar100,cosine,average,0.2981517865465247,0.5816418824324645,0.4174121005652992,0.720886594188992,0.5105285714285716,0.6435571428571427
cifar100,cosine,complete,0.3889703607906218,0.634914659093316,0.4585997450333474,0.6447297071047143,0.4970666666666668,0.6122571428571428
cifar100,cosine,ward,0.558186037309655,0.6086889050536907,0.7398423112895992,0.7345595825986485,0.7573095238095239,0.7630047619047619
