model,b,delta,delta_sd,null_mean,excess,n_rep,time_s
clip_b,-1,0.08431129786955477,0.00026180391642323636,0.09108070982328308,-0.006769411953728294,20,43.274078130722046
clip_b,0,0.08395078879033326,0.00029498436874472766,0.0906715860392744,-0.006720797248941132,20,42.05199074745178
clip_b,1,0.08279874061158046,0.000315683610638361,0.09071223325572628,-0.007913492644145828,20,43.84974932670593
clip_b,2,0.08499448010560441,0.0001703059278001779,0.0906513862466549,-0.005656906141050494,20,34.55622291564941
clip_b,3,0.08428441575753425,0.00029965968025851176,0.09063874135684696,-0.0063543255993127185,20,42.060182094573975
clip_b,4,0.08395868243240348,0.00026045715964027546,0.09081767961113477,-0.0068589971787312715,20,39.67270922660828
clip_b,5,0.08482309867243491,0.0001796203128590923,0.09083080446864196,-0.006007705796207047,20,42.049220085144036
clip_b,6,0.08277778764649177,0.00017860361313217881,0.09076246269892073,-0.007984675052428947,20,29.470510959625244
clip_b,7,0.08249612503201299,0.00026592999945558186,0.09077864658942034,-0.008282521557407344,20,35.006805419921875
clip_b,8,0.08457191468786572,0.00028847411019773775,0.09077863907575257,-0.0062067243878868176,20,38.65690612792969
clip_b,9,0.08349579088487451,0.0002627785003218018,0.09080797421631624,-0.00731218333144172,20,38.51518702507018
clip_b,10,0.08362290223175937,0.00025143631434596935,0.09067856457889678,-0.007055662347137406,20,41.9753725528717
clip_b,11,0.08409075422944776,0.0002099140957293966,0.09079389108702583,-0.0067031368575780756,20,42.707238435745246
clip_b,12,0.08477385392058967,0.0002424596376616256,0.09072457050589897,-0.005950716585309282,20,39.269722938537605
clip_b,13,0.0818551433993707,0.00022060190215322047,0.0907489404436991,-0.008893797044328411,20,41.767728567123406
clip_b,14,0.08321853240277431,0.000302820165224053,0.09074505358257086,-0.007526521179796547,20,40.179348468780525
clip_b,15,0.08434709628428769,0.00021510175406913126,0.09070634808894322,-0.006359251804655533,20,41.32474875450134
clip_b,16,0.08532525459934402,0.0001799270541928651,0.09066433509663832,-0.005339080497294299,20,39.13585424423218
clip_b,17,0.08426851733773101,0.0002570030565633017,0.09081705531628116,-0.006548537978550151,20,40.083797216415405
clip_b,18,0.08530173524500863,0.0001447929917100307,0.09069858679124748,-0.005396851546238854,20,42.40119099617005
clip_b,19,0.08296730285198388,0.0002726819613957624,0.09081330087717336,-0.007845998025189468,20,41.47172737121582
clip_b,20,0.08442106099094332,0.00018673465293378333,0.09078583040990856,-0.00636476941896523,20,41.966641902923584
clip_b,21,0.0842266114619353,0.00028855596851520707,0.09080493067423016,-0.0065783192122948475,20,42.135685682296746
clip_b,22,0.08282658007721556,0.00018155040877183736,0.09072586913942003,-0.007899289062204455,20,40.756325960159295
clip_b,23,0.08309915367704608,0.00025134701474253875,0.09077012223723996,-0.0076709685601938785,20,43.712197542190545
clip_b,24,0.08354829942543418,0.0002771701169928108,0.09059683843895648,-0.007048539013522316,20,39.67494606971741
clip_b,25,0.08378765883453368,0.00025547649126606107,0.09066829174228604,-0.006880632907752371,20,36.68036866188049
clip_b,26,0.08423839863502916,0.00033343349135648453,0.09074320102242762,-0.0065048023873984645,20,37.967604637146
clip_b,27,0.08534336234049969,0.00025649039277096897,0.09072460108738553,-0.005381238746885828,20,40.63474416732788
clip_b,28,0.08345069392684103,0.0002471186622134019,0.09074517385515334,-0.007294479928312306,20,34.725225687026985
clip_b,29,0.08366998330296226,0.00024388944607876484,0.09076995262041793,-0.0070999693174556705,20,37.7818787097931
clip_l,-1,0.07603490956647023,0.00028942422421858796,0.08540973999754796,-0.009374830431077744,20,52.923490285873406
clip_l,0,0.07612748420335655,0.0002735207491709243,0.0849835601201677,-0.008856075916811146,20,54.64056706428528
clip_l,1,0.07586884129302943,0.00032813067503891934,0.08504846320164397,-0.009179621908614558,20,53.3884973526001
clip_l,2,0.07581908427341763,0.0003142568460535452,0.0850528065664532,-0.009233722293035582,20,53.73064136505127
clip_l,3,0.07537642261022856,0.0003057227018055659,0.08502021993625777,-0.009643797326029213,20,57.49282145500183
clip_l,4,0.07530780258927723,0.0003359300431479185,0.0850892759502374,-0.009781473360960163,20,51.696383953094475
clip_l,5,0.07533445563149348,0.00035518380013779913,0.08510367619404917,-0.009769220562555705,20,58.31898093223572
clip_l,6,0.07536350561291043,0.00028945367714882346,0.08507759077090726,-0.009714085157996835,20,59.27482056617737
clip_l,7,0.07503492578210699,0.0002889977794960912,0.08508835809606469,-0.01005343231395768,20,58.772493600845344
clip_l,8,0.07568305041708212,0.00035796129898325564,0.08509537412994142,-0.009412323712859312,20,75.36534857749939
clip_l,9,0.07622487185432894,0.00030205937485123206,0.08509260526849552,-0.00886773341416658,20,78.10953569412231
clip_l,10,0.07428300830110843,0.00020071788095712569,0.08503977877249796,-0.010756770471389536,20,80.63754940032959
clip_l,11,0.07598825437616494,0.0003493641151065467,0.08501991432634169,-0.009031659950176754,20,84.52365660667421
clip_l,12,0.07573401433481873,0.00037563771682051154,0.08504734770410208,-0.009313333369283349,20,70.49566793441771
clip_l,13,0.0755700952756619,0.00037745416523919217,0.08506181726831552,-0.009491721992653634,20,54.7878041267395
clip_l,14,0.07650267144988124,0.00035995544864142806,0.0850161014487889,-0.00851342999890767,20,52.64353799819946
clip_l,15,0.07636369322733369,0.000319466708667685,0.0850567756396969,-0.008693082412363204,20,56.4183247089386
clip_l,16,0.07546094454634958,0.00024633578154969934,0.08497386117487721,-0.009512916628527629,20,59.100096940994256
clip_l,17,0.07609674348446134,0.0004342918195408708,0.08506993354285294,-0.008973190058391603,20,59.52695369720459
clip_l,18,0.07602532542665921,0.00024659782130434895,0.08506304247141065,-0.009037717044751441,20,55.656569719314575
clip_l,19,0.07453686641181588,0.00041844049538674986,0.0850817769015088,-0.01054491048969293,20,62.16485595703125
clip_l,20,0.0747712378418694,0.00027789468501588044,0.08504915090636159,-0.010277913064492187,20,62.42626166343689
clip_l,21,0.07427748349496624,0.00029318001601070804,0.08508715366106602,-0.010809670166099794,20,64.42232322692871
clip_l,22,0.07582083883290325,0.00026477822301969594,0.0850377494667649,-0.00921691063386165,20,65.27971076965332
clip_l,23,0.07514278619897545,0.00026776480471025734,0.08506222407611999,-0.009919437877144556,20,58.60931181907654
clip_l,24,0.07571791960291972,0.00036401508387097465,0.08499560592106943,-0.009277686318149694,20,60.05547547340393
clip_l,25,0.0747093870060314,0.0003851883281516183,0.08507747620234372,-0.010368089196312323,20,60.09752678871155
clip_l,26,0.07628534037732973,0.0002875593510705198,0.0850194101155218,-0.008734069738192074,20,58.58295965194702
clip_l,27,0.07613714410220086,0.00039844840250804553,0.0850553017666302,-0.008918157664429341,20,58.49375724792481
clip_l,28,0.07631367177461437,0.00026868311519234565,0.08508825231549844,-0.008774580540884064,20,60.429107427597046
clip_l,29,0.07541099104417033,0.00035032155756695773,0.08512702349445811,-0.009716032450287793,20,58.3277633190155
dinov1_b,-1,0.0552455916591852,0.0003731814462132311,0.07611097866067276,-0.02086538700148756,20,55.27283477783203
dinov1_b,0,0.0551614670183103,0.00041008772512891785,0.07573259998824114,-0.02057113296993084,20,58.77433109283447
dinov1_b,1,0.05521112358032556,0.00036423710377154187,0.07587387462583497,-0.020662751045509416,20,58.219298601150506
dinov1_b,2,0.05474361424446837,0.0003122637490824795,0.075819715804134,-0.02107610155966564,20,50.2739486694336
dinov1_b,3,0.0550557432578363,0.0003988898169272276,0.0758327798089597,-0.0207770365511234,20,41.6350519657135
dinov1_b,4,0.055383747273541735,0.00046315935028303,0.07580169254809759,-0.020417945274555843,20,60.05715942382813
dinov1_b,5,0.05517139434973034,0.0004188888309990226,0.07571095609480841,-0.02053956174507807,20,61.462143898010254
dinov1_b,6,0.05534143036715914,0.0004243896084009388,0.0758064540812395,-0.02046502371408036,20,62.41019749641418
dinov1_b,7,0.05480423431471258,0.00032603529728771703,0.07577315070061874,-0.02096891638590616,20,59.58250594139099
dinov1_b,8,0.054583559376016964,0.00035584662282649084,0.07578016468093854,-0.02119660530492157,20,60.80883431434631
dinov1_b,9,0.05419739815761608,0.00037251783517072457,0.0757825731883355,-0.021585175030719425,20,53.77022051811218
dinov1_b,10,0.05494021101341166,0.00028526621377592616,0.0757304665772462,-0.020790255563834542,20,54.88104462623596
dinov1_b,11,0.05464090142854215,0.00028503586684785695,0.07580185869290436,-0.021160957264362214,20,57.89660453796387
dinov1_b,12,0.05496199885993512,0.000438484177536715,0.07582013062083809,-0.02085813176090297,20,57.86263799667358
dinov1_b,13,0.05533170751381557,0.0004910906855555228,0.07577126708982565,-0.020439559576010083,20,58.25829529762268
dinov1_b,14,0.0549553465406693,0.0005514143113818669,0.07574640128485273,-0.020791054744183413,20,57.140374660491936
dinov1_b,15,0.05547108713406782,0.0003726365102309416,0.07581438864808393,-0.02034330151401609,20,56.59465956687927
dinov1_b,16,0.05492100932132403,0.000349672890847066,0.07579798082846881,-0.020876971507144782,20,55.88696026802063
dinov1_b,17,0.054809965531404964,0.00035412140673782505,0.0757153190686517,-0.02090535353724674,20,57.09512448310852
dinov1_b,18,0.05516450768105336,0.00023228634044870038,0.07575236800827383,-0.020587860327220472,20,56.19870233535767
dinov1_b,19,0.055236573826938466,0.0003760688349492326,0.07585710123136932,-0.02062052740443085,20,54.847025394439704
dinov1_b,20,0.05514440100022154,0.0004469466504194922,0.07575853119106385,-0.02061413019084231,20,56.42958164215088
dinov1_b,21,0.055099635638912715,0.0004089222040441092,0.0757850260568325,-0.02068539041791978,20,59.18979048728943
dinov1_b,22,0.05486240904952325,0.00036003884761641176,0.07577914823685228,-0.020916739187329024,20,60.10707402229309
dinov1_b,23,0.055179870915575836,0.000402067255035583,0.07581223106382183,-0.020632360148245987,20,58.93516707420349
dinov1_b,24,0.05512892691857586,0.00032308536060869083,0.07574349472102372,-0.02061456780244786,20,59.43238425254822
dinov1_b,25,0.0552891840717689,0.0002985417982562245,0.07577356531234232,-0.020484381240573432,20,59.057141542434685
dinov1_b,26,0.05522238922451976,0.0004175873081244795,0.07576421013296426,-0.02054182090844451,20,58.616685390472405
dinov1_b,27,0.05473954584695436,0.00033763135064051334,0.0758369694184015,-0.021097423571447137,20,56.771241188049316
dinov1_b,28,0.054878096958344016,0.0004118530895008664,0.07587871561337743,-0.021000618655033408,20,58.97010517120361
dinov1_b,29,0.0550587376723667,0.00035892515065744345,0.07580499906770946,-0.02074626139534276,20,58.641987800598145
