model,n_boot,excess_ref,excess_boot_mean,excess_boot_sd,delta_boot_sd,frac_boot_negative
i21k_t,30,-0.005519983322511884,-0.005148376013154553,0.001072393575453152,0.0010529323308412614,1.0
i21k_s,30,-0.012568359486460859,-0.012160648895444928,0.0006623312879390995,0.0006492630122362997,1.0
i21k_b,30,-0.016480350831040092,-0.015964490617188517,0.0006062394365239042,0.0006160250590495515,1.0
i21k_l,30,-0.01603774234176892,-0.01598066018666173,0.00041564043534901443,0.0004185630718548327,1.0
dinov1_b,30,-0.02086538700148756,-0.020765597209948968,0.0002772426887552623,0.00027442430453060657,1.0
dinov2_s,30,-0.016355156244500187,-0.016191300787230772,0.00036042552608180983,0.0003578292008475346,1.0
dinov2_b,30,-0.01670490341256118,-0.0164335275201933,0.00018619509145537575,0.00018146600155459326,1.0
dinov2_l,30,-0.013557591482170528,-0.013429408066812585,0.00013431341279575756,0.00013265970318157114,1.0
dinov2_g,30,-0.008044354259452291,-0.008340242145339858,0.00036149319458567706,0.00035899810166810646,1.0
clip_b,30,-0.006769411953728294,-0.00685469637862056,0.0008978799668487115,0.0008855072023345085,1.0
clip_l,30,-0.009374830431077744,-0.009479758867765937,0.0006277160599289078,0.0006171000596321812,1.0
siglip_b,30,-0.007977407970994083,-0.008146013894223656,0.0005786576422091511,0.0005740571989575088,1.0
