model,C,mode,seed,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s,delta_sup_exp19,excess_sup_exp19,nc_adv_pp,nc_R,nc_H
clip_l,10,coherent,0,0.08342919791362577,0.0,0.16051619188352312,0.023103963743723914,-0.07708699396989735,200,0.0049751243781094535,91.8863172531128,0.08343278920857328,-0.10603777335029868,-0.20000000000000015,0.792,0.79
clip_l,10,coherent,1,0.07467209575012193,1.3877787807814454e-17,0.17170117360332113,0.025450159047567696,-0.0970290778531992,200,0.0049751243781094535,90.64440822601318,0.07467563126577806,-0.1304202146734179,-0.4000000000000004,0.8420000000000001,0.838
clip_l,10,coherent,2,0.13403241762778648,0.0,0.16233542184450556,0.024537425565278884,-0.02830300421671908,180,0.1044776119402985,102.31706953048706,0.13403374410720356,-0.06618716147352212,-1.19999999999999,0.8140000000000001,0.802
clip_l,10,coherent,3,0.07388191718162304,1.3877787807814454e-17,0.16136363734301298,0.02280026062388175,-0.08748172016138994,200,0.0049751243781094535,104.49589085578918,0.07388007232091631,-0.11053601280321587,0.20000000000000015,0.9620000000000001,0.9640000000000001
clip_l,10,coherent,4,0.1270870828816428,0.0,0.16548197032439604,0.022655707144413416,-0.03839488744275324,195,0.02985074626865672,111.5085096359253,0.12706595542743612,-0.07409721399522515,-0.20000000000000015,0.828,0.826
clip_l,10,random,0,0.07366897613758919,1.3877787807814454e-17,0.14333541762124147,0.024776846359568533,-0.06966644148365228,200,0.0049751243781094535,90.32993865013123,0.0736633556858042,-0.09107858832207068,0.0,0.982,0.982
clip_l,10,random,1,0.07937908047200139,0.0,0.15835391683696806,0.02345104205887385,-0.07897483636496665,200,0.0049751243781094535,96.30732321739195,0.0793798095264466,-0.09956017848446194,0.20000000000000015,0.986,0.988
clip_l,10,random,2,0.05628605611008268,1.3877787807814454e-17,0.13503951502792835,0.022326570220842872,-0.07875345891784567,200,0.0049751243781094535,103.19189047813416,0.056294898439140116,-0.11234396096306977,0.0,0.998,0.998
clip_l,10,random,3,0.0883887153341372,1.3877787807814454e-17,0.16383547154367542,0.023332317252410733,-0.07544675620953822,200,0.0049751243781094535,108.84458208084106,0.08838654744439596,-0.06758713649395638,-0.6000000000000005,0.9640000000000001,0.958
clip_l,10,random,4,0.058198345243464726,6.938893903907227e-18,0.15533033398620225,0.026220097990846097,-0.09713198874273753,200,0.0049751243781094535,111.4898464679718,0.058204861107833926,-0.09616773781667963,0.0,0.998,0.998
clip_l,20,coherent,0,0.11556199251871732,0.0008026488317031817,0.15101887612729695,0.009882191231802505,-0.03545688360857964,200,0.0049751243781094535,124.2088737487793,0.12061802613436913,-0.07213780953247534,-0.10000000000000007,0.775,0.774
clip_l,20,coherent,1,0.10093287173307856,0.0003434412373817218,0.15604708993657904,0.011844498059175607,-0.05511421820350052,200,0.0049751243781094535,115.89054417610168,0.11773652060544153,-0.08281055879498123,-0.7000000000000006,0.895,0.888
clip_l,20,coherent,2,0.15733125345822913,0.0019674590130306408,0.15898272679021358,0.012285807899401629,-0.0016514733319844546,111,0.4477611940298508,114.33539295196532,0.17248619213676064,-0.024872430282906036,-0.9000000000000008,0.706,0.6970000000000001
clip_l,20,coherent,3,0.09002578290036614,0.0009204557221239572,0.14039472485535362,0.009803828879352723,-0.05036894195498748,200,0.0049751243781094535,116.059912443161,0.11891266015875232,-0.07482984648538045,0.10000000000000007,0.951,0.9520000000000001
clip_l,20,coherent,4,0.10130672468881824,0.0,0.13861152057541384,0.012073124456720652,-0.03730479588659559,200,0.0049751243781094535,115.10179662704469,0.11359874312260725,-0.08198725710326565,0.4000000000000004,0.8140000000000001,0.818
clip_l,20,random,0,0.08116213638536264,0.00042274408506051366,0.12589714012837772,0.009951685230384595,-0.04473500374301508,200,0.0049751243781094535,127.77356815338136,0.1016978523754516,-0.08813665380948882,0.20000000000000015,0.973,0.975
clip_l,20,random,1,0.0840604149548479,0.0002299485419998207,0.12910586113600056,0.010037444806505744,-0.045045446181152665,200,0.0049751243781094535,117.65580129623413,0.09259160748188804,-0.09529383776157453,0.5000000000000004,0.966,0.971
clip_l,20,random,2,0.07358546326828083,0.00014369344500416928,0.1152493872750097,0.008972576478914092,-0.041663924006728886,200,0.0049751243781094535,113.687264919281,0.08215478560255407,-0.1083681911035458,0.4000000000000004,0.98,0.9840000000000001
clip_l,20,random,3,0.07961534128219375,0.0012334367468019966,0.12836043622520293,0.008715450936039756,-0.04874509494300919,200,0.0049751243781094535,115.57717680931091,0.09494356631190934,-0.09491316333155256,-0.20000000000000015,0.965,0.963
clip_l,20,random,4,0.07231583635553289,7.813395454643322e-05,0.1273790443464191,0.009432656292661334,-0.055063207990886216,200,0.0049751243781094535,119.7095320224762,0.08107600004008197,-0.10888039374734093,0.10000000000000007,0.9790000000000001,0.98
clip_l,50,coherent,0,0.1012223056176342,0.0003898948303645835,0.11335505545089905,0.006007651135338315,-0.012132749833264858,193,0.03980099502487562,124.18890047073364,0.13116987830123866,-0.05518103878230402,0.07999999999999119,0.8292,0.83
clip_l,50,coherent,1,0.11153495296428932,0.00025869621745645344,0.13101695102520888,0.006380404510312829,-0.019481998060919572,200,0.0049751243781094535,122.62530946731569,0.14315085643840056,-0.06386379208265236,-0.7199999999999984,0.9179999999999999,0.9108
clip_l,50,coherent,2,0.14735393743602182,0.0005124870137367842,0.1391970380177983,0.007913286772771559,0.008156899418223507,31,0.8457711442786071,132.2018167972565,0.186122674456959,-0.0218439629231037,-0.4800000000000026,0.7004,0.6956
clip_l,50,coherent,3,0.08942287126369917,0.00026203940210090194,0.11768024581577885,0.006240653377933857,-0.028257374552079686,200,0.0049751243781094535,126.52504825592041,0.12884562484903225,-0.06305921128497,-0.3599999999999937,0.8732,0.8696
clip_l,50,coherent,4,0.115559881319717,0.0003807578093287247,0.13309764812568992,0.00820718972891843,-0.017537766805972924,197,0.01990049751243781,128.50672674179077,0.14433065931165373,-0.05213149494964231,-0.8399999999999963,0.8296,0.8212
clip_l,50,random,0,0.07763584426955197,0.00023454522837398776,0.10920938529351899,0.005482122785161607,-0.03157354102396703,200,0.0049751243781094535,123.95637607574464,0.10584775246268932,-0.0837382325973058,0.3600000000000048,0.938,0.9416
clip_l,50,random,1,0.08136815516463937,0.00032506865559277204,0.10227123459584153,0.004943543019332037,-0.020903079431202176,200,0.0049751243781094535,119.3659121990204,0.11317766517759872,-0.065999179679865,0.439999999999996,0.9432,0.9476
clip_l,50,random,2,0.08325991966418679,0.00023925886877598936,0.10658893772805554,0.005314576731788978,-0.02332901806386875,200,0.0049751243781094535,124.97658824920654,0.10667815713706046,-0.07607734384471652,0.4000000000000004,0.9636,0.9676
clip_l,50,random,3,0.07624628515706118,0.00026943877714169544,0.10738825789690308,0.005012718918438919,-0.0311419727398419,200,0.0049751243781094535,130.76966667175293,0.10293666239497276,-0.07905781957341389,0.15999999999999348,0.9359999999999999,0.9376
clip_l,50,random,4,0.07975881813548634,0.00027115020992439097,0.1091522253437218,0.005146058074617855,-0.02939340720823547,200,0.0049751243781094535,126.87158918380736,0.11970610406749488,-0.07645763914546626,0.3199999999999981,0.9416,0.9448
clip_l,100,coherent,0,0.07998115447272561,0.00026385355401991413,0.1024316422752894,0.003969040850311654,-0.022450487802563784,200,0.0049751243781094535,123.66038203239441,0.1135522348982642,-0.0511414836999068,-0.23999999999999574,0.833,0.8306
clip_l,100,coherent,1,0.10437443594549084,0.0002626398347232049,0.11475694350198792,0.005883862710316953,-0.010382507556497056,190,0.05472636815920398,110.64094400405884,0.1454389509971505,-0.026496847418169798,-0.2400000000000069,0.8988,0.8964
clip_l,100,coherent,2,0.11287986936132274,0.0002324936980685893,0.13068443641196692,0.005312266995769926,-0.01780456705064415,200,0.0049751243781094535,120.67223191261292,0.14393641391188913,-0.04917266146818075,-0.2800000000000025,0.6704,0.6676
clip_l,100,coherent,3,0.08081856255382901,0.00021505603287748148,0.09925038994594036,0.004999292128248342,-0.01843182739211137,200,0.0049751243781094535,116.80281472206116,0.11222579314409538,-0.0400079856973332,-0.4000000000000004,0.8168,0.8128
clip_l,100,coherent,4,0.0986305301528027,0.00040365281312314353,0.1105640718778267,0.007531700707297295,-0.011933541725024005,187,0.06965174129353234,115.00056862831116,0.135190069646983,-0.03413067120864285,-0.4000000000000004,0.8326,0.8286
clip_l,100,random,0,0.07916246916004085,0.00023105904549801143,0.1054839272556557,0.004634875573510507,-0.02632145809561484,200,0.0049751243781094535,118.00214433670044,0.10889176203391744,-0.06246236580902712,0.2800000000000025,0.9116,0.9144
clip_l,100,random,1,0.07826840183851687,0.00029262806315114015,0.10067215082807532,0.00448677483910583,-0.02240374898955844,200,0.0049751243781094535,121.2974934577942,0.11152117853360552,-0.0500516422568503,0.2800000000000025,0.9014,0.9042
clip_l,100,random,2,0.08045219090097319,0.00029752653315245,0.10284212848393633,0.0048841060316468675,-0.02238993758296313,200,0.0049751243781094535,120.50912404060364,0.11857931349517765,-0.04598090944404136,0.13999999999999568,0.9242,0.9256
clip_l,100,random,3,0.07491610474099153,0.00030349684573020434,0.1021128388458315,0.004588675011831399,-0.02719673410483997,200,0.0049751243781094535,122.5210280418396,0.10912544490711508,-0.055400399395341,0.10000000000000007,0.922,0.9229999999999999
clip_l,100,random,4,0.08282204989981609,0.00046269243637848186,0.1035502268824488,0.004646195695181153,-0.020728176982632712,200,0.0049751243781094535,115.73621988296507,0.12654284993048928,-0.03953853006124045,0.23999999999999574,0.9179999999999999,0.9204
clip_l,200,coherent,0,0.07448423706267253,0.0002943254459194961,0.09780798171165024,0.00396642624662309,-0.023323744648977712,200,0.0049751243781094535,137.2344799041748,0.11284563487799493,-0.03446844391278664,-0.3700000000000037,0.7833,0.7796
clip_l,200,coherent,1,0.09714181251228747,0.00045069239298561837,0.09945359518033722,0.0063827590373779965,-0.002311782668049753,136,0.32338308457711445,125.18227124214172,0.13110716982538728,-0.02147629542201951,-0.2599999999999936,0.8089,0.8063
clip_l,200,coherent,2,0.0941587853250446,0.0004431617426773574,0.10117628865396452,0.0064944414316454105,-0.007017503328919927,174,0.13432835820895522,129.1015944480896,0.13426902439317534,-0.019619246772835414,-0.29000000000000137,0.7298,0.7269
clip_l,200,coherent,3,0.0741087263129579,0.0002658709442145817,0.09349713716161848,0.004381795072102403,-0.01938841084866058,200,0.0049751243781094535,123.17990303039551,0.10955638685813666,-0.035980919245418144,-0.3700000000000037,0.7912,0.7875
clip_l,200,coherent,4,0.09227640476425353,0.0004373656057306433,0.0921056578880962,0.006419595968615646,0.00017074687615734052,102,0.4925373134328358,124.4956920146942,0.13183129869238575,-0.015836182638013983,-0.4499999999999949,0.7221,0.7176
clip_l,200,random,0,0.07653722229468772,0.0003029301056065619,0.09635941109425936,0.004921097378889282,-0.019822188799571618,200,0.0049751243781094535,139.44467234611508,0.10705206608912897,-0.043156501791588135,0.0099999999999989,0.8711,0.8712
clip_l,200,random,1,0.07887122856900099,0.00017050324855606106,0.09790907979066807,0.005052188676794607,-0.019037851221667096,200,0.0049751243781094535,130.94330859184262,0.1129199310636392,-0.04078220608470248,0.21000000000001015,0.8684,0.8705
clip_l,200,random,2,0.07549885011142407,0.0002533438996612801,0.09586196443589017,0.004960906034615943,-0.02036311432446607,200,0.0049751243781094535,133.16270160675052,0.11503808077832665,-0.034961066320936436,-0.07000000000000339,0.8891,0.8884
clip_l,200,random,3,0.07763717082674125,0.00027682073810601104,0.09657253819639096,0.004935361541253707,-0.01893536736964972,200,0.0049751243781094535,133.6369559764862,0.11281284902851825,-0.038783599058296,-0.42999999999999705,0.8892,0.8849
clip_l,200,random,4,0.07896610481058744,0.00036348772456545517,0.09780864827953926,0.00513352040532437,-0.018842543468951825,200,0.0049751243781094535,130.74229621887207,0.11952622814613205,-0.034642389788994074,0.29000000000000137,0.8926,0.8955
clip_l,500,coherent,0,0.07357515306963074,0.000299074551125427,0.08698940068187216,0.0038655388118999908,-0.013414247612241428,200,0.0049751243781094535,236.97021651268003,0.10478837708680616,-0.026588329374001338,-0.4600000000000049,0.748,0.7434
clip_l,500,coherent,1,0.0880495683192404,0.00040722826123818043,0.09603171454464728,0.005386610867468071,-0.007982146225406883,184,0.0845771144278607,251.97456479072568,0.12412931538329645,-0.028110864291339518,-0.37199999999999456,0.7804,0.77668
