model,C,mode,seed,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s
dinov2_g,10,random,0,0.03316618084975319,6.938893903907228e-18,0.16552975155678992,0.025404291750665265,-0.13236357070703675,200,0.004975124378109453,98.34037637710571
dinov2_g,10,random,1,0.02817637776048778,6.938893903907228e-18,0.15972035310286675,0.026816537153149824,-0.13154397534237897,200,0.004975124378109453,103.76856255531311
dinov2_g,10,random,2,0.019088704427317228,0.0,0.16245843728585566,0.028873168792829577,-0.14336973285853843,200,0.004975124378109453,107.63529706001282
dinov2_g,10,random,3,0.03730082905420394,6.938893903907228e-18,0.17222712319345634,0.02192354998781209,-0.1349262941392524,200,0.004975124378109453,108.44181632995605
dinov2_g,10,random,4,0.028790594087670533,0.0,0.16879896693907662,0.023211310549434972,-0.14000837285140608,200,0.004975124378109453,112.30567860603333
dinov2_g,20,random,0,0.08242613741133646,0.00018831718677673193,0.12032869172411807,0.00960102074710915,-0.03790255431278161,200,0.004975124378109453,130.71090030670166
dinov2_g,20,random,1,0.024707553412080124,0.00014652451174842487,0.12797498023944745,0.00808044441548687,-0.10326742682736732,200,0.004975124378109453,111.77647185325623
dinov2_g,20,random,2,0.022541162185722975,8.768885422198494e-05,0.12554761881133614,0.008594945894995876,-0.10300645662561317,200,0.004975124378109453,120.49342679977417
dinov2_g,20,random,3,0.0287516147831136,0.0004904624022758254,0.12508557780877422,0.008657321523564914,-0.09633396302566062,200,0.004975124378109453,116.67329382896423
dinov2_g,20,random,4,0.026831900598470487,6.241504216834316e-05,0.13072596087298383,0.00829918264787045,-0.10389406027451334,200,0.004975124378109453,118.6315689086914
dinov2_g,50,random,0,0.07549519547570935,0.00023121645137268968,0.07938364122255188,0.002058175957536871,-0.0038884457468425365,195,0.029850746268656716,126.01808214187622
dinov2_g,50,random,1,0.025917038222695327,9.434084613403783e-05,0.07598966401991639,0.0019516216166988781,-0.05007262579722106,200,0.004975124378109453,119.00620913505554
dinov2_g,50,random,2,0.02775009484190768,0.0002544424319210475,0.07247450599729595,0.00190735684747896,-0.04472441115538827,200,0.004975124378109453,126.25630474090576
dinov2_g,50,random,3,0.028068874859243143,0.00010912116766525718,0.08010587193611968,0.002012666592850463,-0.052036997076876534,200,0.004975124378109453,128.00485634803772
dinov2_g,50,random,4,0.035776615137526245,0.00021018344792310599,0.08073224278614703,0.0020421163783296034,-0.04495562764862079,200,0.004975124378109453,129.14203882217407
dinov2_g,100,random,0,0.05813508882748284,0.001437185086715725,0.0632239865403252,0.0009499973171737165,-0.0050888977128423565,200,0.004975124378109453,124.14080166816711
dinov2_g,100,random,1,0.034054639455650425,0.0005984175791085446,0.06396765960475316,0.0009496894568081394,-0.029913020149102736,200,0.004975124378109453,123.50893831253052
dinov2_g,100,random,2,0.03732903732376302,0.0004779874899945721,0.06179497011872447,0.001005445001057697,-0.024465932794961454,200,0.004975124378109453,123.43590688705444
dinov2_g,100,random,3,0.04082172601246567,0.0005922933557966729,0.060368420236641566,0.0008654392264356872,-0.019546694224175896,200,0.004975124378109453,114.5838828086853
dinov2_g,100,random,4,0.0332483912280732,0.00033403510794407766,0.06376007751965133,0.001013774129491371,-0.030511686291578133,200,0.004975124378109453,116.91865539550781
dinov2_g,200,random,0,0.04404413074932308,0.0005420681792121241,0.05280565660410515,0.0005360862268645363,-0.00876152585478207,200,0.004975124378109453,137.9827527999878
dinov2_g,200,random,1,0.030556746853514827,0.0002987368217269997,0.05248035640149309,0.0005389605572655829,-0.02192360954797826,200,0.004975124378109453,145.235595703125
dinov2_g,200,random,2,0.034439757879317356,0.0002835796860340157,0.050405488578335975,0.0005930234159648637,-0.015965730699018618,200,0.004975124378109453,142.57733368873596
dinov2_g,200,random,3,0.037949150400305734,0.001036487726969128,0.05175930196127819,0.0005328135712129894,-0.013810151560972456,200,0.004975124378109453,142.25998759269714
dinov2_g,200,random,4,0.03397867020543082,0.0002877155049547839,0.05047724725488079,0.0005444451288639503,-0.016498577049449972,200,0.004975124378109453,141.4928698539734
dinov2_g,500,random,0,0.03400844068314355,0.0004977617337156268,0.044302981853371594,0.0004031572009120942,-0.010294541170228044,200,0.004975124378109453,299.9733135700226
dinov2_g,500,random,1,0.034649583693802034,0.0006297751278519754,0.04283298474265375,0.0003902247170838677,-0.008183401048851714,200,0.004975124378109453,189.5869164466858
dinov2_g,1000,random,0,0.03264781036605507,0.0004987619777615,0.040669939979306555,0.00033107855369757705,-0.008022129613251487,200,0.004975124378109453,452.2205286026001
