model,C,mode,seed,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,time_s
dinov2_l,10,coherent,0,0.030950605349732797,6.938893903907228e-18,0.17011451235505085,0.02150939955379353,-0.13916390700531805,200,0.004975124378109453,95.33987069129944
dinov2_l,10,coherent,1,0.05985840170048995,0.0,0.1655170072935239,0.02199246412399793,-0.10565860559303394,200,0.004975124378109453,99.73853373527527
dinov2_l,10,coherent,2,0.1005261676306453,1.3877787807814457e-17,0.15116581999581377,0.021564943151237196,-0.05063965236516847,199,0.009950248756218905,104.49988031387329
dinov2_l,10,coherent,3,0.032716514649757375,0.0,0.16290233882784258,0.025864638503654534,-0.13018582417808522,200,0.004975124378109453,107.5023124217987
dinov2_l,10,coherent,4,0.11712493235762726,1.3877787807814457e-17,0.18175807885802706,0.020102460102634036,-0.0646331465003998,200,0.004975124378109453,115.73230457305908
dinov2_l,20,coherent,0,0.053126325389894334,0.0011238005591678278,0.12810310130101624,0.009141754876178052,-0.0749767759111219,200,0.004975124378109453,131.75936675071716
dinov2_l,20,coherent,1,0.051522390346504944,0.00028125153683177635,0.13463041329420572,0.008390897481228569,-0.08310802294770078,200,0.004975124378109453,111.3485803604126
dinov2_l,20,coherent,2,0.10440640848134666,0.0007381361832524228,0.15171674141510846,0.010839866647586061,-0.0473103329337618,200,0.004975124378109453,115.77172780036926
dinov2_l,20,coherent,3,0.030988859498385306,0.0002317089333135666,0.12253652363454912,0.0091044644532416,-0.0915476641361638,200,0.004975124378109453,116.65254402160645
dinov2_l,20,coherent,4,0.11524197298249188,0.0008616348119466486,0.14204985278814233,0.008966471441120014,-0.026807879805650456,199,0.009950248756218905,116.52493047714233
dinov2_l,50,coherent,0,0.039884225335413304,0.00026212981522326275,0.08765209889722472,0.002411619870218869,-0.04776787356181142,200,0.004975124378109453,126.49227857589722
dinov2_l,50,coherent,1,0.03592328057916435,0.00021819401281289983,0.07376249764826893,0.001990184760142841,-0.037839217069104585,200,0.004975124378109453,122.35224342346191
dinov2_l,50,coherent,2,0.09144616442420198,0.0005786219449616133,0.11583757359973937,0.0045508333584433885,-0.024391409175537393,200,0.004975124378109453,128.66511726379395
dinov2_l,50,coherent,3,0.03945517143102223,0.00032766604407620737,0.09172038771974343,0.0023792212338875386,-0.0522652162887212,200,0.004975124378109453,130.21325874328613
dinov2_l,50,coherent,4,0.04409130606587704,0.0006857081473604263,0.09045008346517466,0.0022399861849123734,-0.04635877739929763,200,0.004975124378109453,131.27050137519836
dinov2_l,100,coherent,0,0.03422988635831011,0.0001540637023556258,0.06820397790375876,0.0011333459319213786,-0.03397409154544865,200,0.004975124378109453,124.28571224212646
dinov2_l,100,coherent,1,0.03296920124052387,0.00014250535115437196,0.058876984057378824,0.0008273403635693315,-0.025907782816854956,200,0.004975124378109453,120.5380642414093
dinov2_l,100,coherent,2,0.07546867834952785,0.0003730546016438455,0.09801986282661126,0.0024167606875266615,-0.022551184477083416,200,0.004975124378109453,121.1560161113739
dinov2_l,100,coherent,3,0.03619805660659299,0.0001727577295384188,0.07370958512135785,0.0013311801174511362,-0.03751152851476486,200,0.004975124378109453,121.63319230079651
dinov2_l,100,coherent,4,0.039304783264467485,0.0002931568892381379,0.07375423283174162,0.0012560801927077186,-0.03444944956727414,200,0.004975124378109453,117.81841659545898
dinov2_l,200,coherent,0,0.033032180333498175,0.0001394224452295516,0.05910867834274883,0.0006650805350142537,-0.026076498009250652,200,0.004975124378109453,135.27451586723328
dinov2_l,200,coherent,1,0.03993017299611738,0.0004244066932592888,0.05909777228245761,0.0008399706584267976,-0.01916759928634023,200,0.004975124378109453,139.60633492469788
dinov2_l,200,coherent,2,0.050373148188773545,0.0005942785602484992,0.06986364866334717,0.0012486475744078955,-0.019490500474573624,200,0.004975124378109453,137.1203579902649
dinov2_l,200,coherent,3,0.03233839994100097,0.00014823602014241835,0.058404406791284266,0.0007213952753380263,-0.026066006850283298,200,0.004975124378109453,137.6720404624939
dinov2_l,200,coherent,4,0.04914600858487328,0.0005881647073847548,0.07131977040361254,0.0014005361100130008,-0.022173761818739257,200,0.004975124378109453,137.0501708984375
dinov2_l,500,coherent,0,0.03115046321364709,0.0001167728945047766,0.049052458762850665,0.0005100443939292072,-0.017901995549203575,200,0.004975124378109453,275.3827271461487
dinov2_l,500,coherent,1,0.03171912074542249,0.00013901929402437946,0.04892576267404159,0.0005678778582903117,-0.0172066419286191,200,0.004975124378109453,192.52985763549805
