merged 24 cells; genuine BH 10/24: ['dinov2_s/cifar100', 'dinov2_b/cifar100', 'dinov2_l/cifar100', 'dinov2_g/cifar100', 'siglip_b/cifar100', 'i21k_s/dtd', 'i21k_b/dtd', 'i21k_l/dtd', 'dinov2_l/dtd', 'dinov2_g/dtd']
raw sup band 0.087..0.145 (expR37 0.087..0.145); d999 0.036..0.093
excess -0.0232..+0.0058; |z|<2 in 12/24; sign-negative 18/24
       model   dataset  delta_sup  delta_999    excess          z  r_above    p_left      p_bh
0     i21k_t  cifar100   0.130267   0.093261 -0.001632  -0.322495      134  0.333333  0.500000
1     i21k_s  cifar100   0.120849   0.086292  0.005062   1.229972       21  0.895522  0.934458
2     i21k_b  cifar100   0.121211   0.082023  0.003139   0.796381       50  0.751244  0.858564
3     i21k_l  cifar100   0.099878   0.067449 -0.004072  -1.657274      185  0.079602  0.144989
4   dinov1_b  cifar100   0.103538   0.070027 -0.004163  -2.064067      194  0.034826  0.075984
5   dinov2_s  cifar100   0.100100   0.065178 -0.004882  -3.201718      200  0.004975  0.014925
6   dinov2_b  cifar100   0.089313   0.049668 -0.008964  -8.821257      200  0.004975  0.014925
7   dinov2_l  cifar100   0.086853   0.042513 -0.013148 -16.750867      200  0.004975  0.014925
8   dinov2_g  cifar100   0.102141   0.035808 -0.023247 -26.707609      200  0.004975  0.014925
9     clip_b  cifar100   0.117354   0.080451 -0.006022  -1.696552      184  0.084577  0.144989
10    clip_l  cifar100   0.131932   0.084385  0.003666   0.934396       35  0.825871  0.900950
11  siglip_b  cifar100   0.113353   0.078117 -0.007361  -2.799512      199  0.009950  0.026534
12    i21k_t       dtd   0.123802   0.087320 -0.000387  -0.096713      111  0.447761  0.597015
13    i21k_s       dtd   0.102752   0.070234 -0.006166  -2.051379      197  0.019900  0.047761
14    i21k_b       dtd   0.091502   0.059765 -0.007987  -3.403222      200  0.004975  0.014925
15    i21k_l       dtd   0.092329   0.055816 -0.007262  -4.141281      200  0.004975  0.014925
16  dinov1_b       dtd   0.109714   0.075219  0.000829   0.352953       80  0.601990  0.760408
17  dinov2_s       dtd   0.145322   0.090461  0.005821   2.217480        0  1.000000  1.000000
18  dinov2_b       dtd   0.138701   0.072552 -0.001869  -0.907587      162  0.194030  0.310448
19  dinov2_l       dtd   0.130687   0.063987 -0.005969  -3.690757      200  0.004975  0.014925
20  dinov2_g       dtd   0.136024   0.064541 -0.007855  -3.872471      200  0.004975  0.014925
21    clip_b       dtd   0.124992   0.088749  0.002092   0.570216       71  0.646766  0.776119
22    clip_l       dtd   0.120348   0.082364 -0.000818  -0.282470      124  0.383085  0.540825
23  siglip_b       dtd   0.114183   0.078538 -0.004396  -1.458262      184  0.084577  0.144989
