model,dataset,n,d,delta_999,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,delta_sup,delta_sup_sd,time_s,p_bh,genuine_bh,delta_sup_expR37,excess_gauss_sup_expR37,z_expR37
i21k_t,cifar100,1000,192,0.09326121013107604,0.00035340335974345884,0.0948933665228725,0.00504867659625363,-0.001632156391796452,-0.32249487628595824,134,0.3333333333333333,0.13026710688234844,0.003958795123884386,398.8515141010285,0.5,False,0.13026710688234844,-0.015146851834824946,-1.6604545580403491
i21k_s,cifar100,1000,384,0.08629236413729104,0.00023081169367447803,0.08123047694763695,0.004108970426901123,0.005061887189654085,1.2299723443388495,21,0.8955223880597015,0.12084897092769956,0.006014728678458018,405.4431974887848,0.9344581440622973,False,0.12084897092769956,-0.006925721323860615,-0.8037815075674145
i21k_b,cifar100,1000,768,0.0820233829464915,0.00040791310390488197,0.07888454546828921,0.003920212233766439,0.003138837478202289,0.7963808165212214,50,0.7512437810945274,0.12121084477759585,0.00487832630435692,665.7780828475952,0.8585643212508884,False,0.12121084477759585,-0.007475414216916235,-0.8676763019304456
i21k_l,cifar100,1000,1024,0.06744910344085445,0.00025559944297761327,0.07152100622713055,0.0024436576201512955,-0.004071902786276102,-1.6572736902163037,185,0.07960199004975124,0.09987825010204487,0.0035551482754157485,842.5683059692383,0.14498933901918978,False,0.09987825010204487,-0.014753848807463802,-2.8692119000389598
dinov1_b,cifar100,1000,768,0.07002675144730912,0.00032024369702923306,0.07418940691210542,0.0019911363443762924,-0.0041626554647963,-2.0640669109966114,194,0.03482587064676617,0.10353816605245578,0.0046229206598212185,619.2829835414886,0.07598371777476255,False,0.10353816605245578,-0.010573592428192724,-1.745790693551004
dinov2_s,cifar100,1000,384,0.0651783893103232,0.00023290328666436178,0.07006062208695389,0.0015069875812510453,-0.00488223277663069,-3.2017184661157856,200,0.0049751243781094535,0.1001004522822026,0.005128863418935589,212.5061597824097,0.01492537313432836,True,0.1001004522822026,-0.00905014188599193,-1.2802291711715712
dinov2_b,cifar100,1000,768,0.049668036743407605,0.00032482376789741234,0.0586320060468595,0.0009628642935644997,-0.008963969303451898,-8.821257265815925,200,0.0049751243781094535,0.0893125876908489,0.00550923391293784,660.7515501976012,0.01492537313432836,True,0.0893125876908489,-0.0062695449282992866,-1.1266780840551125
dinov2_l,cifar100,1000,1024,0.04251338117908558,0.00011128304240776434,0.055661450318472284,0.0007769900079152742,-0.013148069139386702,-16.750867193307396,200,0.0049751243781094535,0.08685289543704132,0.004441542922491415,833.3056921958922,0.01492537313432836,True,0.08685289543704132,-0.006802198620435476,-1.5242652276793156
dinov2_g,cifar100,1000,1536,0.03580841468991945,0.00013132231728050245,0.05905520274314587,0.0008604546585406767,-0.023246788053226428,-26.70760924468653,200,0.0049751243781094535,0.1021412697828761,0.01238139606446862,517.9100754261017,0.01492537313432836,True,0.1021412697828761,0.004832872748037079,0.3888742944670909
clip_b,cifar100,1000,512,0.08045117055841469,0.00031036772586429703,0.0864728561331726,0.0035357720641820065,-0.006021685574757907,-1.6965515579119983,184,0.0845771144278607,0.11735442153272704,0.005705557450260725,504.6807126998901,0.14498933901918978,False,0.11735442153272704,-0.017630578875473396,-2.2830199314052613
