model,family,size,dataset,modality,K,n,d,curv,delta_999,delta_sd,null_mean,null_sd,excess,z,r_above,p_left,delta_999_native,delta_999_native_sd,excessB_real,excessB_star,depth,z_depth,depth_regime,time_s,p_bh,genuine_bh
meru_s,meru,s,cifar100,image,20,100,512,0.10000000149011612,0.11714751410303816,0.0005733261709785655,0.13689337486724948,0.006788690741984489,-0.019745860764211337,-2.8983229548523664,199,0.009950248756218905,0.11712922410648755,0.0005790373982565612,-0.02280677661029809,-0.000895338256648348,-0.021911438353649743,-1.5213905270965138,unvalidated,175.67396688461304,0.023880597014925373,True
meru_s,meru,s,cifar100,text,20,100,512,0.10000000149011612,0.08604514259739687,0.0002841498685530536,0.1084808358945315,0.0038138799984038297,-0.022435693297134632,-5.866383463994197,200,0.0049751243781094535,0.08588484105646406,0.00029337866202926567,-0.007741191079716382,0.00011005527483551604,-0.007851246354551897,-0.6739962647215471,unvalidated,172.8427963256836,0.01492537313432836,True
meru_s,meru,s,imagenet,image,30,1000,512,0.10000000149011612,0.08841615254111694,0.00022807736948028706,0.09669291214201713,0.005255121488483578,-0.00827675960090017,-1.5735079349344294,186,0.07462686567164177,0.0882954358498194,0.0002323331738255776,-0.015126570775764738,0.0012619685478869227,-0.016388539323651658,-1.536651122656624,validated,559.8972175121306,0.11194029850746265,False
meru_s,meru,s,imagenet,text,30,1000,512,0.10000000149011612,0.08552334230399042,0.00023024353180267548,0.08810910616371352,0.003678051523677983,-0.002585763859723089,-0.7016520297595494,155,0.22885572139303484,0.08538519342104672,0.0002448827274053947,0.001859247635274397,0.0016451616275351035,0.00021408600773929341,0.0217504803956154,validated,564.9632315635681,0.28908091123330715,False
clip_s,clip,s,cifar100,image,20,100,512,0.0,0.10699335120806593,0.0003249501179166411,0.1345850784255713,0.007024660840956478,-0.027591727217505368,-3.923641881202775,200,0.0049751243781094535,0.1059046927434717,0.00035213336159989236,-0.041896139395251934,0.0018425118055613336,-0.04373865120081327,-3.9464451107260485,unvalidated,171.0116159915924,0.01492537313432836,True
clip_s,clip,s,cifar100,text,20,100,512,0.0,0.08218848870851025,0.0002914142867658637,0.1049085395942387,0.0038931668039836227,-0.02272005088572844,-5.819598480388974,200,0.0049751243781094535,0.08460465495302702,0.0003878969846541736,-0.008587451062899655,0.0017294377369646591,-0.010316888799864312,-0.7835471709470649,unvalidated,171.77912068367002,0.01492537313432836,True
clip_s,clip,s,imagenet,image,30,1000,512,0.0,0.08829172827424787,0.00035118537497683637,0.0947366672082278,0.0054191000220575394,-0.006444938933979932,-1.1868110892706776,171,0.14925373134328354,0.11032198902028142,0.00037877890343283947,-0.016849856556304138,0.0025022699431236,-0.01935212649942774,-1.8469772201192665,validated,590.969841003418,0.19900497512437804,False
clip_s,clip,s,imagenet,text,30,1000,512,0.0,0.08721160908897746,0.00036755083745785736,0.08156752907427453,0.004070616349625105,0.005644080014702943,1.3809240011766826,15,0.9253731343283582,0.0928532590046826,0.0003665853435792143,0.009267796450315807,-0.00010860779570698724,0.009376404246022794,0.8185341410143834,validated,582.7223339080809,0.9900497512437813,False
meru_b,meru,b,cifar100,image,20,100,512,0.10000000149011612,0.11390790937954805,0.0003334977678406508,0.13350121668853346,0.006099990086132524,-0.01959330730898537,-3.207233159701296,200,0.0049751243781094535,0.11388189986959425,0.00032776106524516277,-0.02409905402884824,-0.004593483752451069,-0.01950557027639717,-2.1567572377566293,unvalidated,179.82986545562744,0.01492537313432836,True
meru_b,meru,b,cifar100,text,20,100,512,0.10000000149011612,0.09594949272341256,0.0002571266706545771,0.10831058047035322,0.003668205943212908,-0.012361087746940669,-3.3615428293876035,200,0.0049751243781094535,0.095806576145379,0.00025144200695961,-0.007078178381028644,0.0007148113947241853,-0.007792989775752829,-0.7026333226338083,unvalidated,171.0831401348114,0.01492537313432836,True
