model,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
clip_b,real,real,0,depth,1000,512,3.8924756050109854,1.3295857906341553,-0.015869835461763626,0.0005381052587337438,0.004148051630725975,-0.01640794072049737,-1.9509375149849155,90.5174593925476,,,,,,,
clip_b,rand6,0.0,0,depth,1000,512,3.8924756050109854,1.0519896745681765,-0.007857473761235939,0.00044193854241667,0.004140563275972761,-0.008299412303652609,-0.9830860666164424,91.09479665756227,,,,,,,
clip_b,rand6,0.0,1,depth,1000,512,3.8924756050109854,1.0470926761627195,-0.007050146728651813,0.000441936594438154,0.004140567116857819,-0.0074920833230899654,-0.968405563093452,88.61222624778748,,,,,,,
clip_b,rand6,0.0,2,depth,1000,512,3.8924756050109854,1.0513191223144531,-0.003910241113912416,0.0004419375641625104,0.0041405676451995365,-0.004352178678074926,-0.5615831972451519,88.36622405052185,,,,,,,
clip_b,rand6,0.0,3,depth,1000,512,3.8924756050109854,1.0578415393829346,-0.0028418435455513373,0.0005381061639760001,0.004148056122495657,-0.003379949709527337,-0.39917432176370304,88.75717616081238,,,,,,,
clip_b,rand6,0.0,4,depth,1000,512,3.8924756050109854,1.0333998203277588,-0.004888122046852739,0.00044193764268246757,0.0041405656329347,-0.005330059689535207,-0.744576910466865,88.73441529273987,,,,,,,
clip_b,rand6,0.25,0,depth,1000,512,3.892475843429565,1.0535823106765747,-0.008098839839128014,0.00044193750752579276,0.0041405677807489424,-0.008540777346653806,-1.2756594289953394,89.7087152004242,,,,,,,
clip_b,rand6,0.25,1,depth,1000,512,3.8924753665924072,1.0670311450958252,-0.0017921831315952375,0.0005381021681130069,0.004148047870409515,-0.0023302852997082444,-0.2864772476758114,90.15710473060608,,,,,,,
clip_b,rand6,0.25,2,depth,1000,512,3.892475843429565,1.0613648891448977,-0.0017977845929114946,0.00044193869444592303,0.004140565359605639,-0.0022397232873574173,-0.2456740490276033,88.87058210372925,,,,,,,
clip_b,rand6,0.25,3,depth,1000,512,3.8924756050109854,1.0607275962829592,-0.003063724048539107,0.0005381078341451349,0.004148054097137412,-0.0036018318826842423,-0.4783438600752373,90.63045334815979,,,,,,,
clip_b,rand6,0.25,4,depth,1000,512,3.8924756050109854,1.0517045259475708,-0.009231786674799264,0.0004419378330090554,0.004140566006935621,-0.00967372450780832,-1.076459748077666,87.96040654182434,,,,,,,
clip_b,rand6,0.5,0,depth,1000,512,3.8924756050109854,1.0908948183059692,-0.0014305833806546595,0.0005381028392345485,0.0041480507665837855,-0.0019686862198892087,-0.25818701428652585,83.66689395904541,,,,,,,
clip_b,rand6,0.5,1,depth,1000,512,3.8924753665924072,1.081654071807861,-0.004731314330795322,0.0004419366809064476,0.004140567059816275,-0.00517325101170177,-0.5032285365208768,73.06852960586549,,,,,,,
clip_b,rand6,0.5,2,depth,1000,512,3.8924756050109854,1.0836044549942017,-0.0035382977175899,0.0005381065382608893,0.004148053495648818,-0.004076404255850789,-0.4863329302705076,59.408583164215095,,,,,,,
clip_b,rand6,0.5,3,depth,1000,512,3.8924753665924072,1.082605481147766,-0.00458608357059645,0.000538101972372472,0.00414805332126024,-0.005124185542968921,-0.5875122815961187,62.75990128517151,,,,,,,
clip_b,rand6,0.5,4,depth,1000,512,3.892475128173828,1.0749636888504028,-0.001826954578936335,0.000538100623819121,0.0041480489993022335,-0.0023650552027554557,-0.2589873237490055,57.92485499382019,,,,,,,
clip_b,rand6,0.75,0,depth,1000,512,3.892475843429565,1.0944359302520752,-0.017518601831214814,0.0005381047083542784,0.004148053139092495,-0.01805670653956909,-1.3482935078957157,52.56579303741455,,,,,,,
clip_b,rand6,0.75,1,depth,1000,512,3.8924753665924072,1.1005191802978516,-0.015798960752311964,0.00044194019490104717,0.004140565772215348,-0.016240900947213012,-1.1222827541956115,52.33522176742554,,,,,,,
clip_b,rand6,0.75,2,depth,1000,512,3.8924753665924072,1.113910675048828,-0.015624491513586162,0.00044193974358050644,0.0041405634517362325,-0.01606643125716667,-1.2230962051122831,66.93101549148561,,,,,,,
clip_b,rand6,0.75,3,depth,1000,512,3.8924753665924072,1.0811737775802612,-0.014546054766435529,0.0005381030833455924,0.0041480495794923656,-0.01508415784978112,-1.1053939276258102,52.540295362472534,,,,,,,
clip_b,rand6,0.75,4,depth,1000,512,3.8924756050109854,1.1188534498214722,-0.019031281207571197,0.00044193757290180574,0.004140564965047122,-0.019473218780473,-1.532628673387095,68.32264852523804,,,,,,,
clip_b,rand6,1.0,0,depth,1000,512,3.892475843429565,1.1252824068069458,-0.02681205566226605,0.00044194063788405996,0.004140567891862761,-0.02725399630015011,-1.8369664902416043,77.07485079765321,,,,,,,
clip_b,rand6,1.0,1,depth,1000,512,3.8924756050109854,1.1155997514724731,-0.026598626835709988,0.0005381064129418467,0.0041480512901996,-0.02713673324865184,-2.0569671253003947,75.86470222473146,,,,,,,
clip_b,rand6,1.0,2,depth,1000,512,3.8924756050109854,1.1139428615570068,-0.029462808870879712,0.000441937010359425,0.004140570445897743,-0.02990474588123913,-2.2799233985590392,64.66149401664735,,,,,,,
clip_b,rand6,1.0,3,depth,1000,512,3.892475843429565,1.090474247932434,-0.031288749955650175,0.0005381040392582303,0.004148052705831737,-0.031826853994908415,-2.8930355612863723,52.8930778503418,,,,,,,
clip_b,rand6,1.0,4,depth,1000,512,3.892475843429565,1.1125273704528809,-0.0257232961412093,0.0005381070933557164,0.004148049895502191,-0.026261403234565016,-1.7278335485229197,54.49488592147827,,,,,,,
clip_b,wn6,0.0,0,depth,1000,512,3.8924756050109854,1.0519896745681765,-0.007857473761235939,0.00044193854241667,0.004140563275972761,-0.008299412303652609,-0.9830860666164424,66.74823975563051,,,,,,,
clip_b,wn6,0.25,0,depth,1000,512,3.8924753665924072,1.0570700168609621,-0.006154488373917966,0.00044193601992575937,0.00414056508344999,-0.006596424393843725,-0.8701464695408744,62.35111618041992,,,,,,,
clip_b,wn6,0.5,0,depth,1000,512,3.8924753665924072,1.0871543884277344,-0.0064574491295238115,0.0005381053188235314,0.004148052573364534,-0.006995554448347344,-0.9362163752481424,80.73993182182313,,,,,,,
clip_b,wn6,0.75,0,depth,1000,512,3.892475843429565,1.1069860458374023,-0.02239608882750896,0.0005381057541836917,0.004148055713516722,-0.02293419458169265,-1.7110911917466656,80.1565384864807,,,,,,,
clip_b,wn6,1.0,0,depth,1000,512,3.892476081848145,1.0992224216461182,-0.03208635598275557,0.00044194231754312316,0.004140573808734387,-0.032528298300298686,-2.124415082248019,82.05753803253174,,,,,,,
clip_b,rand6,0.0,0,census,1000,512,3.8924756050109854,1.0519896745681765,,,,,,420.90530943870544,0.06942493037193084,0.00025387929194184184,0.09055002095866757,0.005072903623071698,-0.02112509058673674,200.0,0.0049751243781094535
clip_b,rand6,0.25,0,census,1000,512,3.892475843429565,1.0535823106765747,,,,,,422.80734014511114,0.07008302223700975,0.00021066925134352284,0.09104419889370616,0.005031518342768691,-0.020961176656696404,200.0,0.0049751243781094535
clip_b,rand6,0.5,0,census,1000,512,3.8924756050109854,1.0908948183059692,,,,,,422.4721088409424,0.06994767260542496,0.0002981758744522968,0.09074365757634273,0.005125294598772101,-0.020795984970917752,200.0,0.0049751243781094535
clip_b,rand6,0.75,0,census,1000,512,3.892475843429565,1.0944359302520752,,,,,,415.804883480072,0.06898318612855006,0.0004787149291520586,0.08929314433319056,0.0056162514708049385,-0.020309958204640502,200.0,0.0049751243781094535
clip_b,rand6,1.0,0,census,1000,512,3.892475843429565,1.1252824068069458,,,,,,432.08966970443726,0.0704206565701608,0.00031530141057469976,0.09207061854759424,0.005686205551163332,-0.02164996197743344,200.0,0.0049751243781094535
clip_b,tight06,real,0,depth,1000,512,3.8924756050109863,0.6000000238418579,-0.016660101216305706,-0.001795416700654491,0.0031003845794310768,-0.014864684515651216,-1.4822318581075862,80.15171599388123,,,,,,,
clip_b,rand6_t06,0.0,0,depth,1000,512,3.8924756050109863,0.47472965717315674,-0.01507205383506137,-0.0018119959288190545,0.0030735369918879615,-0.013260057906242314,-1.4892648259354386,78.42612075805664,,,,,,,
clip_b,rand6_t06,0.0,1,depth,1000,512,3.8924756050109863,0.4725198447704315,-0.020008201480850363,-0.0018120007088382503,0.003073539095637045,-0.018196200772012113,-1.8443392102920073,78.67276549339294,,,,,,,
clip_b,rand6_t06,0.5,0,depth,1000,512,3.8924756050109863,0.4922863245010376,-0.06765205323756568,-0.0017954120590846028,0.00310039207232157,-0.06585664117848107,-6.502584533220601,70.77423405647278,,,,,,,
clip_b,rand6_t06,0.5,1,depth,1000,512,3.8924753665924072,0.4881162643432617,-0.06879882760533093,-0.001779184699138965,0.0030997280380558323,-0.06701964290619197,-6.5596868325323445,68.00731253623962,,,,,,,
clip_b,rand6_t06,1.0,0,depth,1000,512,3.8924758434295654,0.5078043937683105,-0.14307650789543497,-0.0017954123591396643,0.003100387623785687,-0.1412810955362953,-11.93989837960306,55.63857412338257,,,,,,,
clip_b,rand6_t06,1.0,1,depth,1000,512,3.8924756050109863,0.5034348964691162,-0.14111366521943308,-0.0017954135705449807,0.0031003936670360786,-0.13931825164888811,-12.960392354355628,74.84526515007019,,,,,,,
