model,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
dinov2_b,real,real,0,depth,1000,768,18.712228775024414,3.70822024345398,-0.01372957148430555,0.0019217242683450691,0.005757513183257386,-0.015651295752650618,-1.1904942991902543,98.07862162590028,,,,,,,
dinov2_b,rand6,0.0,0,depth,1000,768,18.712230682373047,1.7034717798233032,0.0015445283684923786,0.0019217246351933208,0.005757513129956798,-0.00037719626670094236,-0.046648031037741566,94.9902400970459,,,,,,,
dinov2_b,rand6,0.0,1,depth,1000,768,18.712228775024414,1.6711333990097046,0.00039326444778690905,0.0019217231579746086,0.005757511503848342,-0.0015284587101876993,-0.16104356039496215,92.89541435241699,,,,,,,
dinov2_b,rand6,0.0,2,depth,1000,768,18.712228775024414,1.7052583694458008,0.0004510685527012587,0.0019217242389737547,0.0057575127950077075,-0.0014706556862724956,-0.16675443189512612,94.97892713546752,,,,,,,
dinov2_b,rand6,0.0,3,depth,1000,768,18.712228775024414,1.6983619928359983,-0.00355055603385146,0.0019217243985367527,0.005757512649846706,-0.005472280432388213,-0.6266686342247155,97.49350357055664,,,,,,,
dinov2_b,rand6,0.0,4,depth,1000,768,18.712228775024414,1.6898822784423828,0.0007157348460679057,0.0019217247640701152,0.005757513042151096,-0.0012059899180022096,-0.13564152019024836,97.115877866745,,,,,,,
dinov2_b,rand6,0.25,0,depth,1000,768,18.71222686767578,1.694549322128296,-0.0021750593441787203,0.001921723684273774,0.005757513082594254,-0.0040967830284524935,-0.4146348142079211,104.32573628425598,,,,,,,
dinov2_b,rand6,0.25,1,depth,1000,768,18.712228775024414,1.7179735898971558,-0.00409103786915896,0.0019217240105221605,0.005757513501295219,-0.006012761879681121,-0.5831957745261096,101.48964285850523,,,,,,,
dinov2_b,rand6,0.25,2,depth,1000,768,18.712230682373047,1.6812781095504759,0.0014025733661708756,0.0019217247945007509,0.0057575140993635435,-0.0005191514283298753,-0.05925137092535621,105.12743496894836,,,,,,,
dinov2_b,rand6,0.25,3,depth,1000,768,18.712230682373047,1.699160099029541,-0.000678595837687479,0.0019217240685866774,0.005757512750900042,-0.002600319906274157,-0.2945906879022504,114.54206848144531,,,,,,,
dinov2_b,rand6,0.25,4,depth,1000,768,18.712228775024414,1.6776801347732544,0.00016073154767104467,0.0019217239434147395,0.005757511958033114,-0.0017609923957436948,-0.19540239180743926,114.68982338905334,,,,,,,
dinov2_b,rand6,0.5,0,depth,1000,768,18.71222686767578,1.714358925819397,0.01022431879413284,0.001921724101006407,0.005757512394416181,0.008302594693126431,0.7915134472378369,110.35152792930604,,,,,,,
dinov2_b,rand6,0.5,1,depth,1000,768,18.712228775024414,1.7207233905792236,0.006892023794999354,0.0019217240677275485,0.0057575122514666325,0.004970299727271807,0.4945696082302438,110.9321835041046,,,,,,,
dinov2_b,rand6,0.5,2,depth,1000,768,18.712228775024414,1.744418382644653,0.006152759869136826,0.001921724447214218,0.0057575124058403685,0.004231035421922607,0.3965693460708747,112.63490891456604,,,,,,,
dinov2_b,rand6,0.5,3,depth,1000,768,18.712228775024414,1.72194242477417,0.007741278534190112,0.001921724151187429,0.005757512637965739,0.005819554383002685,0.5579561256972838,110.43580627441406,,,,,,,
dinov2_b,rand6,0.5,4,depth,1000,768,18.712228775024414,1.7080529928207395,0.010987560074490269,0.0019217238836468074,0.005757513802337638,0.009065836190843463,0.8340619139016129,105.36363244056702,,,,,,,
dinov2_b,rand6,0.75,0,depth,1000,768,18.71222686767578,1.749092936515808,0.0039939914744160365,0.0019217238032774489,0.005757513730964336,0.0020722676711385874,0.2195281040618388,105.35010957717896,,,,,,,
dinov2_b,rand6,0.75,1,depth,1000,768,18.712230682373047,1.7700989246368408,0.005080340001839406,0.001921723679508941,0.005757512988183723,0.0031586163223304648,0.30035949453015354,103.19976329803468,,,,,,,
dinov2_b,rand6,0.75,2,depth,1000,768,18.712228775024414,1.7812354564666748,0.005541368491922939,0.0019217243364245198,0.005757513800210469,0.003619644155498418,0.3478735823718605,104.75715732574464,,,,,,,
dinov2_b,rand6,0.75,3,depth,1000,768,18.712228775024414,1.7656279802322388,0.0016636804866919652,0.0019217238189702945,0.0057575124296110345,-0.0002580433322783293,-0.028486069384267718,110.76766586303712,,,,,,,
dinov2_b,rand6,0.75,4,depth,1000,768,18.712228775024414,1.7958288192749023,0.0015175268413774867,0.0019217235717149087,0.005757513510361021,-0.00040419673033742216,-0.04404996983813708,112.13081479072572,,,,,,,
dinov2_b,rand6,1.0,0,depth,1000,768,18.712228775024414,1.7895218133926392,-0.0045706956995893175,0.0019217243082706825,0.005757513181461414,-0.00649242000786,-0.7308990549384089,105.62469100952148,,,,,,,
dinov2_b,rand6,1.0,1,depth,1000,768,18.712228775024414,1.7803986072540283,0.0004319721804987437,0.0019217239586325013,0.00575751382957936,-0.0014897517781337574,-0.1584046034762569,107.28363919258119,,,,,,,
dinov2_b,rand6,1.0,2,depth,1000,768,18.712228775024414,1.7793760299682615,0.001053674345136743,0.0019217241161435922,0.005757513620458432,-0.0008680497710068485,-0.09003326943971159,103.9343945980072,,,,,,,
dinov2_b,rand6,1.0,3,depth,1000,768,18.712228775024414,1.7606273889541626,-0.0031858438543969077,0.0019217228699595246,0.005757512696347993,-0.0051075667243564325,-0.5073146905167487,103.19260668754578,,,,,,,
dinov2_b,rand6,1.0,4,depth,1000,768,18.712228775024414,1.7877696752548218,-0.002168242443912518,0.0019217245930668856,0.005757513122963739,-0.004089967036979404,-0.3802697551848862,102.89033436775208,,,,,,,
dinov2_b,wn6,0.0,0,depth,1000,768,18.712230682373047,1.7034717798233032,0.0015445283684923786,0.0019217246351933208,0.005757513129956798,-0.00037719626670094236,-0.046648031037741566,107.44070315361023,,,,,,,
dinov2_b,wn6,0.25,0,depth,1000,768,18.712228775024414,1.697222113609314,-0.0037000570155041454,0.0019217240146274601,0.005757513356696709,-0.0056217810301316075,-0.5563366548931435,104.68342804908752,,,,,,,
