model,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
dinov2_l,real,real,0,depth,1000,1024,17.967090606689453,3.877066850662232,-0.02741691707740936,0.0003011612908869504,0.005032419098367549,-0.02771807836829631,-2.3878543686819467,117.92520570755005,,,,,,,
dinov2_l,rand6,0.0,0,depth,1000,1024,17.967090606689453,1.720115065574646,0.0011978276039696506,0.00028110348922952136,0.0050072261267412104,0.0009167241147401293,0.10805792243067727,120.63625979423523,,,,,,,
dinov2_l,rand6,0.0,1,depth,1000,1024,17.967090606689453,1.7267966270446775,0.0007681144415474518,0.00030116167088980463,0.005032419207461789,0.00046695277065764704,0.05267807216613067,119.69643378257751,,,,,,,
dinov2_l,rand6,0.0,2,depth,1000,1024,17.967090606689453,1.736767292022705,0.0030292299061416283,0.000301160962659297,0.005032419191293016,0.0027280689434823315,0.3217837420960028,125.31586146354677,,,,,,,
dinov2_l,rand6,0.0,3,depth,1000,1024,17.967090606689453,1.73231041431427,0.0005217220652831145,0.00030116136439713447,0.005032418815636357,0.00022056070088598,0.02522876998753936,129.88006711006165,,,,,,,
dinov2_l,rand6,0.0,4,depth,1000,1024,17.967090606689453,1.7214192152023315,0.0016509844536940488,0.00030116097578327674,0.0050324181566583715,0.0013498234779107721,0.1547821379425204,127.29714155197144,,,,,,,
dinov2_l,rand6,0.25,0,depth,1000,1024,17.967090606689453,1.7366915941238403,0.0003905756984141223,0.0002811041208166734,0.005007225403271585,0.00010947157759744892,0.01256553263582097,125.903067111969,,,,,,,
dinov2_l,rand6,0.25,1,depth,1000,1024,17.967090606689453,1.7468554973602295,0.0007041548707037297,0.0003011613043199482,0.00503241903955746,0.0004029935663837817,0.046737494496476635,126.40900254249573,,,,,,,
dinov2_l,rand6,0.25,2,depth,1000,1024,17.967090606689453,1.7640115022659302,0.003090223114374971,0.00028110372692575765,0.005007225957689417,0.002809119387449213,0.31884965654680225,127.06380915641785,,,,,,,
dinov2_l,rand6,0.25,3,depth,1000,1024,17.967090606689453,1.7384341955184937,0.0007954735400404339,0.00030116181721777385,0.005032418159554689,0.0004943117228226601,0.0569685789314108,116.70409941673279,,,,,,,
dinov2_l,rand6,0.25,4,depth,1000,1024,17.967090606689453,1.7482571601867676,0.001609917213262438,0.00028110289984235176,0.005007226083341781,0.0013288143134200859,0.14990721222019232,120.53452777862549,,,,,,,
dinov2_l,rand6,0.5,0,depth,1000,1024,17.967090606689453,1.79716694355011,0.008369069422790906,0.0002811041733416647,0.0050072261050537956,0.008087965249449242,0.6248930012443141,123.08652520179749,,,,,,,
dinov2_l,rand6,0.5,1,depth,1000,1024,17.967090606689453,1.7560878992080688,0.009641528191426591,0.00028110361091426145,0.0050072273163515755,0.009360424580512332,0.7745216504944114,127.26619720458984,,,,,,,
dinov2_l,rand6,0.5,2,depth,1000,1024,17.967090606689453,1.78544282913208,0.006004162647045383,0.0002811043436440744,0.005007226560830915,0.00572305830340131,0.4633777618868229,128.39736795425415,,,,,,,
dinov2_l,rand6,0.5,3,depth,1000,1024,17.967090606689453,1.7873107194900513,0.009754814459467435,0.00028110434689871403,0.0050072262549685715,0.009473710112568723,0.774283365788584,124.51354146003723,,,,,,,
dinov2_l,rand6,0.5,4,depth,1000,1024,17.967090606689453,1.777344822883606,0.008784770013906387,0.0002811045284673311,0.005007227165621961,0.008503665485439056,0.6698696742855259,120.38717937469481,,,,,,,
dinov2_l,rand6,0.75,0,depth,1000,1024,17.967090606689453,1.7995259761810305,0.000622893863480245,0.00028110414489325165,0.0050072281604554725,0.0003417897185869933,0.04050470716636366,120.5305278301239,,,,,,,
dinov2_l,rand6,0.75,1,depth,1000,1024,17.96708869934082,1.8177740573883057,0.0010872728902013434,0.00028110289578189146,0.005007226133846588,0.000806169994419452,0.09124804974641844,121.97375607490541,,,,,,,
dinov2_l,rand6,0.75,2,depth,1000,1024,17.967090606689453,1.7957512140274048,0.0016064856315520376,0.00028110402621929904,0.0050072257735425145,0.0013253816053327384,0.14987268156039674,125.52998971939087,,,,,,,
dinov2_l,rand6,0.75,3,depth,1000,1024,17.967092514038086,1.81434166431427,-0.0014107991923821006,0.00030116231274256313,0.005032418022601958,-0.0017119615051246636,-0.22408476261253607,122.03371620178223,,,,,,,
dinov2_l,rand6,0.75,4,depth,1000,1024,17.967090606689453,1.8078632354736328,0.00016548716776303152,0.00028110375834001784,0.005007226000281639,-0.00011561659057698628,-0.012913279943895895,123.57828378677368,,,,,,,
dinov2_l,rand6,1.0,0,depth,1000,1024,17.967090606689453,1.828511476516724,-0.006147445310743446,0.0003011613216573533,0.005032418515251141,-0.006448606632400799,-0.7285787095848472,118.28722381591795,,,,,,,
dinov2_l,rand6,1.0,1,depth,1000,1024,17.967090606689453,1.814822793006897,-0.008050584187933585,0.0003011609969209836,0.005032418236939167,-0.008351745184854568,-0.9378251237535424,113.07510709762572,,,,,,,
dinov2_l,rand6,1.0,2,depth,1000,1024,17.967090606689453,1.823891043663025,-0.006474478499791394,0.00028110384958569405,0.005007226045669744,-0.006755582349377089,-0.8203959713113097,103.87727689743042,,,,,,,
dinov2_l,rand6,1.0,3,depth,1000,1024,17.967092514038086,1.81548285484314,-0.005483240515466406,0.0003011608206269209,0.005032418415325629,-0.005784401336093327,-0.6714506248056679,104.97019934654236,,,,,,,
dinov2_l,rand6,1.0,4,depth,1000,1024,17.967090606689453,1.822029709815979,-0.007032047744821982,0.00028110423241215485,0.005007226393811932,-0.007313151977234136,-0.8566701438484743,103.66890406608582,,,,,,,
dinov2_l,wn6,0.0,0,depth,1000,1024,17.967090606689453,1.720115065574646,0.0011978276039696506,0.00028110348922952136,0.0050072261267412104,0.0009167241147401293,0.10805792243067727,103.65430641174316,,,,,,,
dinov2_l,wn6,0.25,0,depth,1000,1024,17.967090606689453,1.7404839992523191,0.001272624575889253,0.0003011604079136101,0.005032418910993511,0.0009714641679756427,0.09938789471055556,104.4636549949646,,,,,,,
dinov2_l,wn6,0.5,0,depth,1000,1024,17.967090606689453,1.7850781679153442,-0.0006011541597785025,0.00030116115305122565,0.005032418330369516,-0.0009023153128297284,-0.08046932020590394,105.21131205558777,,,,,,,
dinov2_l,wn6,0.75,0,depth,1000,1024,17.967092514038086,1.8525160551071167,-0.009333303398635516,0.00030116225871580784,0.005032417349911619,-0.009634465657351323,-0.7694830281848852,104.2094988822937,,,,,,,
dinov2_l,wn6,1.0,0,depth,1000,1024,17.967090606689453,1.8643238544464111,-0.016177199038519042,0.00030116119510327635,0.005032419594027522,-0.016478360233622313,-1.0836898371309238,105.09484887123108,,,,,,,
dinov2_l,rand6,0.0,0,census,1000,1024,17.967090606689453,1.720115065574646,,,,,,544.9883878231049,0.035308728615432036,0.0002652100185341151,0.06387848322965396,0.0027092138270063512,-0.028569754614221926,200.0,0.0049751243781094535
dinov2_l,rand6,0.25,0,census,1000,1024,17.967090606689453,1.7366915941238403,,,,,,701.5153081417084,0.03510495231257753,0.00023343353803170243,0.06455537693223691,0.002557249771693839,-0.029450424619659375,200.0,0.0049751243781094535
dinov2_l,rand6,0.5,0,census,1000,1024,17.967090606689453,1.79716694355011,,,,,,720.7542221546173,0.036487953910659086,0.0001787526249774401,0.06347781862199718,0.002621288300672095,-0.02698986471133809,200.0,0.0049751243781094535
dinov2_l,rand6,0.75,0,census,1000,1024,17.967090606689453,1.7995259761810305,,,,,,719.3727560043335,0.035135774552552186,0.00019018204688454497,0.06545342294438078,0.0031764899166022474,-0.030317648391828583,200.0,0.0049751243781094535
dinov2_l,rand6,1.0,0,census,1000,1024,17.967090606689453,1.828511476516724,,,,,,723.9179000854492,0.0351406767872644,8.699823975993155e-05,0.06744248991169548,0.003276018659375721,-0.032301813124431075,200.0,0.0049751243781094535
dinov2_l,tight06,real,0,depth,1000,1024,17.967090606689453,0.6000000238418579,-0.11035033811696573,-0.049011580095448225,0.0040998385547170516,-0.06133875802151751,-6.1292073017876065,106.55490589141846,,,,,,,
dinov2_l,rand6_t06,0.0,0,depth,1000,1024,17.967090606689453,0.26619836688041687,-0.04452600869949752,-0.04900395158784705,0.004010080070504033,0.0044779428883495315,0.38109135329724886,81.7261312007904,,,,,,,
dinov2_l,rand6_t06,0.0,1,depth,1000,1024,17.967090606689453,0.26723238825798035,-0.04871542120951143,-0.049089169357177734,0.0040569284889634,0.00037374814766630293,0.0321993617162153,88.67337656021118,,,,,,,
dinov2_l,rand6_t06,0.5,0,depth,1000,1024,17.967090606689453,0.2781226634979248,-0.10783928193504785,-0.04902710972428126,0.004010496813357003,-0.058812172210766595,-8.21918189037201,101.7189872264862,,,,,,,
dinov2_l,rand6_t06,0.5,1,depth,1000,1024,17.967090606689453,0.27176541090011597,-0.10437265011500264,-0.04906431401616361,0.004053956625399075,-0.055308336098839034,-6.579161562916073,101.4408962726593,,,,,,,
dinov2_l,rand6_t06,1.0,0,depth,1000,1024,17.967090606689453,0.28297340869903564,-0.1873113827659793,-0.04902711016006235,0.004010495875428892,-0.13828427260591697,-11.410597557245573,74.31664705276489,,,,,,,
dinov2_l,rand6_t06,1.0,1,depth,1000,1024,17.967090606689453,0.2808550298213959,-0.18355599202424544,-0.049089170359643865,0.0040569274246147315,-0.13446682166460158,-10.4328525565073,71.35069942474365,,,,,,,
