model,partition,s,seed,kind,n,d,hub_rms,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,ratio
dinov2_s,real,real,0,depth,1000,384,20.124319076538086,0.008942481107964959,0.001209639009569112,0.004286646317407699,0.0077328420983958455,0.6622476122330512,70.05871319770813,,,,,,,,
dinov2_s,rand6,0.0,0,depth,1000,384,20.124319076538086,0.005458097547240873,0.0012096391221253805,0.004286646870271059,0.004248458425115492,0.4974613562268116,73.18970680236815,,,,,,,,
dinov2_s,rand6,0.0,1,depth,1000,384,20.124319076538086,0.0015444576344381955,0.0012096391997622805,0.004286645393288127,0.00033481843467591524,0.04181463195405158,71.09421467781067,,,,,,,,
dinov2_s,rand6,0.0,2,depth,1000,384,20.124319076538086,0.0023230972955425033,0.0012096401247768452,0.004286646778356649,0.0011134571707656581,0.1343008248616759,73.42078351974487,,,,,,,,
dinov2_s,rand6,0.0,3,depth,1000,384,20.124319076538086,0.0017181946384178248,0.0012096383356273762,0.004286646428044438,0.0005085563027904486,0.06275823941735557,74.81430149078369,,,,,,,,
dinov2_s,rand6,0.0,4,depth,1000,384,20.124319076538086,0.0034642770358947195,0.0012096395798794832,0.004286646580042335,0.0022546374560152363,0.2847349540115538,78.04335641860963,,,,,,,,
dinov2_s,rand6,0.25,0,depth,1000,384,20.12432098388672,0.002612364532793981,0.00120963893564969,0.004286645599276458,0.0014027255971442913,0.1637037559361512,74.13171577453612,,,,,,,,
dinov2_s,rand6,0.25,1,depth,1000,384,20.124319076538086,0.004312242907236419,0.0012096397022656345,0.004286645407240036,0.0031026032049707845,0.3908790616285192,76.0372791290283,,,,,,,,
dinov2_s,rand6,0.25,2,depth,1000,384,20.124319076538086,0.0013006260646082762,0.0012096394118032926,0.004286646050379161,9.098665280498361e-05,0.011122355707764096,74.39677786827087,,,,,,,,
dinov2_s,rand6,0.25,3,depth,1000,384,20.12432098388672,0.0055614651023373355,0.0012096396788374374,0.004286645536700114,0.004351825423499897,0.5021000237817628,70.8450882434845,,,,,,,,
dinov2_s,rand6,0.25,4,depth,1000,384,20.124319076538086,0.002499909970636871,0.0012096392797231847,0.0042866459854397285,0.0012902706909136866,0.1835733251178104,69.53780937194824,,,,,,,,
dinov2_s,rand6,0.5,0,depth,1000,384,20.124319076538086,0.007721473028345804,0.0012096385387211875,0.004286646853961829,0.006511834489624617,0.7448772353677072,69.71873521804811,,,,,,,,
dinov2_s,rand6,0.5,1,depth,1000,384,20.12432098388672,0.007123146419307626,0.0012096396728817113,0.004286644917954379,0.005913506746425916,0.7186050594589913,68.43699312210083,,,,,,,,
dinov2_s,rand6,0.5,2,depth,1000,384,20.124317169189453,0.003160158131078575,0.0012096394772220145,0.004286645921415533,0.0019505186538565605,0.21976076739641864,72.52523756027222,,,,,,,,
dinov2_s,rand6,0.5,3,depth,1000,384,20.124319076538086,0.005501354991822666,0.0012096395504247364,0.004286646153143473,0.004291715441397929,0.5360798858742231,69.16939449310303,,,,,,,,
dinov2_s,rand6,0.5,4,depth,1000,384,20.124317169189453,0.008093509736216142,0.0012096379548876142,0.004286647286775409,0.0068838717813285285,0.9560074017723229,69.32862162590028,,,,,,,,
dinov2_s,rand6,0.75,0,depth,1000,384,20.124319076538086,-0.009132025447817466,0.0012096387349806725,0.004286645707655905,-0.010341664182798138,-1.0451517436439286,69.78735995292665,,,,,,,,
dinov2_s,rand6,0.75,1,depth,1000,384,20.124319076538086,-0.010288611851794027,0.0012096396937315455,0.004286646260880916,-0.011498251545525574,-1.3165367711376768,70.06809449195862,,,,,,,,
dinov2_s,rand6,0.75,2,depth,1000,384,20.124319076538086,-0.0093573963368285,0.0012096390090293465,0.0042866460780152296,-0.010567035345857845,-1.209881792045567,70.63116502761841,,,,,,,,
dinov2_s,rand6,0.75,3,depth,1000,384,20.124319076538086,-0.00920639546217132,0.0012096384503651428,0.004286646177084732,-0.010416033912536465,-1.1026915686549752,69.99970984458922,,,,,,,,
dinov2_s,rand6,0.75,4,depth,1000,384,20.124319076538086,-0.005915505475972305,0.0012096384938129036,0.0042866461730520986,-0.0071251439697852074,-0.8177223085780345,69.59810853004457,,,,,,,,
dinov2_s,rand6,1.0,0,depth,1000,384,20.124319076538086,-0.017206192510547873,0.0012096386825895186,0.004286645310080207,-0.0184158311931374,-1.5723647339806563,69.61560702323915,,,,,,,,
dinov2_s,rand6,1.0,1,depth,1000,384,20.124319076538086,-0.014543826774883832,0.0012096395475184873,0.0042866463315867145,-0.015753466322402317,-1.4951377906075505,69.84566307067871,,,,,,,,
dinov2_s,rand6,1.0,2,depth,1000,384,20.124319076538086,-0.013415345634245276,0.0012096393808297885,0.004286646633006262,-0.014624985015075063,-1.3009220642045622,70.07687449455261,,,,,,,,
dinov2_s,rand6,1.0,3,depth,1000,384,20.124319076538086,-0.01510231237574361,0.0012096393979121561,0.004286647570132021,-0.016311951773655766,-1.4693139510264943,68.98859429359436,,,,,,,,
dinov2_s,rand6,1.0,4,depth,1000,384,20.124319076538086,-0.014682116914558284,0.0012096390737368207,0.004286646491614554,-0.015891755988295106,-1.293367173051351,71.11683225631714,,,,,,,,
dinov2_s,wn6,0.0,0,depth,1000,384,20.124319076538086,0.005458097547240873,0.0012096391221253805,0.004286646870271059,0.004248458425115492,0.4974613562268116,70.20088076591493,,,,,,,,
dinov2_s,wn6,0.25,0,depth,1000,384,20.12432098388672,0.003126707705241011,0.0012096399081353015,0.0042866459184910345,0.0019170677971057093,0.2393952034744232,75.92230844497679,,,,,,,,
dinov2_s,wn6,0.5,0,depth,1000,384,20.12432098388672,0.003513984006869461,0.001209639451774966,0.004286645313215981,0.0023043445550944954,0.2306214345848956,81.00414514541627,,,,,,,,
dinov2_s,wn6,0.75,0,depth,1000,384,20.12432098388672,-0.012685063188439122,0.0012096396543931436,0.00428664505722315,-0.013894702842832266,-0.9618317191453972,79.18105792999269,,,,,,,,
dinov2_s,wn6,1.0,0,depth,1000,384,20.124319076538086,-0.018546597689790098,0.0012096388615709596,0.004286647009601468,-0.019756236551361057,-1.4549835444846773,74.69672846794128,,,,,,,,
dinov2_s,rand6,0.0,0,census,1000,384,20.124319076538086,,,,,,365.55254101753235,0.05860921854904401,0.0004203546550330375,0.0748897031301294,0.00334707400574459,-0.016280484581085386,200.0,0.0049751243781094535,
dinov2_s,rand6,0.25,0,census,1000,384,20.12432098388672,,,,,,367.018075466156,0.05748216542484149,0.0002139482758667702,0.07529458905475367,0.0034644193369939447,-0.01781242362991219,200.0,0.0049751243781094535,
dinov2_s,rand6,0.5,0,census,1000,384,20.124319076538086,,,,,,386.7859935760498,0.058085455677297615,0.0004282080710233683,0.07439461657714454,0.0035963209602629287,-0.016309160899846922,200.0,0.0049751243781094535,
dinov2_s,rand6,0.75,0,census,1000,384,20.124319076538086,,,,,,378.9066286087036,0.059070581173020824,0.00034575206515188503,0.07431620257956982,0.003961821021513807,-0.015245621406549004,200.0,0.0049751243781094535,
dinov2_s,rand6,1.0,0,census,1000,384,20.124319076538086,,,,,,368.6703610420227,0.06003190310116265,0.0003868618504108363,0.0750933619557973,0.004088689003101457,-0.015061458854634648,200.0,0.0049751243781094535,
dinov2_s,tight06,real,0,depth,1000,384,20.124319076538086,-0.08441725379909211,-0.02402635855474492,0.004308019990985011,-0.06039089524434719,-7.558753388273161,66.26047348976135,,,,,,,,0.5999999642372131
dinov2_s,rand6_t06,0.0,0,depth,1000,384,20.124319076538086,-0.026251209862766398,-0.024111889016067617,0.004374905530064876,-0.0021393208466987806,-0.19479702681681244,66.45056962966919,,,,,,,,0.3146628439426422
dinov2_s,rand6_t06,0.0,1,depth,1000,384,20.124319076538086,-0.02626298879369246,-0.024111887866369294,0.004374905536293295,-0.0021511009273231657,-0.19062147536140364,66.3251850605011,,,,,,,,0.3089427649974823
dinov2_s,rand6_t06,0.5,0,depth,1000,384,20.124319076538086,-0.08106675238191248,-0.02411188611793851,0.0043749055333423045,-0.056954866263973974,-6.016131138854974,64.24826884269714,,,,,,,,0.31712213158607483
dinov2_s,rand6_t06,0.5,1,depth,1000,384,20.12432289123535,-0.08945465591010751,-0.02411189238546562,0.004374907610034269,-0.06534276352464188,-7.194939351150286,66.67469644546509,,,,,,,,0.31278640031814575
dinov2_s,rand6_t06,1.0,0,depth,1000,384,20.124317169189453,-0.17054850811411632,-0.024111885385265673,0.0043749081067801935,-0.14643662272885064,-11.797721142955552,59.158947467803955,,,,,,,,0.3271265923976898
dinov2_s,rand6_t06,1.0,1,depth,1000,384,20.124319076538086,-0.17432207009076092,-0.024111886707315712,0.004374906163209498,-0.15021018338344522,-12.032905062949723,59.46930694580078,,,,,,,,0.31311312317848206
