model,partition,s,seed,kind,n,d,hub_rms,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,ratio
i21k_b,real,real,0,depth,1000,768,33.24438095092773,-0.0334709385291426,-7.948608354908793e-06,0.00246838760286602,-0.03346298992078769,-3.619781224237433,87.05084133148193,,,,,,,,
i21k_b,rand6,0.0,0,depth,1000,768,33.24438095092773,-0.0006831469397342582,-7.95224843412462e-06,0.0024683857624168905,-0.0006751946913001336,-0.05257812717906035,94.8142340183258,,,,,,,,
i21k_b,rand6,0.0,1,depth,1000,768,33.24437713623047,-0.0025277113239287052,-3.972813974224832e-06,0.002653394955135748,-0.0025237385099544803,-0.1953518035707772,92.06809616088869,,,,,,,,
i21k_b,rand6,0.0,2,depth,1000,768,33.24438095092773,-0.005802904086645827,-3.976452665120643e-06,0.0026533957266888296,-0.005798927633980706,-0.563681194965526,98.31441330909729,,,,,,,,
i21k_b,rand6,0.0,3,depth,1000,768,33.24438095092773,0.0012289220688846134,-7.949554321826089e-06,0.0024683830003336426,0.0012368716232064394,0.09929638975348568,93.92974495887756,,,,,,,,
i21k_b,rand6,0.0,4,depth,1000,768,33.24438095092773,-0.0019324085285277735,-3.975372369544038e-06,0.002653394029170042,-0.0019284331561582296,-0.14696144332548305,96.7239944934845,,,,,,,,
i21k_b,rand6,0.25,0,depth,1000,768,33.24437713623047,-0.0004206366038731757,-7.948229081310152e-06,0.002468388325038,-0.0004126883747918656,-0.029967489088245237,92.84325122833252,,,,,,,,
i21k_b,rand6,0.25,1,depth,1000,768,33.24438095092773,0.0012368543341047256,-7.949743589265313e-06,0.002468387980169964,0.001244804077693991,0.10970938887393744,90.63300561904907,,,,,,,,
i21k_b,rand6,0.25,2,depth,1000,768,33.24437713623047,0.0019356911133009136,-7.949473799710726e-06,0.002468390633347987,0.0019436405871006246,0.128934120858057,89.26316261291504,,,,,,,,
i21k_b,rand6,0.25,3,depth,1000,768,33.24438095092773,0.0019621139278582227,-7.950906681544743e-06,0.002468389656434429,0.0019700648345397673,0.13449993279469935,90.43508505821228,,,,,,,,
i21k_b,rand6,0.25,4,depth,1000,768,33.24438095092773,-0.0010369616654700429,-7.829226851519959e-05,0.0025488517983920074,-0.0009586693969548433,-0.072788192722161,91.32541489601135,,,,,,,,
i21k_b,rand6,0.5,0,depth,1000,768,33.24437713623047,0.008203042840545155,-3.973487230880812e-06,0.0026533951567409,0.008207016327776036,0.5662267599639602,91.05648684501648,,,,,,,,
i21k_b,rand6,0.5,1,depth,1000,768,33.24438095092773,0.008046283051160744,-7.95002295998215e-06,0.002468389008565846,0.008054233074120726,0.608967725559652,90.526442527771,,,,,,,,
i21k_b,rand6,0.5,2,depth,1000,768,33.244384765625,0.010053629198922262,-7.953598730837953e-06,0.002468392553959605,0.0100615827976531,0.7369919343899286,90.54542589187622,,,,,,,,
i21k_b,rand6,0.5,3,depth,1000,768,33.24437713623047,0.014735113528244024,-3.972979933290766e-06,0.002653394627503234,0.014739086508177316,1.0305721649651158,90.44196891784668,,,,,,,,
i21k_b,rand6,0.5,4,depth,1000,768,33.24437713623047,0.00923666967560055,-3.973868224982358e-06,0.002653395964797565,0.009240643543825531,0.7665258694987781,90.47280883789062,,,,,,,,
i21k_b,rand6,0.75,0,depth,1000,768,33.24438095092773,-0.0015240295394096381,-3.974498962264206e-06,0.0026533951883306976,-0.001520055040447374,-0.10056668558495156,85.63008642196654,,,,,,,,
i21k_b,rand6,0.75,1,depth,1000,768,33.24438095092773,0.0026038433410216217,-3.9738664319194365e-06,0.002653394740768209,0.002607817207453541,0.1736093875121871,91.30764532089232,,,,,,,,
i21k_b,rand6,0.75,2,depth,1000,768,33.24438095092773,0.00014724464260898462,-7.953132808193042e-06,0.002468391297688263,0.00015519777541717766,0.010317438225560948,87.33821392059326,,,,,,,,
i21k_b,rand6,0.75,3,depth,1000,768,33.24437713623047,0.00021522459454773046,-3.975645316657561e-06,0.0026533980740613174,0.000219200239864388,0.014936952557754598,90.30892777442932,,,,,,,,
i21k_b,rand6,0.75,4,depth,1000,768,33.24438095092773,0.00615871091194639,-7.95235346682105e-06,0.0024683892145278266,0.0061666632654132116,0.43117524274579416,88.47447514533997,,,,,,,,
