model,partition,s,seed,kind,n,d,hub_rms,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,ratio
i21k_l,real,real,0,depth,1000,1024,32.467044830322266,-0.033640434412626555,-0.0004750719555626697,0.003333213798253298,-0.033165362457063884,-4.040148732302261,109.43898701667786,,,,,,,,
i21k_l,rand6,0.0,0,depth,1000,1024,32.467044830322266,-0.008050485237383874,-0.00047507038805214284,0.0033332156093035486,-0.00757541484933173,-0.834141216179667,107.36957120895386,,,,,,,,
i21k_l,rand6,0.0,1,depth,1000,1024,32.467044830322266,-0.0071340202459095345,-0.00047507058591833985,0.0033332106639059897,-0.006658949659991194,-0.7768015389019144,111.21432161331177,,,,,,,,
i21k_l,rand6,0.0,2,depth,1000,1024,32.467041015625,-0.002499765425587108,-0.0004750658293366586,0.003333211650753554,-0.0020246995962504497,-0.21275311229814586,112.852854013443,,,,,,,,
i21k_l,rand6,0.0,3,depth,1000,1024,32.467044830322266,-0.00835237271860391,-0.00047506998434115183,0.0033332118489973546,-0.007877302734262756,-0.9163799693006541,108.93643188476562,,,,,,,,
i21k_l,rand6,0.0,4,depth,1000,1024,32.467044830322266,-0.0052551994376781866,-0.0004750680103357996,0.0033332134225664486,-0.004780131427342388,-0.5345875595023898,108.73575162887572,,,,,,,,
i21k_l,rand6,0.25,0,depth,1000,1024,32.467041015625,-0.004282331448088969,-0.0004750705883885597,0.00333321456709427,-0.003807260859700409,-0.4169217283918693,101.8326666355133,,,,,,,,
i21k_l,rand6,0.25,1,depth,1000,1024,32.467044830322266,-0.007364186565590125,-0.0004750693012151045,0.0033332129787353683,-0.00688911726437502,-0.963723951713703,102.27572107315063,,,,,,,,
i21k_l,rand6,0.25,2,depth,1000,1024,32.467041015625,-0.0035703331784388845,-0.00047506504446182685,0.003333214141484645,-0.003095268133977057,-0.3052206368215393,103.84304165840149,,,,,,,,
i21k_l,rand6,0.25,3,depth,1000,1024,32.467044830322266,-0.005429419191717508,-0.0004750717229899281,0.0033332126597781604,-0.00495434746872758,-0.5142095841830825,103.13721823692322,,,,,,,,
i21k_l,rand6,0.25,4,depth,1000,1024,32.467044830322266,-0.004539526208872047,-0.00047507085726155164,0.00333321182590141,-0.004064455351610496,-0.469812627727424,103.00846076011658,,,,,,,,
i21k_l,rand6,0.5,0,depth,1000,1024,32.46704864501953,0.003399283065314007,-0.00047507019451726863,0.003333212361152908,0.003874353259831276,0.3363302999228311,102.41063022613524,,,,,,,,
i21k_l,rand6,0.5,1,depth,1000,1024,32.467044830322266,-0.00610195176523555,-0.000475071563565517,0.003333211855518784,-0.005626880201670033,-0.5146399784465532,102.56945705413818,,,,,,,,
i21k_l,rand6,0.5,2,depth,1000,1024,32.467044830322266,0.0013288815907319393,-0.0004750685096368418,0.003333211666436975,0.0018039501003687813,0.16234282679169787,101.96825098991394,,,,,,,,
i21k_l,rand6,0.5,3,depth,1000,1024,32.46704864501953,0.0009124708750554016,-0.0004750684884493248,0.0033332084197153127,0.0013875393635047267,0.13028418992667087,100.87448358535768,,,,,,,,
i21k_l,rand6,0.5,4,depth,1000,1024,32.46704864501953,-0.0014060969862672162,-0.00047506905555981933,0.003333212920001625,-0.0009310279307073966,-0.07862820459130912,101.89823842048644,,,,,,,,
i21k_l,rand6,0.75,0,depth,1000,1024,32.467044830322266,-0.019519308229085125,-0.00047507161637469356,0.0033332113946982073,-0.01904423661271043,-1.8771094757441087,101.13105702400208,,,,,,,,
i21k_l,rand6,0.75,1,depth,1000,1024,32.46704864501953,-0.01711402233926633,-0.00047507123758465803,0.0033332103028043364,-0.016638951101681673,-1.4848211909203743,103.53356075286864,,,,,,,,
i21k_l,rand6,0.75,2,depth,1000,1024,32.467044830322266,-0.017676437121614097,-0.00047506991354071833,0.0033332115790698108,-0.01720136720807338,-1.7590620055076078,108.48278975486755,,,,,,,,
i21k_l,rand6,0.75,3,depth,1000,1024,32.467041015625,-0.014183634585304972,-0.0004750695789125792,0.003333214725971887,-0.013708565006392393,-1.3339883415569755,122.56080961227416,,,,,,,,
i21k_l,rand6,0.75,4,depth,1000,1024,32.467044830322266,-0.015543961958510403,-0.0004750693697398722,0.003333215275875264,-0.015068892588770531,-1.445015558850043,110.91782331466676,,,,,,,,
i21k_l,rand6,1.0,0,depth,1000,1024,32.467044830322266,-0.02596061060020946,-0.0004750688662073621,0.0033332152531023746,-0.0254855417340021,-2.216835725056082,108.23981308937073,,,,,,,,
i21k_l,rand6,1.0,1,depth,1000,1024,32.467044830322266,-0.025101301760289227,-0.0004750698362646244,0.003333214413136004,-0.0246262319240246,-2.0764249695019164,106.69547820091248,,,,,,,,
i21k_l,rand6,1.0,2,depth,1000,1024,32.467044830322266,-0.02779672242040564,-0.0004750679435960373,0.0033332115170144924,-0.0273216544768096,-2.9475474359621683,106.56661200523376,,,,,,,,
i21k_l,rand6,1.0,3,depth,1000,1024,32.46704864501953,-0.029120098780782144,-0.00047507105027049657,0.0033332114226602987,-0.02864502773051165,-2.9311914894865483,105.96609258651732,,,,,,,,
i21k_l,rand6,1.0,4,depth,1000,1024,32.467044830322266,-0.02684503545465025,-0.0004750678240360407,0.0033332131174228018,-0.026369967630614208,-2.7610625364567887,109.30810189247131,,,,,,,,
i21k_l,wn6,0.0,0,depth,1000,1024,32.467044830322266,-0.008050485237383874,-0.00047507038805214284,0.0033332156093035486,-0.00757541484933173,-0.834141216179667,104.60914134979248,,,,,,,,
i21k_l,wn6,0.25,0,depth,1000,1024,32.467044830322266,-0.004379920529147027,-0.0004750694936852956,0.0033332140721097467,-0.003904851035461732,-0.4355999044058199,110.2644910812378,,,,,,,,
i21k_l,wn6,0.5,0,depth,1000,1024,32.467044830322266,-0.006881882675966497,-0.0004750686297317993,0.003333212487792992,-0.006406814046234698,-0.6261319442911661,107.59811544418336,,,,,,,,
i21k_l,wn6,0.75,0,depth,1000,1024,32.467044830322266,-0.03436048037453962,-0.0004750693684234822,0.003333212226924073,-0.03388541100611614,-1.9975381206635685,110.33396506309508,,,,,,,,
i21k_l,wn6,1.0,0,depth,1000,1024,32.46704864501953,-0.042260666843311936,-0.00047507148771867147,0.003333209148950757,-0.04178559535559327,-2.3563826411680204,113.055278301239,,,,,,,,
i21k_l,rand6,0.0,0,census,1000,1024,32.467044830322266,,,,,,696.484858751297,0.0561901427049323,0.0005951760619827643,0.07890863709445248,0.004062692328058553,-0.022718494389520182,200.0,0.0049751243781094535,
i21k_l,rand6,0.25,0,census,1000,1024,32.467041015625,,,,,,745.4255957603455,0.05800020574843943,0.0006351098236673705,0.08048221067947745,0.003908380588606822,-0.022482004931038014,200.0,0.0049751243781094535,
i21k_l,rand6,0.5,0,census,1000,1024,32.46704864501953,,,,,,749.238157749176,0.05632681976646231,0.000497090665307756,0.07913769985283498,0.004008669155232568,-0.02281088008637266,200.0,0.0049751243781094535,
i21k_l,rand6,0.75,0,census,1000,1024,32.467044830322266,,,,,,760.0801737308502,0.053093630519170376,0.000720848276744631,0.07859058264701993,0.004581151133533572,-0.02549695212784954,200.0,0.0049751243781094535,
i21k_l,rand6,1.0,0,census,1000,1024,32.467044830322266,,,,,,720.5579991340637,0.05481580608474287,0.0006747190256069619,0.08141756095120163,0.004718045940970938,-0.02660175486645875,200.0,0.0049751243781094535,
i21k_l,tight06,real,0,depth,1000,1024,32.467041015625,-0.04417660942705334,-0.024307811007397324,0.003807159926301721,-0.01986879841965602,-1.9390566978971575,96.3747947216034,,,,,,,,0.5999999642372131
i21k_l,rand6_t06,0.0,0,depth,1000,1024,32.467041015625,-0.038443048712492545,-0.024307804555001294,0.0038071617341936324,-0.014135244157491251,-1.3048831951224524,97.5021653175354,,,,,,,,0.4081808924674988
i21k_l,rand6_t06,0.0,1,depth,1000,1024,32.467041015625,-0.04598801415123299,-0.02430781323772636,0.0038071618268905485,-0.02168020091350663,-1.91495448843051,94.83335995674133,,,,,,,,0.40976643562316895
i21k_l,rand6_t06,0.5,0,depth,1000,1024,32.467044830322266,-0.10056849357663455,-0.024307812388095585,0.0038071604555878816,-0.07626068118853897,-8.227883242797772,86.95176553726196,,,,,,,,0.42646515369415283
i21k_l,rand6_t06,0.5,1,depth,1000,1024,32.467044830322266,-0.10056056836455884,-0.024307819856287376,0.003807160917313682,-0.07625274850827146,-9.073904426809044,93.81075835227966,,,,,,,,0.4167171120643616
i21k_l,rand6_t06,1.0,0,depth,1000,1024,32.467041015625,-0.16791365018644133,-0.024307807859899683,0.0038071614284049433,-0.14360584232654164,-13.465048445538578,98.08127951622009,,,,,,,,0.43390315771102905
i21k_l,rand6_t06,1.0,1,depth,1000,1024,32.467041015625,-0.16496577469470172,-0.024307809073360605,0.003807163399982133,-0.1406579656213411,-11.03780308536846,101.62263059616089,,,,,,,,0.4306548833847046
