model,partition,s,seed,kind,n,d,hub_rms,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,ratio
i21k_s,real,real,0,depth,1000,384,19.30592536926269,-0.0247066719693006,0.003392909098758444,0.005035874386449524,-0.028099581068059043,-2.361505082329531,67.94347381591797,,,,,,,,
i21k_s,rand6,0.0,0,depth,1000,384,19.30592536926269,-0.00885936462359807,0.0033929120331220946,0.005035875225251967,-0.012252276656720166,-1.2290349542406571,71.997878074646,,,,,,,,
i21k_s,rand6,0.0,1,depth,1000,384,19.30592536926269,-0.001991852541460976,0.003392911848585992,0.005035875195710779,-0.005384764390046967,-0.5323556056527634,71.56124472618103,,,,,,,,
i21k_s,rand6,0.0,2,depth,1000,384,19.305927276611328,-0.008682888452709023,0.00339290817266185,0.005035877969576985,-0.012075796625370871,-1.204304383848846,74.36983251571654,,,,,,,,
i21k_s,rand6,0.0,3,depth,1000,384,19.30592536926269,-0.005848467240492053,0.0033929083344274523,0.0050358735890506465,-0.009241375574919506,-0.9884394772768602,76.74429988861084,,,,,,,,
i21k_s,rand6,0.0,4,depth,1000,384,19.30592536926269,-0.002443843299491183,0.003392911566517015,0.0050358741628655475,-0.005836754866008198,-0.5790345212455468,73.03446292877197,,,,,,,,
i21k_s,rand6,0.25,0,depth,1000,384,19.30592536926269,-0.00939233672598197,0.0033929083239128176,0.005035874707471917,-0.012785245049894787,-1.2412557537236295,74.77639842033386,,,,,,,,
i21k_s,rand6,0.25,1,depth,1000,384,19.305927276611328,-0.005287454818625498,0.003392907349230703,0.005035874261940258,-0.008680362167856202,-1.0362741045441666,74.1234645843506,,,,,,,,
i21k_s,rand6,0.25,2,depth,1000,384,19.305927276611328,-0.007685909501606719,0.003392906695830168,0.005035878377031774,-0.011078816197436888,-1.2168067442024941,75.05437517166138,,,,,,,,
i21k_s,rand6,0.25,3,depth,1000,384,19.30592536926269,-0.007523122077148864,0.003392908715186761,0.005035873714919587,-0.010916030792335623,-1.168964231677995,68.93548941612244,,,,,,,,
i21k_s,rand6,0.25,4,depth,1000,384,19.30592536926269,-0.006286079069735343,0.0033929084764582128,0.005035873531437492,-0.009678987546193556,-1.0859342728574921,70.6918041706085,,,,,,,,
i21k_s,rand6,0.5,0,depth,1000,384,19.30592536926269,0.001917628338944266,0.003392910538007705,0.005035874614475796,-0.0014752821990634394,-0.11859780091747757,70.47315764427184,,,,,,,,
i21k_s,rand6,0.5,1,depth,1000,384,19.305923461914066,-0.00017931986128554012,0.003392910833685021,0.005035870487171573,-0.0035722306949705616,-0.3348008462255471,69.54415893554689,,,,,,,,
i21k_s,rand6,0.5,2,depth,1000,384,19.30592536926269,0.002871501549538441,0.0033929088412104,0.005035874386261925,-0.0005214072916719589,-0.04316588435821096,71.96734642982483,,,,,,,,
i21k_s,rand6,0.5,3,depth,1000,384,19.30592536926269,0.0017080363519778458,0.003392912649546778,0.0050358716971464716,-0.0016848762975689325,-0.15462188961821394,70.36888432502747,,,,,,,,
i21k_s,rand6,0.5,4,depth,1000,384,19.30592536926269,0.0004939542028519622,0.0033929125901782037,0.005035872942750965,-0.0028989583873262424,-0.30008975593487275,70.56304407119752,,,,,,,,
