model,partition,s,seed,kind,n,d,hub_rms,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left,ratio
i21k_t,real,real,0,depth,1000,192,29.854995727539066,-0.017306886749485786,0.00030773784278943783,0.007462135845461569,-0.017614624592275224,-1.4813579176116465,55.168368339538574,,,,,,,,
i21k_t,rand6,0.0,0,depth,1000,192,29.85499382019043,4.179297111450708e-05,0.00031518174918518106,0.0074623611989608875,-0.00027338877807067403,-0.021157690368167004,62.24138426780701,,,,,,,,
i21k_t,rand6,0.0,1,depth,1000,192,29.854995727539066,-0.0042038369039573975,0.00031517901361305937,0.007462359047030992,-0.004519015917570457,-0.3426876711112077,62.28117084503174,,,,,,,,
i21k_t,rand6,0.0,2,depth,1000,192,29.854995727539066,-0.00038782622386282495,0.0003151810556074663,0.007462358522793211,-0.0007030072794702912,-0.05797703252315919,62.1138072013855,,,,,,,,
i21k_t,rand6,0.0,3,depth,1000,192,29.854995727539066,0.003812135103721165,0.0003151763464298185,0.007462357501356956,0.0034969587572913465,0.2641050818306626,65.02669715881348,,,,,,,,
i21k_t,rand6,0.0,4,depth,1000,192,29.85499382019043,0.003107797840257498,0.0003151800477318917,0.007462364525761407,0.0027926177925256057,0.2379836178850667,64.09399151802063,,,,,,,,
i21k_t,rand6,0.25,0,depth,1000,192,29.854999542236328,-0.0052628777862350476,0.00031517479984019824,0.007462353108706494,-0.0055780525860752465,-0.5116504867118701,64.80376744270325,,,,,,,,
i21k_t,rand6,0.25,1,depth,1000,192,29.85499763488769,0.005413143965884715,0.00031517717735764504,0.007462356269816677,0.005097966788527071,0.4098165736370502,65.92996287345886,,,,,,,,
i21k_t,rand6,0.25,2,depth,1000,192,29.854995727539066,-0.00016002715112417576,0.00031517883253444904,0.00746235669983009,-0.0004752059836586248,-0.04506270982563915,63.36618423461914,,,,,,,,
i21k_t,rand6,0.25,3,depth,1000,192,29.854999542236328,0.002021345621189913,0.00031517802859076517,0.007462353417171773,0.0017061675925991475,0.14243688338995253,64.48458123207092,,,,,,,,
i21k_t,rand6,0.25,4,depth,1000,192,29.85499382019043,0.0036159608721484096,0.0003151799190204335,0.007462362348470058,0.003300780953127977,0.24233919836684806,61.0320463180542,,,,,,,,
i21k_t,rand6,0.5,0,depth,1000,192,29.85499382019043,0.0066531325125706595,0.00031518220859620135,0.007462362414650301,0.006337950303974457,0.488019468718194,60.35683798789978,,,,,,,,
i21k_t,rand6,0.5,1,depth,1000,192,29.85499763488769,0.014470608901356763,0.000315176501112896,0.007462358430451105,0.014155432400243868,1.0345435019974756,60.4754810333252,,,,,,,,
i21k_t,rand6,0.5,2,depth,1000,192,29.854995727539066,0.007381474744954347,0.0003151798916534804,0.007462357961938095,0.007066294853300866,0.4927114761576172,61.19221496582031,,,,,,,,
i21k_t,rand6,0.5,3,depth,1000,192,29.854995727539066,0.0060545501349253406,0.0003151796804231,0.007462359190440857,0.00573937045450224,0.3754439647889862,59.576119184494026,,,,,,,,
i21k_t,rand6,0.5,4,depth,1000,192,29.85499763488769,-0.003913238444254313,0.0003151771919011892,0.0074623539503796766,-0.004228415636155503,-0.28869467832242424,62.22679543495178,,,,,,,,
i21k_t,rand6,0.75,0,depth,1000,192,29.854995727539066,-0.0027486656899430306,0.00031518298928186195,0.007462357581836345,-0.003063848679224893,-0.17960903726021585,60.913357257843025,,,,,,,,
i21k_t,rand6,0.75,1,depth,1000,192,29.85499763488769,-0.004411373270985258,0.0003151803953205245,0.007462354213748083,-0.004726553666305783,-0.3113474291430033,60.31825923919678,,,,,,,,
