model,n_runs,real_z_here,real_z_B34,hits_s0,hits_s025,hits_s05,hits_s075,hits_s1,s_star,z_mean_s0,z_mean_s1,z_max_s0,census_exc_s0,census_exc_s1,census_exc_spread,census_null_sd,census_r_min,wn6_s1_z,tight_z_s0,tight_z_s05,tight_z_s1,tight_hits_s1,tight_hits_s0,ratio_real
i21k_t,25,-1.4813579176116465,-1.4813579176116465,0,0,0,0,0,,0.01605326114263909,-0.7215668304932695,0.2641050818306626,-0.008917562240031346,-0.009398440102372452,0.007638394478434979,0.00509029325160717,172,-1.4020269846883215,-0.6017994581637427,-4.73063284758817,-10.202317597213655,2,0,1.5462486743927002
i21k_s,25,-2.361505082329531,-2.361505082329531,0,0,0,0,1,,-0.9066337884529346,-1.9800990709857142,-0.5323556056527634,-0.018412253517285426,-0.020020472446791227,0.0033912246776436825,0.004322508200249495,200,-2.676825363057942,-0.2252410168001749,-6.952446501279081,-10.46255666114519,2,0,1.9323647022247314
i21k_b,25,-3.619781224237433,-3.619781224237433,0,0,0,0,0,,-0.17185523585747217,-0.48156418344446106,0.09929638975348568,-0.017297200721087445,-0.02083392531496165,0.003536724593874205,0.0041056400835371085,200,-1.9492324649788693,-1.0303478671666528,-7.651918610144129,-11.058889385820574,2,0,1.9573075771331787
i21k_l,25,-4.040148732302261,-4.040148732302261,0,0,0,0,5,1.0,-0.6549326792365542,-2.586612431292701,-0.21275311229814586,-0.022718494389520186,-0.02660175486645875,0.004119749935420736,0.00425578782928049,200,-2.3563826411680204,-1.6099188417764811,-8.650893834803409,-12.251425765453519,2,0,1.8818528652191162
dinov1_b,25,-0.9404819250777352,-0.9404819250777352,0,0,0,0,0,,-0.43884095791065425,-1.3326659609315494,-0.2476622846636469,-0.02050626739341671,-0.017997117517397306,0.004777021988826423,0.004176703866883335,200,-1.4526515315935702,-1.6121983562875113,-9.435427710167566,-11.371140066629684,2,0,2.1233694553375244
dinov2_s,25,0.6622476122330512,0.6622476122330512,0,0,0,0,0,,0.20421400129428974,-1.426221142574123,0.4974613562268116,-0.016280484581085386,-0.015061458854634648,0.0027509647752775417,0.0036916648655233456,200,-1.4549835444846773,-0.19270925108910805,-6.6055352450026295,-11.91531310295264,2,0,3.0024430751800537
dinov2_b,25,-1.1904942991902543,-1.1904942991902543,0,0,0,0,0,,-0.22735123554855874,-0.37338427471120245,-0.046648031037741566,-0.025878517043110158,-0.027437232903549,0.0034178701028760375,0.0030386091459616298,200,-0.783919021071835,-0.014083884966362922,-8.454857653464263,-10.977710784303461,2,0,3.7082202434539795
dinov2_l,25,-2.3878543686819467,-2.3878543686819467,0,0,0,0,0,,0.13250612892457408,-0.8029841146607684,0.3217837420960028,-0.028569754614221926,-0.032301813124431075,0.005311948413092984,0.002868052095070051,200,-1.0836898371309238,0.2066453575067321,-7.399171726644042,-10.921725056876436,2,0,3.8770668506622314
dinov2_g,25,-1.7783407590685485,-1.7783407590685485,0,0,0,0,0,,-0.2517782164995826,0.8816828007288369,-0.16344466983275724,-0.02803275107093215,-0.03008701117492265,0.0040852881436473885,0.0027954163918974145,200,-0.8117523985461107,0.23619784960925871,-9.101444788474659,-10.728937385438037,2,0,3.923668146133423
clip_b,25,-1.9509375149849155,-1.9509375149849155,0,0,0,0,3,,-0.7313652118371229,-2.158945224782066,-0.39917432176370304,-0.02112509058673674,-0.021649961977433442,0.00134000377279294,0.005306434717316152,200,-2.124415082248019,-1.666802018113723,-6.531135682876473,-12.450145366979344,2,0,1.3295857906341553
clip_l,25,-0.8272454930859939,-0.8272454930859939,0,0,0,5,5,0.75,-0.9484710912371428,-3.305892603642392,-0.6672123336967347,-0.02235210447798809,-0.022507946757328312,0.004123289277692052,0.0048616794333668865,200,-2.7530793104218296,-2.4317053738715213,-9.76563260354775,-13.436195009375998,2,2,1.4938230514526367
siglip_b,25,-0.9002032195421371,-0.9002032195421371,0,0,0,1,5,1.0,-0.7130568057715294,-2.6839815287651154,-0.4354658162765061,-0.02036943159551213,-0.01979160734304557,0.0019753425003319162,0.0047951703839033254,200,-1.6985299738569186,-2.092268686293683,-8.948091384043444,-11.838129455072819,2,2,1.5387986898422241
