model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
i21k_t,wn30,rand6,0.0,0,census,1000,192,29.85499382019043,1.13337504863739,,,,,,405.57994294166565,0.08373195403108441,0.000447353973918708,0.09264951627111576,0.004904983972457921,-0.008917562240031346,191.0,0.04975124378109453
i21k_t,wn30,rand6,0.25,0,census,1000,192,29.854995727539066,1.134222388267517,,,,,,402.89167261123663,0.08173579881218486,0.00030967774611510086,0.09544237473083657,0.004393324248076649,-0.013706575918651723,199.0,0.009950248756218905
i21k_t,wn30,rand6,0.5,0,census,1000,192,29.85499382019043,1.140874981880188,,,,,,411.19258165359497,0.08406996702816874,0.00035894287132691265,0.0925574245120482,0.0049957416110484225,-0.008487457483879468,188.0,0.06467661691542287
i21k_t,wn30,rand6,0.75,0,census,1000,192,29.854999542236328,1.1841897964477541,,,,,,408.67450284957886,0.08106597687483515,0.0002443661605157422,0.09114332976812638,0.005154073541865408,-0.01007735289329123,196.0,0.02487562189054726
i21k_t,wn30,rand6,1.0,0,census,1000,192,29.854995727539066,1.1854578256607056,,,,,,406.4659547805786,0.0804155558239481,0.00039344635278265686,0.08912730871303343,0.005439467235452192,-0.008711752889085322,189.0,0.059701492537313425
i21k_t,wn30,rand6,0.0,0,depth,1000,192,29.85499382019043,1.13337504863739,4.179297111450708e-05,0.00031518174918518106,0.0074623611989608875,-0.00027338877807067403,-0.021157690368167004,69.05428552627563,,,,,,,
i21k_t,wn30,rand6,0.0,1,depth,1000,192,29.854995727539066,1.1099040508270264,-0.0042038369039573975,0.00031517901361305937,0.007462359047030992,-0.004519015917570457,-0.3426876711112077,69.26590132713318,,,,,,,
i21k_t,wn30,rand6,0.0,2,depth,1000,192,29.854995727539066,1.1131343841552734,-0.00038782622386282495,0.0003151810556074663,0.007462358522793211,-0.0007030072794702912,-0.05797703252315919,68.39519667625427,,,,,,,
i21k_t,wn30,rand6,0.0,3,depth,1000,192,29.854995727539066,1.1101316213607788,0.003812135103721165,0.0003151763464298185,0.007462357501356956,0.0034969587572913465,0.2641050818306626,68.55117058753967,,,,,,,
i21k_t,wn30,rand6,0.0,4,depth,1000,192,29.85499382019043,1.1395015716552734,0.003107797840257498,0.0003151800477318917,0.007462364525761407,0.0027926177925256057,0.2379836178850667,70.30201268196106,,,,,,,
i21k_t,wn30,rand6,0.25,0,depth,1000,192,29.854995727539066,1.134222388267517,-0.006379984205245104,0.00031517996585871404,0.0074623612415724155,-0.006695164171103818,-0.6220100473921059,71.99513697624207,,,,,,,
i21k_t,wn30,rand6,0.25,1,depth,1000,192,29.85499763488769,1.1199910640716553,0.005246345881116693,0.0003151770503282636,0.0074623566629646405,0.004931168830788429,0.4129067950301267,73.18380928039552,,,,,,,
i21k_t,wn30,rand6,0.25,2,depth,1000,192,29.854995727539066,1.120758891105652,-0.0006841228375823183,0.00031517682738778363,0.007462357896274272,-0.000999299664970102,-0.09953549822378392,71.49601984024049,,,,,,,
i21k_t,wn30,rand6,0.25,3,depth,1000,192,29.85499763488769,1.132048726081848,0.0010895956511037808,0.0003151795812767644,0.0074623559247783315,0.0007744160698270162,0.06379210646958937,73.95017457008363,,,,,,,
i21k_t,wn30,rand6,0.25,4,depth,1000,192,29.854999542236328,1.1128987073898315,0.0034256435471223807,0.00031517445758555136,0.007462350423843161,0.0031104690895368296,0.2276883101020726,72.12828159332275,,,,,,,
i21k_t,wn30,rand6,0.5,0,depth,1000,192,29.85499382019043,1.140874981880188,0.0007417714166474965,0.00031517872587162046,0.007462360769542491,0.00042659269077587595,0.03471608159927702,69.88249611854553,,,,,,,
i21k_t,wn30,rand6,0.5,1,depth,1000,192,29.85499763488769,1.1782832145690918,0.01296118383999953,0.00031517481474475364,0.007462355707875071,0.012646009025254777,1.042466403190837,71.83996272087097,,,,,,,
i21k_t,wn30,rand6,0.5,2,depth,1000,192,29.85499382019043,1.1415294408798218,0.0049796323179913116,0.000315180904477394,0.007462363757771995,0.0046644514135139176,0.33621969013403274,65.60658931732178,,,,,,,
i21k_t,wn30,rand6,0.5,3,depth,1000,192,29.85499763488769,1.0890088081359863,0.004071570307958572,0.0003151780634452012,0.007462358025127895,0.0037563922445133712,0.2708676281230933,69.17727136611938,,,,,,,
i21k_t,wn30,rand6,0.5,4,depth,1000,192,29.85499763488769,1.1438696384429932,-0.006509441990638493,0.00031517946073251763,0.007462356445695031,-0.00682462145137101,-0.5198126544883865,64.32235717773439,,,,,,,
i21k_t,wn30,rand6,0.75,0,depth,1000,192,29.854999542236328,1.1841897964477541,0.008615418117521145,0.00031517544410550324,0.007462356487458689,0.008300242673415642,0.5975186865718963,63.35733819007874,,,,,,,
i21k_t,wn30,rand6,0.75,1,depth,1000,192,29.85499763488769,1.1956167221069336,0.004556812486917389,0.000315179648279676,0.007462356735298936,0.0042416328386377135,0.28911488400381585,62.95391464233398,,,,,,,
i21k_t,wn30,rand6,0.75,2,depth,1000,192,29.85499382019043,1.1453667879104614,0.011126292282090278,0.000315179308667532,0.00746236193296448,0.010811112973422745,0.8437413953845767,62.92466592788696,,,,,,,
i21k_t,wn30,rand6,0.75,3,depth,1000,192,29.85499763488769,1.143945574760437,0.01756236687466975,0.00031517673087053387,0.007462355942753525,0.017247190143799215,1.1351927527896288,63.08243298530578,,,,,,,
i21k_t,wn30,rand6,0.75,4,depth,1000,192,29.85499382019043,1.1612831354141235,0.015411074154854347,0.0003151804020905285,0.007462361042172538,0.01509589375276382,1.1066592650323357,74.70437145233154,,,,,,,
i21k_t,wn30,rand6,1.0,0,depth,1000,192,29.854995727539066,1.1854578256607056,-0.0034661003167962,0.00031518025515373525,0.007462358469275535,-0.003781280571949936,-0.25354773889233456,78.8269441127777,,,,,,,
i21k_t,wn30,rand6,1.0,1,depth,1000,192,29.85499382019043,1.1573342084884644,0.0034056027945370553,0.0003151793018184663,0.0074623612728806545,0.003090423492718589,0.19996439770750304,84.226402759552,,,,,,,
i21k_t,wn30,rand6,1.0,2,depth,1000,192,29.854999542236328,1.1788331270217896,0.004049949121431862,0.0003151719084911464,0.007462351716548502,0.003734777212940715,0.2678531941568797,78.41308116912842,,,,,,,
i21k_t,wn30,rand6,1.0,3,depth,1000,192,29.85499763488769,1.2178124189376829,0.004877267720703321,0.00031517817419677576,0.007462356244941771,0.004562089546506545,0.3007919581712785,73.864586353302,,,,,,,
i21k_t,wn30,rand6,1.0,4,depth,1000,192,29.85499382019043,1.1652508974075315,0.0013155770742886985,0.0003151787887510721,0.007462362835062998,0.0010003982855376263,0.07093033318502813,84.33660721778871,,,,,,,
i21k_t,wn30,rand6_t06,0.0,0,depth,1000,192,29.85499382019043,0.4397902190685272,-0.009581131853067444,-0.00921237974811662,0.005097597038372095,-0.00036875210495082404,-0.04562085971752442,79.06474709510803,,,,,,,
i21k_t,wn30,rand6_t06,0.0,1,depth,1000,192,29.854995727539066,0.4306826293468475,-0.019817729014599158,-0.009212383378448196,0.005097598998312968,-0.010605345636150964,-1.157978056609961,79.1965606212616,,,,,,,
i21k_t,wn30,rand6_t06,0.5,0,depth,1000,192,29.85499382019043,0.4427004158496857,-0.032792942645768784,-0.009212388899197095,0.005097591336894457,-0.023580553746571684,-2.5137511391666956,79.19088768959045,,,,,,,
i21k_t,wn30,rand6_t06,0.5,1,depth,1000,192,29.85499763488769,0.4572161734104157,-0.025160223848390256,-0.009212387218188052,0.005097598653232626,-0.015947836630202203,-1.193592556223364,77.02156162261963,,,,,,,
i21k_t,wn30,rand6_t06,1.0,0,depth,1000,192,29.854995727539066,0.4600001573562622,-0.11814814817562695,-0.009212381928984978,0.005097594218731471,-0.10893576624664196,-8.899160687503105,81.85924696922301,,,,,,,
i21k_t,wn30,rand6_t06,1.0,1,depth,1000,192,29.85499382019043,0.4490872025489807,-0.11771097857622767,-0.009199878430129049,0.005087532145833879,-0.10851110014609863,-9.547941001985928,78.19415855407716,,,,,,,
i21k_t,wn30,real,real,0,depth,1000,192,29.854995727539066,1.5462486743927002,-0.017306886749485786,0.00030773784278943783,0.007462135845461569,-0.017614624592275224,-1.4813579176116465,70.84603333473207,,,,,,,
i21k_t,wn30,tight06,real,0,depth,1000,192,29.854995727539066,0.5999999642372131,-0.03620079975685736,-0.009124212001632388,0.005149069215044989,-0.02707658775522497,-1.967588022362648,80.41288900375365,,,,,,,
