model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
clip_b,wn30,real,real,0,depth,1000,512,3.8924756050109863,1.3295857906341553,-0.015869835461763626,0.0005381052587337439,0.004148051630725975,-0.01640794072049737,-1.9509375149849153,102.23895645141602,,,,,,,
clip_b,wn30,rand6,0.0,0,depth,1000,512,3.8924756050109863,1.0519896745681763,-0.007857473761235939,0.00044193854241666997,0.004140563275972761,-0.008299412303652609,-0.9830860666164424,94.18416810035706,,,,,,,
clip_b,wn30,rand6,0.0,1,depth,1000,512,3.8924756050109863,1.0470926761627197,-0.007050146728651813,0.00044193659443815395,0.004140567116857819,-0.007492083323089966,-0.968405563093452,93.83356499671936,,,,,,,
clip_b,wn30,rand6,0.0,2,depth,1000,512,3.8924756050109863,1.0513191223144531,-0.003910241113912416,0.0004419375641625103,0.0041405676451995365,-0.004352178678074926,-0.5615831972451519,96.5164954662323,,,,,,,
clip_b,wn30,rand6,0.0,3,depth,1000,512,3.8924756050109863,1.0578415393829346,-0.002841843545551337,0.0005381061639760001,0.004148056122495657,-0.003379949709527337,-0.39917432176370304,96.34477424621582,,,,,,,
clip_b,wn30,rand6,0.0,4,depth,1000,512,3.8924756050109863,1.0333998203277588,-0.004888122046852739,0.00044193764268246757,0.0041405656329347,-0.0053300596895352065,-0.744576910466865,95.31531000137329,,,,,,,
clip_b,wn30,rand6,0.25,0,depth,1000,512,3.8924760818481445,1.052071452140808,-0.008703524954056269,0.0004419389140516275,0.004140569044862614,-0.009145463868107896,-1.3046683252794147,99.10568499565125,,,,,,,
clip_b,wn30,rand6,0.25,1,depth,1000,512,3.892475128173828,1.0656644105911255,-0.001604458742781728,0.0004419386943800618,0.0041405642498973634,-0.00204639743716179,-0.22572326738207865,101.63809061050415,,,,,,,
clip_b,wn30,rand6,0.25,2,depth,1000,512,3.8924753665924072,1.059526801109314,-0.0018359437356753605,0.0005381076672686058,0.004148053998201562,-0.0023740514029439662,-0.2692178203889573,98.69170308113098,,,,,,,
clip_b,wn30,rand6,0.25,3,depth,1000,512,3.892475128173828,1.0594184398651123,-0.0028843088832919417,0.0004419348424890224,0.004140564647806447,-0.003326243725780964,-0.4500728326057003,95.4792845249176,,,,,,,
clip_b,wn30,rand6,0.25,4,depth,1000,512,3.8924756050109863,1.0507192611694336,-0.009194291151712886,0.0005381068294350435,0.004148051088981763,-0.009732397981147929,-1.078504228123376,98.6985113620758,,,,,,,
clip_b,wn30,rand6,0.5,0,depth,1000,512,3.892475128173828,1.0812222957611084,-0.004089498070102032,0.0004419363709029289,0.004140563531656139,-0.004531434441004961,-0.5584505151897461,93.95279049873352,,,,,,,
clip_b,wn30,rand6,0.5,1,depth,1000,512,3.8924753665924072,1.075925588607788,-0.00401928902509277,0.00044194095509652865,0.004140567494183874,-0.004461229980189299,-0.5122295867823307,87.01808428764343,,,,,,,
clip_b,wn30,rand6,0.5,2,depth,1000,512,3.892475128173828,1.076758623123169,-0.0034238224642604564,0.0005381041818957877,0.004148051036139186,-0.003961926646156244,-0.5473023922539566,90.35107731819153,,,,,,,
clip_b,wn30,rand6,0.5,3,depth,1000,512,3.8924753665924072,1.075792908668518,-0.007016383701557272,0.0005381047209122636,0.0041480515280213626,-0.007554488422469535,-0.8790756989712126,88.057945728302,,,,,,,
clip_b,wn30,rand6,0.5,4,depth,1000,512,3.8924753665924072,1.068453311920166,-0.006259420329672222,0.0005381029594804965,0.00414804738465299,-0.006797523289152718,-0.8701625350787328,90.0940854549408,,,,,,,
clip_b,wn30,rand6,0.75,0,depth,1000,512,3.8924756050109863,1.0842033624649048,-0.0029800837300590355,0.0004419392547843029,0.0041405669874691456,-0.003422022984843338,-0.2802648973130368,93.16905450820923,,,,,,,
clip_b,wn30,rand6,0.75,1,depth,1000,512,3.8924753665924072,1.0835509300231934,-0.002048223696953816,0.0005381033990816922,0.004148052442842772,-0.002586327096035508,-0.28422189176379076,87.76570796966553,,,,,,,
clip_b,wn30,rand6,0.75,2,depth,1000,512,3.8924756050109863,1.1049765348434448,0.0009073092719419085,0.0004419378936729737,0.004140567075793778,0.00046537137826893474,0.04219223266839203,94.10020732879639,,,,,,,
clip_b,wn30,rand6,0.75,3,depth,1000,512,3.8924758434295654,1.066280484199524,-0.003080512030747329,0.0005381086277375463,0.0041480523465129695,-0.003618620658484875,-0.42025216693278794,88.01251792907715,,,,,,,
clip_b,wn30,rand6,0.75,4,depth,1000,512,3.8924756050109863,1.0987266302108765,-0.0011523065110780606,0.0004419406876846249,0.004140565029952735,-0.0015942471987626856,-0.1930665867849121,88.72378444671631,,,,,,,
clip_b,wn30,rand6,1.0,0,depth,1000,512,3.8924753665924072,1.1129637956619263,-0.011689032958857981,0.00044193608788274663,0.004140565678739212,-0.012130969046740728,-1.0825302835953685,89.35391592979431,,,,,,,
clip_b,wn30,rand6,1.0,1,depth,1000,512,3.8924758434295654,1.1046682596206665,-0.012577121299040483,0.0005381035029073611,0.004148052832990602,-0.013115224801947845,-1.2257274369440128,88.2044448852539,,,,,,,
clip_b,wn30,rand6,1.0,2,depth,1000,512,3.8924753665924072,1.0996044874191284,-0.018990617672121513,0.00044193535714679154,0.004140567050201973,-0.019432553029268305,-1.6174853649161758,94.21355891227722,,,,,,,
clip_b,wn30,rand6,1.0,3,depth,1000,512,3.8924756050109863,1.0845173597335815,-0.01676918918751405,0.00044193942824597153,0.004140567115474311,-0.017211128615760022,-1.4722109912545722,87.91344380378723,,,,,,,
clip_b,wn30,rand6,1.0,4,depth,1000,512,3.8924756050109863,1.1194313764572144,-0.008979133281326657,0.0004419391968617403,0.004140568982414615,-0.009421072478188398,-0.6329478404493604,83.87799024581909,,,,,,,
clip_b,wn30,rand6,0.0,0,census,1000,512,3.8924756050109863,1.0519896745681763,,,,,,443.3006796836853,0.06942493037193084,0.00025387929194184184,0.09055002095866758,0.0050729036230716985,-0.02112509058673674,200.0,0.004975124378109453
clip_b,wn30,rand6,0.25,0,census,1000,512,3.8924760818481445,1.052071452140808,,,,,,445.3790326118469,0.07007225109254075,0.00025542685260017487,0.09092037811349642,0.005040710501074043,-0.020848127020955662,200.0,0.004975124378109453
