model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
dinov2_s,wn30,real,real,0,depth,1000,384,20.124319076538086,3.0024430751800537,0.008942481107964959,0.001209639009569112,0.004286646317407699,0.007732842098395846,0.6622476122330512,81.32254076004028,,,,,,,
dinov2_s,wn30,rand6,0.0,0,depth,1000,384,20.124319076538086,1.5745954513549805,0.005458097547240873,0.0012096391221253805,0.004286646870271059,0.004248458425115492,0.4974613562268116,80.46005845069885,,,,,,,
dinov2_s,wn30,rand6,0.0,1,depth,1000,384,20.124319076538086,1.5459717512130737,0.0015444576344381955,0.0012096391997622803,0.004286645393288127,0.00033481843467591524,0.04181463195405158,80.26311922073364,,,,,,,
dinov2_s,wn30,rand6,0.0,2,depth,1000,384,20.124319076538086,1.5369997024536133,0.0023230972955425033,0.0012096401247768452,0.004286646778356649,0.0011134571707656581,0.1343008248616759,81.31296944618225,,,,,,,
dinov2_s,wn30,rand6,0.0,3,depth,1000,384,20.124319076538086,1.5430201292037964,0.0017181946384178248,0.0012096383356273762,0.004286646428044438,0.0005085563027904486,0.06275823941735557,82.55784034729004,,,,,,,
dinov2_s,wn30,rand6,0.0,4,depth,1000,384,20.124319076538086,1.5474355220794678,0.0034642770358947195,0.0012096395798794832,0.004286646580042335,0.0022546374560152363,0.2847349540115538,81.80971693992615,,,,,,,
dinov2_s,wn30,rand6,0.25,0,depth,1000,384,20.124317169189453,1.5491455793380737,0.0018178144649373812,0.001209637793939268,0.004286646141145433,0.0006081766709981132,0.07406277282097948,79.95601224899292,,,,,,,
dinov2_s,wn30,rand6,0.25,1,depth,1000,384,20.124319076538086,1.573946237564087,0.0033539703691174566,0.0012096400500226923,0.004286645667707877,0.0021443303190947643,0.2691811334360988,84.19889950752258,,,,,,,
dinov2_s,wn30,rand6,0.25,2,depth,1000,384,20.12432098388672,1.5219500064849854,0.0018475767989353103,0.0012096397152010206,0.004286644519552232,0.0006379370837342898,0.08270946911767318,78.82325458526611,,,,,,,
dinov2_s,wn30,rand6,0.25,3,depth,1000,384,20.124319076538086,1.5368298292160034,0.002729935610558995,0.0012096384866876462,0.004286646052150117,0.0015202971238713488,0.17216853823259112,82.40160012245178,,,,,,,
dinov2_s,wn30,rand6,0.25,4,depth,1000,384,20.124319076538086,1.5238847732543945,0.0036686811254107166,0.0012096392307930984,0.0042866459328282595,0.002459041894617618,0.3668418520416533,81.51984405517578,,,,,,,
dinov2_s,wn30,rand6,0.5,0,depth,1000,384,20.124317169189453,1.5713229179382324,0.004518178436112616,0.001209639270152986,0.004286646605340317,0.00330853916595963,0.37343729154627653,81.26768851280212,,,,,,,
dinov2_s,wn30,rand6,0.5,1,depth,1000,384,20.12432098388672,1.5472358465194702,0.004400385493081083,0.0012096399883515698,0.004286646733380121,0.0031907455047295126,0.36704168668671533,75.37189483642578,,,,,,,
dinov2_s,wn30,rand6,0.5,2,depth,1000,384,20.12432098388672,1.566555380821228,0.0031676208586407517,0.0012096398560404148,0.004286645703873063,0.0019579810026003367,0.21357775082490982,76.39788603782654,,,,,,,
