model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
i21k_b,wn30,real,real,0,depth,1000,768,33.244380950927734,1.9573075771331787,-0.033470938529142596,-7.948608354908793e-06,0.00246838760286602,-0.03346298992078769,-3.619781224237433,110.20795512199402,,,,,,,
i21k_b,wn30,rand6,0.0,0,depth,1000,768,33.244380950927734,1.3437389135360718,-0.0006831469397342582,-7.95224843412462e-06,0.0024683857624168905,-0.0006751946913001336,-0.05257812717906035,107.1817090511322,,,,,,,
i21k_b,wn30,rand6,0.0,1,depth,1000,768,33.24437713623047,1.3182296752929688,-0.0025277113239287052,-3.972813974224832e-06,0.002653394955135748,-0.0025237385099544803,-0.19535180357077722,110.32572054862976,,,,,,,
i21k_b,wn30,rand6,0.0,2,depth,1000,768,33.244380950927734,1.3451480865478516,-0.005802904086645827,-3.976452665120644e-06,0.0026533957266888296,-0.005798927633980706,-0.563681194965526,109.65008068084717,,,,,,,
i21k_b,wn30,rand6,0.0,3,depth,1000,768,33.244380950927734,1.3397080898284912,0.0012289220688846136,-7.94955432182609e-06,0.0024683830003336426,0.0012368716232064396,0.09929638975348569,109.86920738220215,,,,,,,
i21k_b,wn30,rand6,0.0,4,depth,1000,768,33.244380950927734,1.3330188989639282,-0.0019324085285277737,-3.975372369544039e-06,0.002653394029170042,-0.0019284331561582296,-0.14696144332548305,109.14673376083374,,,,,,,
i21k_b,wn30,rand6,0.25,0,depth,1000,768,33.244380950927734,1.3349299430847168,-0.00014065295057952287,-7.951939185273093e-06,0.0024683887921197268,-0.0001327010113942498,-0.009569373771589352,112.47339367866516,,,,,,,
i21k_b,wn30,rand6,0.25,1,depth,1000,768,33.244380950927734,1.3545039892196655,0.0013404660737491858,-7.952217644069392e-06,0.0024683859847477977,0.0013484182913932551,0.12231585378604477,107.39150333404541,,,,,,,
i21k_b,wn30,rand6,0.25,2,depth,1000,768,33.244380950927734,1.3253172636032104,0.0015609669738610443,-7.951339308065464e-06,0.0024683863373206986,0.0015689183131691099,0.10510231644448298,104.64118719100952,,,,,,,
i21k_b,wn30,rand6,0.25,3,depth,1000,768,33.244380950927734,1.3387798070907593,0.0022177487908094096,-3.975770656665379e-06,0.0026534005666237833,0.002221724561466075,0.15375725847596372,97.84905433654785,,,,,,,
i21k_b,wn30,rand6,0.25,4,depth,1000,768,33.244380950927734,1.3222270011901855,-0.0011393916879984534,-7.952033279626236e-06,0.0024683855126988066,-0.001131439654718827,-0.08802093952479746,110.38790607452393,,,,,,,
i21k_b,wn30,rand6,0.5,0,depth,1000,768,33.244380950927734,1.3426233530044556,0.0008499783789328863,-3.9746354125624885e-06,0.0026533914496983313,0.0008539530143454488,0.06104900272922289,103.18867015838623,,,,,,,
i21k_b,wn30,rand6,0.5,1,depth,1000,768,33.244384765625,1.3489570617675781,0.0008777277171567177,-7.955983147373002e-06,0.002468387442321469,0.0008856837003040907,0.06638080201697642,102.13117861747742,,,,,,,
