model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
i21k_s,wn30,real,real,0,depth,1000,384,19.305925369262695,1.9323647022247314,-0.024706671969300598,0.003392909098758444,0.005035874386449524,-0.028099581068059043,-2.361505082329531,77.25342988967896,,,,,,,
i21k_s,wn30,rand6,0.0,0,depth,1000,384,19.305925369262695,1.3303245306015015,-0.00885936462359807,0.0033929120331220946,0.005035875225251967,-0.012252276656720166,-1.2290349542406571,76.50368785858154,,,,,,,
i21k_s,wn30,rand6,0.0,1,depth,1000,384,19.305925369262695,1.3061412572860718,-0.0019918525414609756,0.0033929118485859916,0.005035875195710779,-0.005384764390046967,-0.5323556056527634,79.0002167224884,,,,,,,
i21k_s,wn30,rand6,0.0,2,depth,1000,384,19.305927276611328,1.2985609769821167,-0.008682888452709023,0.00339290817266185,0.005035877969576985,-0.012075796625370873,-1.2043043838488459,80.92618727684021,,,,,,,
i21k_s,wn30,rand6,0.0,3,depth,1000,384,19.305925369262695,1.3036476373672485,-0.005848467240492053,0.0033929083344274523,0.0050358735890506465,-0.009241375574919506,-0.9884394772768602,83.34786105155945,,,,,,,
i21k_s,wn30,rand6,0.0,4,depth,1000,384,19.305925369262695,1.3073779344558716,-0.002443843299491183,0.003392911566517015,0.005035874162865548,-0.005836754866008198,-0.5790345212455468,79.57853269577026,,,,,,,
i21k_s,wn30,rand6,0.25,0,depth,1000,384,19.305927276611328,1.3088226318359375,-0.009403645772792665,0.0033929076889291226,0.00503587514491171,-0.012796553461721788,-1.2753695329172712,82.76619863510132,,,,,,,
i21k_s,wn30,rand6,0.25,1,depth,1000,384,19.305927276611328,1.3297761678695679,-0.0041049081742291355,0.003392907626714263,0.005035876913253897,-0.007497815800943398,-0.8686360030874452,81.4489414691925,,,,,,,
i21k_s,wn30,rand6,0.25,2,depth,1000,384,19.305925369262695,1.2858461141586304,-0.007192446356931004,0.003392910559171869,0.00503587544581537,-0.010585356916102873,-1.2166950088832895,79.40501618385315,,,,,,,
i21k_s,wn30,rand6,0.25,3,depth,1000,384,19.305925369262695,1.2984176874160767,-0.008563969192515175,0.0033929078766395905,0.005035872300336224,-0.011956877069154766,-1.2545681790299417,83.06479334831238,,,,,,,
i21k_s,wn30,rand6,0.25,4,depth,1000,384,19.305925369262695,1.2874808311462402,-0.006400217909434874,0.0033929090483651126,0.005035875140031096,-0.009793126957799988,-1.1241253455630105,86.99698758125305,,,,,,,
i21k_s,wn30,rand6,0.5,0,depth,1000,384,19.305925369262695,1.3275597095489502,-0.003058993690816275,0.0033929116529816256,0.005035873438979703,-0.006451905343797901,-0.584304354440945,80.8946168422699,,,,,,,
i21k_s,wn30,rand6,0.5,1,depth,1000,384,19.305925369262695,1.3072096109390259,-0.0030486722110552728,0.0034124577564233066,0.005028235259122311,-0.006461129967478579,-0.6321489045327049,81.07965087890625,,,,,,,
i21k_s,wn30,rand6,0.5,2,depth,1000,384,19.305923461914062,1.323531985282898,-0.0016716870934627703,0.003392912644106841,0.005035872317607003,-0.005064599737569611,-0.5071776248653619,80.30342555046082,,,,,,,
