model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
i21k_t,wn30,real,real,0,depth,1000,192,29.854995727539062,1.5462486743927002,-0.017306886749485786,0.00030773784278943783,0.007462135845461569,-0.017614624592275224,-1.4813579176116465,70.84603333473206,,,,,,,
i21k_t,wn30,rand6,0.0,0,depth,1000,192,29.85499382019043,1.1333750486373901,4.179297111450708e-05,0.00031518174918518106,0.007462361198960887,-0.000273388778070674,-0.021157690368167004,69.05428552627563,,,,,,,
i21k_t,wn30,rand6,0.0,1,depth,1000,192,29.854995727539062,1.1099040508270264,-0.0042038369039573975,0.0003151790136130594,0.007462359047030992,-0.004519015917570457,-0.34268767111120774,69.26590132713318,,,,,,,
i21k_t,wn30,rand6,0.0,2,depth,1000,192,29.854995727539062,1.1131343841552734,-0.00038782622386282495,0.0003151810556074663,0.007462358522793211,-0.0007030072794702913,-0.05797703252315919,68.39519667625427,,,,,,,
i21k_t,wn30,rand6,0.0,3,depth,1000,192,29.854995727539062,1.1101316213607788,0.003812135103721165,0.0003151763464298185,0.007462357501356957,0.0034969587572913465,0.2641050818306626,68.55117058753967,,,,,,,
i21k_t,wn30,rand6,0.0,4,depth,1000,192,29.85499382019043,1.1395015716552734,0.003107797840257498,0.00031518004773189166,0.0074623645257614075,0.002792617792525606,0.23798361788506672,70.30201268196106,,,,,,,
i21k_t,wn30,rand6,0.25,0,depth,1000,192,29.854995727539062,1.134222388267517,-0.006379984205245104,0.000315179965858714,0.007462361241572416,-0.006695164171103818,-0.6220100473921059,71.99513697624207,,,,,,,
i21k_t,wn30,rand6,0.25,1,depth,1000,192,29.854997634887695,1.1199910640716553,0.005246345881116693,0.0003151770503282636,0.00746235666296464,0.004931168830788429,0.4129067950301267,73.18380928039551,,,,,,,
i21k_t,wn30,rand6,0.25,2,depth,1000,192,29.854995727539062,1.1207588911056519,-0.0006841228375823183,0.00031517682738778363,0.007462357896274272,-0.000999299664970102,-0.09953549822378391,71.49601984024048,,,,,,,
i21k_t,wn30,rand6,0.25,3,depth,1000,192,29.854997634887695,1.1320487260818481,0.0010895956511037808,0.00031517958127676436,0.007462355924778331,0.0007744160698270163,0.06379210646958938,73.95017457008362,,,,,,,
i21k_t,wn30,rand6,0.25,4,depth,1000,192,29.854999542236328,1.1128987073898315,0.003425643547122381,0.0003151744575855514,0.007462350423843161,0.0031104690895368296,0.2276883101020726,72.12828159332275,,,,,,,
i21k_t,wn30,rand6,0.5,0,depth,1000,192,29.85499382019043,1.140874981880188,0.0007417714166474965,0.00031517872587162046,0.00746236076954249,0.000426592690775876,0.03471608159927702,69.88249611854553,,,,,,,
i21k_t,wn30,rand6,0.5,1,depth,1000,192,29.854997634887695,1.1782832145690918,0.01296118383999953,0.00031517481474475364,0.0074623557078750714,0.012646009025254775,1.042466403190837,71.83996272087097,,,,,,,
i21k_t,wn30,rand6,0.5,2,depth,1000,192,29.85499382019043,1.1415294408798218,0.0049796323179913116,0.000315180904477394,0.007462363757771996,0.0046644514135139176,0.33621969013403274,65.60658931732178,,,,,,,
i21k_t,wn30,rand6,0.5,3,depth,1000,192,29.854997634887695,1.0890088081359863,0.004071570307958572,0.0003151780634452012,0.007462358025127895,0.003756392244513371,0.2708676281230933,69.17727136611938,,,,,,,
i21k_t,wn30,rand6,0.5,4,depth,1000,192,29.854997634887695,1.1438696384429932,-0.006509441990638493,0.0003151794607325176,0.007462356445695031,-0.00682462145137101,-0.5198126544883865,64.32235717773438,,,,,,,
i21k_t,wn30,rand6,0.75,0,depth,1000,192,29.854999542236328,1.184189796447754,0.008615418117521145,0.00031517544410550324,0.007462356487458689,0.008300242673415642,0.5975186865718963,63.357338190078735,,,,,,,
i21k_t,wn30,rand6,0.75,1,depth,1000,192,29.854997634887695,1.1956167221069336,0.004556812486917389,0.00031517964827967594,0.007462356735298936,0.004241632838637713,0.28911488400381585,62.953914642333984,,,,,,,
i21k_t,wn30,rand6,0.75,2,depth,1000,192,29.85499382019043,1.1453667879104614,0.011126292282090278,0.000315179308667532,0.00746236193296448,0.010811112973422746,0.8437413953845767,62.92466592788696,,,,,,,
i21k_t,wn30,rand6,0.75,3,depth,1000,192,29.854997634887695,1.143945574760437,0.01756236687466975,0.00031517673087053387,0.007462355942753525,0.017247190143799215,1.1351927527896288,63.082432985305786,,,,,,,
i21k_t,wn30,rand6,0.75,4,depth,1000,192,29.85499382019043,1.1612831354141235,0.015411074154854348,0.00031518040209052854,0.007462361042172537,0.01509589375276382,1.1066592650323355,74.70437145233154,,,,,,,
i21k_t,wn30,rand6,1.0,0,depth,1000,192,29.854995727539062,1.1854578256607056,-0.0034661003167962,0.00031518025515373525,0.007462358469275535,-0.0037812805719499355,-0.25354773889233456,78.82694411277771,,,,,,,
i21k_t,wn30,rand6,1.0,1,depth,1000,192,29.85499382019043,1.1573342084884644,0.003405602794537055,0.00031517930181846623,0.0074623612728806545,0.0030904234927185887,0.19996439770750304,84.226402759552,,,,,,,
i21k_t,wn30,rand6,1.0,2,depth,1000,192,29.854999542236328,1.1788331270217896,0.004049949121431862,0.0003151719084911464,0.007462351716548501,0.0037347772129407153,0.26785319415687975,78.41308116912842,,,,,,,
i21k_t,wn30,rand6,1.0,3,depth,1000,192,29.854997634887695,1.217812418937683,0.004877267720703321,0.00031517817419677576,0.007462356244941771,0.004562089546506545,0.3007919581712785,73.864586353302,,,,,,,
i21k_t,wn30,rand6,1.0,4,depth,1000,192,29.85499382019043,1.1652508974075317,0.0013155770742886985,0.0003151787887510721,0.007462362835062999,0.0010003982855376265,0.07093033318502812,84.3366072177887,,,,,,,
i21k_t,wn30,rand6,0.0,0,census,1000,192,29.85499382019043,1.1333750486373901,,,,,,405.57994294166565,0.08373195403108441,0.000447353973918708,0.09264951627111576,0.004904983972457921,-0.008917562240031346,191.0,0.04975124378109453
i21k_t,wn30,rand6,0.25,0,census,1000,192,29.854995727539062,1.134222388267517,,,,,,402.8916726112366,0.08173579881218486,0.0003096777461151009,0.09544237473083658,0.004393324248076649,-0.013706575918651723,199.0,0.009950248756218905
i21k_t,wn30,rand6,0.5,0,census,1000,192,29.85499382019043,1.140874981880188,,,,,,411.19258165359497,0.08406996702816874,0.0003589428713269126,0.09255742451204821,0.0049957416110484225,-0.008487457483879468,188.0,0.06467661691542288
i21k_t,wn30,rand6,0.75,0,census,1000,192,29.854999542236328,1.184189796447754,,,,,,408.67450284957886,0.08106597687483515,0.0002443661605157422,0.09114332976812638,0.005154073541865408,-0.01007735289329123,196.0,0.024875621890547265
i21k_t,wn30,rand6,1.0,0,census,1000,192,29.854995727539062,1.1854578256607056,,,,,,406.4659547805786,0.0804155558239481,0.0003934463527826568,0.08912730871303343,0.005439467235452192,-0.008711752889085322,189.0,0.05970149253731343
i21k_t,wn30,tight06,real,0,depth,1000,192,29.854995727539062,0.5999999642372131,-0.03620079975685736,-0.009124212001632387,0.005149069215044989,-0.027076587755224972,-1.9675880223626476,80.41288900375366,,,,,,,
i21k_t,wn30,rand6_t06,0.0,0,depth,1000,192,29.85499382019043,0.4397902190685272,-0.009581131853067443,-0.009212379748116619,0.005097597038372095,-0.00036875210495082404,-0.04562085971752442,79.06474709510803,,,,,,,
i21k_t,wn30,rand6_t06,0.0,1,depth,1000,192,29.854995727539062,0.43068262934684753,-0.01981772901459916,-0.009212383378448197,0.005097598998312968,-0.010605345636150964,-1.1579780566099607,79.1965606212616,,,,,,,
i21k_t,wn30,rand6_t06,0.5,0,depth,1000,192,29.85499382019043,0.44270041584968567,-0.03279294264576878,-0.009212388899197095,0.005097591336894457,-0.023580553746571684,-2.513751139166696,79.19088768959045,,,,,,,
i21k_t,wn30,rand6_t06,0.5,1,depth,1000,192,29.854997634887695,0.45721617341041565,-0.025160223848390256,-0.009212387218188052,0.005097598653232626,-0.015947836630202203,-1.193592556223364,77.02156162261963,,,,,,,
i21k_t,wn30,rand6_t06,1.0,0,depth,1000,192,29.854995727539062,0.4600001573562622,-0.11814814817562695,-0.009212381928984978,0.005097594218731471,-0.10893576624664197,-8.899160687503105,81.85924696922302,,,,,,,
i21k_t,wn30,rand6_t06,1.0,1,depth,1000,192,29.85499382019043,0.4490872025489807,-0.11771097857622768,-0.009199878430129049,0.0050875321458338785,-0.10851110014609863,-9.547941001985928,78.19415855407715,,,,,,,
