model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s,delta_999,delta_sd,null_mean,null_sd,excess,r_above,p_left
siglip_b,wn30,real,real,0,depth,1000,768,5.746446132659912,1.5387986898422241,-0.009716675422748747,0.0008434304194981617,0.004514183128554875,-0.010560105842246908,-0.9002032195421371,107.63194608688354,,,,,,,
siglip_b,wn30,rand6,0.0,0,depth,1000,768,5.746446132659912,1.181587815284729,-0.005479843622502215,0.0008434316917315957,0.004514180653202422,-0.006323275314233811,-0.64870206147549,107.88574433326721,,,,,,,
siglip_b,wn30,rand6,0.0,1,depth,1000,768,5.74644660949707,1.1591566801071167,-0.007886093079335618,0.0008434296292334275,0.004514184874837476,-0.008729522708569045,-0.823723058331825,106.09860610961914,,,,,,,
siglip_b,wn30,rand6,0.0,2,depth,1000,768,5.746446132659912,1.182827115058899,-0.003669844711842507,0.0008434292608131167,0.00451418283752089,-0.0045132739726556235,-0.43546581627650605,107.37246704101562,,,,,,,
siglip_b,wn30,rand6,0.0,3,depth,1000,768,5.746446132659912,1.1780434846878052,-0.007084135657802665,0.0008434316318951682,0.004514181906422409,-0.007927567289697833,-0.7716075754925474,101.08732295036316,,,,,,,
siglip_b,wn30,rand6,0.0,4,depth,1000,768,5.746446132659912,1.1721616983413696,-0.007282512780559899,0.0008467371562988866,0.004513186922584286,-0.008129249936858787,-0.8857855172812786,104.16702198982239,,,,,,,
siglip_b,wn30,rand6,0.25,0,depth,1000,768,5.746446132659912,1.173841953277588,-0.004022715823198811,0.0008434300197312742,0.004514181731786235,-0.004866145842930085,-0.47357263838325253,104.4490282535553,,,,,,,
siglip_b,wn30,rand6,0.25,1,depth,1000,768,5.746446132659912,1.191053867340088,-0.004193252402204542,0.000843428141545495,0.0045141859442243346,-0.005036680543750037,-0.5041776011324173,105.49747276306152,,,,,,,
siglip_b,wn30,rand6,0.25,2,depth,1000,768,5.74644660949707,1.1653892993927002,-0.005835067684720002,0.0008434304355212724,0.0045141839987380755,-0.006678498120241275,-0.6556489840235509,103.43836712837219,,,,,,,
siglip_b,wn30,rand6,0.25,3,depth,1000,768,5.74644660949707,1.177227258682251,-0.008624178003022814,0.0008434297412744333,0.004514183128467556,-0.009467607744297248,-0.9895496323507056,106.44791340827942,,,,,,,
