model,frame,n_runs,real_z,real_depth,ratio_real,hits_s0,hits_s025,hits_s05,hits_s075,hits_s1,s_star,z_mean_s0,z_max_s0,z_mean_s05,z_mean_s1,z_max_s1,census_exc_s0,census_exc_s1,census_exc_spread,census_null_sd,census_r_min,tight_z_s0,tight_z_s05,tight_z_s1,tight_hits_s1,tight_hits_s0
i21k_t,wn30,25,-1.4813579176116465,-0.017614624592275224,1.5462486743927002,0,0,0,0,0,,0.01605326114263909,0.2641050818306626,0.2328914297117707,0.11719842886567097,0.3007919581712785,-0.008917562240031346,-0.008711752889085322,0.005219118434772255,0.004977518121780119,188,-0.6017994581637427,-1.8536718476950298,-9.223550844744516,2,0
i21k_s,wn30,25,-2.361505082329531,-0.028099581068059043,1.9323647022247317,0,0,0,0,0,,-0.9066337884529346,-0.5323556056527634,-0.5787630502975365,-1.2178214935984208,-0.9549022843324506,-0.018412253517285426,-0.01876526449317798,0.004288776899264787,0.004210173485751584,200,-0.2252410168001749,-3.4488106537599323,-10.052786923526224,2,0
i21k_b,wn30,25,-3.619781224237433,-0.03346298992078769,1.9573075771331787,0,0,0,0,0,,-0.17185523585747217,0.09929638975348568,0.24777679906031058,0.36936300124996974,0.4061151797267564,-0.017297200721087445,-0.02026200702836394,0.0037229963992662374,0.003992214453960309,200,-1.0303478671666528,-3.9223969019200586,-11.453493704151224,2,0
i21k_l,wn30,25,-4.040148732302261,-0.033165362457063884,1.881852865219116,0,0,0,0,0,,-0.6549326792365543,-0.21275311229814586,-0.5530652759466133,-1.3730359206890035,-1.1569131283310614,-0.022718494389520182,-0.025022791284220282,0.002544056232422799,0.004113170189775824,200,-1.6099188417764811,-4.367593776760922,-12.683913231277758,2,0
dinov1_b,wn30,25,-0.9404819250777352,-0.00890021837846857,2.1233694553375244,0,0,0,0,0,,-0.43884095791065425,-0.2476622846636469,-0.23333936074272024,-0.3101196659841673,-0.15326836258583176,-0.02050626739341671,-0.020222922377189975,0.003247676620251237,0.004065614273603404,200,-1.6121983562875113,-5.13937288885825,-12.0850172530869,2,0
dinov2_s,wn30,25,0.6622476122330512,0.0077328420983958455,3.0024430751800537,0,0,0,0,0,,0.20421400129428974,0.4974613562268116,0.3857111704529732,-0.7869437528071369,-0.5002096437546325,-0.016280484581085386,-0.015447120709416784,0.0023317678074857573,0.003586827860327057,200,-0.19270925108910805,-3.064052981443429,-11.475456119213792,2,0
dinov2_b,wn30,25,-1.1904942991902543,-0.015651295752650618,3.70822024345398,0,0,0,0,0,,-0.22735123554855874,-0.046648031037741566,0.15713267795001293,0.40712231207550476,0.7864170323022941,-0.025878517043110158,-0.026955051338753325,0.0027581208975036575,0.0029256502063564017,200,-0.014083884966362922,-3.0705352207513075,-11.171865857958093,2,0
dinov2_l,wn30,25,-2.3878543686819467,-0.02771807836829631,3.877066850662232,0,0,0,0,0,,0.13250612892457408,0.3217837420960028,0.32955621991687944,0.1957102887304867,0.4535907431182324,-0.028569754614221926,-0.03069407746318742,0.003154850889922352,0.002737635238451127,200,0.2066453575067321,-2.6705874162836345,-11.396944928232408,2,0
dinov2_g,wn30,25,-1.7783407590685485,-0.0289859824302259,3.9236681461334233,0,0,0,0,0,,-0.2517782164995826,-0.16344466983275724,0.3804788960548849,1.302191682514157,1.5225095997215403,-0.02803275107093215,-0.028623914498937718,0.0018987817305243758,0.002664537831640329,200,0.23619784960925871,-3.894313492419413,-11.576319852117965,2,0
clip_b,wn30,25,-1.9509375149849155,-0.01640794072049737,1.3295857906341553,0,0,0,0,0,,-0.7313652118371229,-0.39917432176370304,-0.6734441456551957,-1.206180383431898,-0.6329478404493604,-0.02112509058673674,-0.019859273681640668,0.003081494899462009,0.005173948054787853,200,-1.666802018113723,-3.8074188367611335,-11.377045128960983,2,0
clip_l,wn30,25,-0.8272454930859939,-0.007819251789926922,1.4938230514526367,0,0,0,0,3,,-0.9484710912371428,-0.6672123336967347,-1.36136362629864,-2.1787530617836253,-1.9042970290723464,-0.02235210447798809,-0.022599356372537332,0.0038529538020939946,0.004746469494863207,200,-2.4317053738715213,-5.756783928413245,-13.505303867495178,2,2
siglip_b,wn30,25,-0.9002032195421371,-0.010560105842246908,1.538798689842224,0,0,0,0,0,,-0.7130568057715294,-0.4354658162765061,-0.689183433829099,-1.5506926955713092,-1.124745913004124,-0.02036943159551213,-0.01923100185719256,0.002963758316264751,0.0046824017013246755,200,-2.092268686293683,-5.0447476178013035,-11.033468631164958,2,2
