model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s
clip_l,wn30bal,real,real,0,depth,1000,768,5.802112579345703,1.3579915761947632,-0.006517312596720101,-0.00021025875223774497,0.004986212376087261,-0.006307053844482356,-0.6771819855282402,102.84036159515381
clip_l,wn30bal,rand6,0.0,0,depth,1000,768,5.802112579345703,1.1849607229232788,0.0011018553695695127,-0.00021025984830273653,0.004986216658216516,0.0013121152178722493,0.10027497813050068,101.53088426589966
clip_l,wn30bal,rand6,0.0,1,depth,1000,768,5.802112579345703,1.1710033416748047,-0.0010180715040819244,-0.0002650924945327468,0.004988796093668223,-0.0007529790095491776,-0.06709260653284518,105.48246312141418
clip_l,wn30bal,rand6,0.0,2,depth,1000,768,5.802112579345703,1.1839481592178345,0.004772949238679908,-0.0002650907141416428,0.00498879525926737,0.00503803995282155,0.4927919373917105,102.11547231674194
clip_l,wn30bal,rand6,0.0,3,depth,1000,768,5.802112579345703,1.174968957901001,0.0018544629845553967,-0.0003508595737340692,0.005001928125190252,0.002205322558289466,0.15859853852065753,103.96398496627808
clip_l,wn30bal,rand6,0.0,4,depth,1000,768,5.802112579345703,1.1761226654052734,0.0018035423658839117,-0.00026509232346832583,0.004988796102888644,0.0020686346893522374,0.15734908724333505,102.98438906669617
clip_l,wn30bal,rand6,0.25,0,depth,1000,768,5.802112579345703,1.1842628717422485,0.0031667907408096385,-0.00026509190136965455,0.004988793437729714,0.003431882642179293,0.25675392266219127,107.88173151016235
clip_l,wn30bal,rand6,0.25,1,depth,1000,768,5.802112579345703,1.1796026229858398,0.0028174457273786035,-0.00026508990912323257,0.004988794993259861,0.003082535636501836,0.2192727843068564,103.34632205963135
clip_l,wn30bal,rand6,0.25,2,depth,1000,768,5.802112579345703,1.1848520040512085,0.0029528994166569955,-0.00029602737286386487,0.005000397460302088,0.0032489267895208602,0.2694391328762286,101.44297385215759
clip_l,wn30bal,rand6,0.25,3,depth,1000,768,5.802112579345703,1.184017539024353,-0.0003283179985689444,-0.00026509190228487243,0.004988795553074911,-6.322609628407196e-05,-0.004670689180751244,98.72808337211609
clip_l,wn30bal,rand6,0.25,4,depth,1000,768,5.802112102508545,1.177208662033081,0.0024181713956134,-0.00035086011971116463,0.005001927508209695,0.0027690315153245646,0.2067329546655366,101.30539846420288
clip_l,wn30bal,rand6,0.5,0,depth,1000,768,5.802112102508545,1.171262264251709,0.002449056591546067,-0.00026509248597211403,0.004988796841948735,0.002714149077518181,0.19145398406460434,100.13172340393066
clip_l,wn30bal,rand6,0.5,1,depth,1000,768,5.802112579345703,1.1657824516296387,0.003110159572320373,-0.0002650948808451098,0.004988797282704722,0.003375254453165483,0.2579305871076166,99.92640542984009
clip_l,wn30bal,rand6,0.5,2,depth,1000,768,5.802112579345703,1.1803991794586182,0.001950646943451373,-0.0002102612725887118,0.004986213983581344,0.0021609082160400847,0.15624927786819487,100.89393734931946
clip_l,wn30bal,rand6,0.5,3,depth,1000,768,5.802112579345703,1.197721242904663,0.0033714278788840035,-0.00021026051943533742,0.004986213563843047,0.003581688398319341,0.2953836840075066,101.05878520011902
clip_l,wn30bal,rand6,0.5,4,depth,1000,768,5.802112579345703,1.1703226566314697,0.005816263057157073,-0.00035085774056951705,0.005001926490574152,0.0061671207977265895,0.48438015227648146,95.11209774017334
clip_l,wn30bal,rand6,0.75,0,depth,1000,768,5.802112579345703,1.1762245893478394,-0.0015198667425139756,-0.0002960296925511946,0.005000397137988526,-0.001223837049962781,-0.09384733469098643,65.55048704147339
clip_l,wn30bal,rand6,0.75,1,depth,1000,768,5.802112102508545,1.183215618133545,-0.0004856236285364218,-0.0002102611775855301,0.004986215803124189,-0.0002753624509508917,-0.019147892921839185,63.444958448410034
clip_l,wn30bal,rand6,0.75,2,depth,1000,768,5.802112579345703,1.182287335395813,-0.004471068160995628,-0.0002960298416673085,0.005000396371805297,-0.00417503831932832,-0.2975499094333961,65.88685250282288
clip_l,wn30bal,rand6,0.75,3,depth,1000,768,5.802112579345703,1.1794443130493164,-0.0013239092364067256,-0.00021026226035254642,0.004986216146300429,-0.0011136469760541791,-0.07750825762059549,53.29966616630554
clip_l,wn30bal,rand6,0.75,4,depth,1000,768,5.8021135330200195,1.1790587902069092,-0.0020310720325447673,-0.0002650934355646117,0.004988796807626941,-0.0017659785969801555,-0.13628911280658104,54.8903443813324
clip_l,wn30bal,rand6,1.0,0,depth,1000,768,5.802112579345703,1.1852957010269165,-0.008431541318256713,-0.0002650932040260956,0.004988796012501578,-0.008166448114230618,-0.4830741382245449,53.23005962371826
clip_l,wn30bal,rand6,1.0,1,depth,1000,768,5.802112102508545,1.1839548349380493,-0.014031839448532313,-0.00035085991171004136,0.005001926068416793,-0.013680979536822272,-0.8190103542651663,56.461207151412964
clip_l,wn30bal,rand6,1.0,2,depth,1000,768,5.802112579345703,1.1818293333053589,-0.010738689850702282,-0.00021026408792354094,0.004986216054360245,-0.01052842576277874,-0.6512417863490226,63.4810585975647
clip_l,wn30bal,rand6,1.0,3,depth,1000,768,5.802112579345703,1.17495596408844,-0.00981106150458097,-0.00021025958202528368,0.0049862143003882005,-0.009600801922555687,-0.6310245417216781,50.23689818382263
clip_l,wn30bal,rand6,1.0,4,depth,1000,768,5.802112579345703,1.1777476072311401,-0.01214475425152206,-0.00029602923973764126,0.005000399436311782,-0.01184872501178442,-0.7688092726262784,50.407480239868164
