model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s
dinov2_b,wn30bal,real,real,0,depth,1000,768,14.39108943939209,3.571342706680298,-0.003937082291936844,4.0942935645531256e-05,0.0029956570653558376,-0.003978025227582375,-0.32349452075488716,107.89580702781677
dinov2_b,wn30bal,rand6,0.0,0,depth,1000,768,14.391091346740723,2.092127799987793,0.003267737486210856,4.094341326461443e-05,0.0029956570740450085,0.0032267940729462418,0.33923961023485816,105.0203959941864
dinov2_b,wn30bal,rand6,0.0,1,depth,1000,768,14.39108943939209,2.0674855709075928,0.006483006468428434,4.0943585072528156e-05,0.0029956570346706957,0.006442062883355906,0.7051728521056418,100.11702561378479
dinov2_b,wn30bal,rand6,0.0,2,depth,1000,768,14.391090393066406,2.0903401374816895,0.0027131718436558955,4.094299648907951e-05,0.002995657280555825,0.002672228847166816,0.2644884608882144,102.21499395370483
dinov2_b,wn30bal,rand6,0.0,3,depth,1000,768,14.391088485717773,2.0744869709014893,0.004222996726731321,4.0942083678861815e-05,0.002995657427297772,0.004182054643052459,0.39832040156049325,101.93814396858215
dinov2_b,wn30bal,rand6,0.0,4,depth,1000,768,14.391088485717773,2.076524257659912,0.005006140845543905,4.094252503902274e-05,0.002995657346982095,0.004965198320504882,0.552473770049357,99.66885280609131
dinov2_b,wn30bal,rand6,0.25,0,depth,1000,768,14.391090393066406,2.0908961296081543,0.002338586699425202,4.094255596116814e-05,0.002995657712010933,0.002297644143464034,0.25018125245177075,100.44495606422424
dinov2_b,wn30bal,rand6,0.25,1,depth,1000,768,14.391090393066406,2.082667827606201,0.0025006317748591383,4.094295333519487e-05,0.002995656690985685,0.0024596888215239433,0.2500736772016069,100.4348075389862
dinov2_b,wn30bal,rand6,0.25,2,depth,1000,768,14.391087532043457,2.0919361114501953,0.0020131714895436914,4.094237755008223e-05,0.002995657239345553,0.001972229111993609,0.18948188063219504,100.19899463653564
dinov2_b,wn30bal,rand6,0.25,3,depth,1000,768,14.391090393066406,2.0904626846313477,0.0034572361159907194,4.0942488169687374e-05,0.0029956570974610528,0.003416293627821032,0.37913863707012013,99.17659974098206
dinov2_b,wn30bal,rand6,0.25,4,depth,1000,768,14.391087532043457,2.0784413814544678,0.001539540795986366,4.0942704012078555e-05,0.002995657490382207,0.0014985980919742874,0.16253730952001222,101.99592447280884
dinov2_b,wn30bal,rand6,0.5,0,depth,1000,768,14.391090393066406,2.0679421424865723,0.002270660755204018,4.094294849332769e-05,0.002995657063715233,0.0022297178067106904,0.20846660348209894,101.65959787368774
dinov2_b,wn30bal,rand6,0.5,1,depth,1000,768,14.391090393066406,2.05826735496521,-0.00014184652469209635,4.094327562993855e-05,0.002995657015659133,-0.0001827898003220349,-0.020850933029405702,100.37597036361694
dinov2_b,wn30bal,rand6,0.5,2,depth,1000,768,14.391087532043457,2.0840747356414795,-0.0032494921215031614,4.0942703330108796e-05,0.0029956569893857,-0.0032904348248332703,-0.3095597409869203,102.36186814308167
dinov2_b,wn30bal,rand6,0.5,3,depth,1000,768,14.391087532043457,2.1146581172943115,-0.00417769727530988,4.0942359058993016e-05,0.0029956574195846835,-0.004218639634368873,-0.40001391173420253,101.50359511375427
dinov2_b,wn30bal,rand6,0.5,4,depth,1000,768,14.391090393066406,2.066283702850342,0.0008807997088709912,4.0943040616310544e-05,0.002995657013508548,0.0008398566682546807,0.08053924887859765,103.41388535499573
dinov2_b,wn30bal,rand6,0.75,0,depth,1000,768,14.391090393066406,2.0767037868499756,-0.006451175353423544,4.094339880240244e-05,0.002995656385271572,-0.006492118752225946,-0.5802610888842514,101.38734841346741
