model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s
dinov2_s,wn30bal,real,real,0,depth,1000,384,15.929948806762695,2.846029043197632,0.0011590506795374489,-0.00031140924653787064,0.0034724746795547594,0.0014704599260753196,0.12129969347852962,80.73737573623657
dinov2_s,wn30bal,rand6,0.0,0,depth,1000,384,15.929950714111328,1.815040946006775,-0.0016322964105744409,-0.0003114087506269514,0.003472476268455065,-0.0013208876599474894,-0.1953353840681236,77.93229651451111
dinov2_s,wn30bal,rand6,0.0,1,depth,1000,384,15.929948806762695,1.8280320167541504,-0.006766786809756911,-0.00031140845544054275,0.0034724775362047523,-0.006455378354316368,-0.6377559252664697,81.26576614379883
dinov2_s,wn30bal,rand6,0.0,2,depth,1000,384,15.929950714111328,1.825180172920227,-0.002770678334949636,-0.0003114106455500684,0.0034724749125940534,-0.0024592676893995676,-0.2947784464378224,80.92190480232239
dinov2_s,wn30bal,rand6,0.0,3,depth,1000,384,15.929950714111328,1.8535336256027222,-0.0017345675559116563,-0.00031141005352226385,0.0034724765776992747,-0.0014231575023893924,-0.14559085970809965,81.30702519416809
dinov2_s,wn30bal,rand6,0.0,4,depth,1000,384,15.929948806762695,1.8171814680099487,0.0029821058122825733,-0.000311409274573235,0.003472475704226635,0.0032935150868558085,0.31049239463499384,79.22966861724854
dinov2_s,wn30bal,rand6,0.25,0,depth,1000,384,15.929950714111328,1.8197442293167114,0.0007078565202020409,-0.000311407587149147,0.003472477562736401,0.001019264107351188,0.11960135631336093,79.14682197570801
dinov2_s,wn30bal,rand6,0.25,1,depth,1000,384,15.929950714111328,1.8318160772323608,5.9539361952826164e-05,-0.00031141071284777335,0.0034724749963799956,0.0003709500748005995,0.03333668757623539,77.48929762840271
dinov2_s,wn30bal,rand6,0.25,2,depth,1000,384,15.929948806762695,1.8141756057739258,-0.0005607000475379431,-0.0003114071103460417,0.0034724785831690736,-0.0002492929371919014,-0.025310530337661907,79.16534233093262
dinov2_s,wn30bal,rand6,0.25,3,depth,1000,384,15.929948806762695,1.8470110893249512,-0.003132401212149069,-0.0003114113622637221,0.003472472563672832,-0.002820989849885347,-0.36468036883250465,80.35655999183655
dinov2_s,wn30bal,rand6,0.25,4,depth,1000,384,15.929948806762695,1.8160533905029297,-0.003095201305609696,-0.000311409194933035,0.0034724771067523755,-0.002783792110676661,-0.36849136483380546,78.38316464424133
dinov2_s,wn30bal,rand6,0.5,0,depth,1000,384,15.929947853088379,1.8174787759780884,0.0031077296983244296,-0.00031140852127022474,0.003472475224747652,0.0034191382195946545,0.33009759748313694,79.07611155509949
dinov2_s,wn30bal,rand6,0.5,1,depth,1000,384,15.929947853088379,1.8343857526779175,-0.003716638660716781,-0.00031140951468266174,0.003472474261763331,-0.0034052291460341193,-0.30864335379354474,78.78178811073303
dinov2_s,wn30bal,rand6,0.5,2,depth,1000,384,15.929948806762695,1.8360689878463745,-0.007296733730670163,-0.0003114115597284819,0.003472474049869257,-0.006985322170941681,-0.7701024857677704,79.55056524276733
dinov2_s,wn30bal,rand6,0.5,3,depth,1000,384,15.929948806762695,1.8175030946731567,-0.002172940339213128,-0.0003114106358596769,0.0034724736070122267,-0.0018615297033534512,-0.1622591144424234,76.20893406867981
dinov2_s,wn30bal,rand6,0.5,4,depth,1000,384,15.929947853088379,1.82264244556427,-0.0027147089166048854,-0.00031141084617127837,0.003472473694365191,-0.002403298070433607,-0.22843513907025131,75.70948433876038
dinov2_s,wn30bal,rand6,0.75,0,depth,1000,384,15.929946899414062,1.8426799774169922,-0.004523439782193786,-0.0003114097269989541,0.00347247497093292,-0.004212030055194832,-0.4494603533162719,76.98386764526367
dinov2_s,wn30bal,rand6,0.75,1,depth,1000,384,15.929946899414062,1.841673731803894,-0.009287268074971683,-0.00031141019205125075,0.003472474851407603,-0.008975857882920431,-0.9843284664552936,75.38713026046753
dinov2_s,wn30bal,rand6,0.75,2,depth,1000,384,15.929946899414062,1.8468811511993408,-0.0032279710263603822,-0.0003114106857616303,0.0034724740593491603,-0.002916560340598752,-0.3573957193276179,75.97536873817444
dinov2_s,wn30bal,rand6,0.75,3,depth,1000,384,15.929948806762695,1.8432284593582153,0.00044233436000896964,-0.0003114086947144948,0.003472476721815436,0.0007537430547234644,0.0658432515776078,77.39647245407104
dinov2_s,wn30bal,rand6,0.75,4,depth,1000,384,15.929948806762695,1.8413996696472168,-0.005495842458807229,-0.00031140942392549195,0.0034724757779367385,-0.005184433034881737,-0.6599260683294452,75.39254713058472
dinov2_s,wn30bal,rand6,1.0,0,depth,1000,384,15.929949760437012,1.8020018339157104,-0.0029903599910326845,-0.0003114088512250174,0.0034724762858473687,-0.002678951139807667,-0.3268566901833308,76.95505380630493
dinov2_s,wn30bal,rand6,1.0,1,depth,1000,384,15.929947853088379,1.8348405361175537,-0.004303059471714582,-0.0003114104407782939,0.0034724732460572998,-0.003991649030936288,-0.4843218951656575,77.39252948760986
dinov2_s,wn30bal,rand6,1.0,2,depth,1000,384,15.929948806762695,1.8613899946212769,-0.002888616098065011,-0.00031141230816102427,0.0034724711394906113,-0.002577203789903987,-0.2806480850059497,76.14330863952637
