model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s
i21k_b,wn30bal,real,real,0,depth,1000,768,29.085206985473633,1.8026421070098877,-0.02910208822092912,0.0008642510674582507,0.0025566148249713833,-0.02996633928838737,-2.8248891550055917,107.55620265007019
i21k_b,wn30bal,rand6,0.0,0,depth,1000,768,29.085206985473633,1.4283376932144165,0.0018292618852784465,0.0008642475572516447,0.002556616075826633,0.0009650143280268017,0.0884060179442086,105.01452898979187
i21k_b,wn30bal,rand6,0.0,1,depth,1000,768,29.085206985473633,1.4115135669708252,0.005822737235555597,0.0008373751543619884,0.0025302758359327265,0.004985362081193609,0.33652474727744847,105.00864148139954
i21k_b,wn30bal,rand6,0.0,2,depth,1000,768,29.085206985473633,1.427117109298706,0.0012637139798615388,0.0008373722286469737,0.002530274299710843,0.00042634175121456506,0.03697160864954927,106.179044008255
i21k_b,wn30bal,rand6,0.0,3,depth,1000,768,29.085206985473633,1.416293740272522,0.0040624874763414975,0.0008642479946897944,0.0025566147451107643,0.003198239481651703,0.27627205216819617,106.08768820762634
i21k_b,wn30bal,rand6,0.0,4,depth,1000,768,29.085206985473633,1.4176844358444214,0.0012066125110853504,0.0008642502842979308,0.0025566150323686515,0.0003423622267874196,0.027589355222758804,102.75464034080505
i21k_b,wn30bal,rand6,0.25,0,depth,1000,768,29.085206985473633,1.4274965524673462,-0.0005840276981912002,0.000864249876855093,0.0025566129849093787,-0.0014482775750462931,-0.13688297728095614,108.66342377662659
i21k_b,wn30bal,rand6,0.25,1,depth,1000,768,29.085208892822266,1.4218789339065552,0.000501163595262949,0.0008642487169002469,0.0025566154031669303,-0.00036308512163729797,-0.03287028376801126,104.08357048034668
i21k_b,wn30bal,rand6,0.25,2,depth,1000,768,29.085205078125,1.4282065629959106,0.003280655543633132,0.0008642501382445239,0.00255661086471613,0.002416405405388608,0.22384054778498538,107.63952827453613
i21k_b,wn30bal,rand6,0.25,3,depth,1000,768,29.085205078125,1.4272005558013916,0.0035714399615963677,0.0008642510934548972,0.002556612562451217,0.0027071888681414703,0.21016249580739252,107.12289547920227
i21k_b,wn30bal,rand6,0.25,4,depth,1000,768,29.085208892822266,1.4189932346343994,-0.00036461882146844593,0.0008642496332376779,0.002556615522040176,-0.0012288684547061238,-0.10092495802281655,108.41027975082397
i21k_b,wn30bal,rand6,0.5,0,depth,1000,768,29.085206985473633,1.4118255376815796,-0.0022927356071955757,0.0008642500590781546,0.0025566156981879245,-0.0031569856662737304,-0.25844628249327195,106.8742573261261
i21k_b,wn30bal,rand6,0.5,1,depth,1000,768,29.085208892822266,1.4052202701568604,-0.005707992473828333,0.0008642495635017525,0.002556613774209334,-0.006572242037330085,-0.500363064386305,105.86633467674255
i21k_b,wn30bal,rand6,0.5,2,depth,1000,768,29.085206985473633,1.4228392839431763,-0.003094015850427248,0.0008642486429494029,0.002556613064173182,-0.003958264493376651,-0.3035816758283393,105.91397452354431
i21k_b,wn30bal,rand6,0.5,3,depth,1000,768,29.085205078125,1.4437190294265747,-0.005180409379670681,0.0008642500054988608,0.002556612851095398,-0.006044659385169541,-0.48532595866773365,112.6107292175293
i21k_b,wn30bal,rand6,0.5,4,depth,1000,768,29.085203170776367,1.4106931686401367,-0.0043465758122912534,0.0008642468569480685,0.0025566113279099165,-0.005210822669239322,-0.4585758368359017,108.4779109954834
i21k_b,wn30bal,rand6,0.75,0,depth,1000,768,29.085206985473633,1.4178069829940796,-0.002394451418647414,0.0008642485119416954,0.0025566126019810663,-0.0032586999305891096,-0.21366814293442682,111.4338526725769
i21k_b,wn30bal,rand6,0.75,1,depth,1000,768,29.085208892822266,1.4262340068817139,0.0007767854513064804,0.0008642524585771874,0.002556616263058399,-8.746700727070708e-05,-0.006091707110252253,108.43440389633179
i21k_b,wn30bal,rand6,0.75,2,depth,1000,768,29.085206985473633,1.4251151084899902,-0.001113510558310729,0.0008642479902802758,0.00255661449091423,-0.0019777585485910047,-0.1305726007881283,111.26024866104126
i21k_b,wn30bal,rand6,0.75,3,depth,1000,768,29.085206985473633,1.421688199043274,-0.002970502834448885,0.0008642503302282751,0.00255661226979164,-0.0038347531646771597,-0.23183606312466576,109.87323498725891
i21k_b,wn30bal,rand6,0.75,4,depth,1000,768,29.085205078125,1.4212236404418945,-0.0004935451342898967,0.0008642497919301384,0.0025566090614821757,-0.001357794926220035,-0.09212343181388513,108.77940893173218
i21k_b,wn30bal,rand6,1.0,0,depth,1000,768,29.085205078125,1.4287413358688354,-0.002052006657883715,0.0008642473953947627,0.0025566126847684327,-0.0029162540532784776,-0.1943692157278146,111.17977499961853
i21k_b,wn30bal,rand6,1.0,1,depth,1000,768,29.085203170776367,1.427125096321106,-0.001987842632521164,0.0008642489766742062,0.0025566157227311904,-0.00285209160919537,-0.21702084145307404,109.7510712146759
i21k_b,wn30bal,rand6,1.0,2,depth,1000,768,29.085206985473633,1.4245630502700806,0.0012944538970585395,0.0008642510788585772,0.002556615629911041,0.0004302028181999623,0.03338434662288212,110.040363073349
i21k_b,wn30bal,rand6,1.0,3,depth,1000,768,29.085205078125,1.4162778854370117,0.000796739904506627,0.0008642484096962235,0.0025566133701709214,-6.750850518959651e-05,-0.004446273978374423,111.90084838867188
i21k_b,wn30bal,rand6,1.0,4,depth,1000,768,29.085206985473633,1.4196431636810303,-0.0008804343081170729,0.0008642480220361487,0.002556617092268407,-0.0017446823301532216,-0.1336435238961042,108.77061247825623
