model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s
i21k_l,wn30bal,real,real,0,depth,1000,1024,28.387922286987305,1.736889123916626,-0.03535378681230887,-0.0003194142291112659,0.0014513310755701891,-0.0350343725831976,-5.570228900967163,125.15635776519775
i21k_l,wn30bal,rand6,0.0,0,depth,1000,1024,28.387920379638672,1.3789668083190918,0.00827150186043872,-0.00032098298175750465,0.0014939163754874056,0.008592484842196225,0.5403149586916008,128.662456035614
i21k_l,wn30bal,rand6,0.0,1,depth,1000,1024,28.387922286987305,1.3624471426010132,0.008728562287306452,-0.0003158915026815687,0.0014533665231232149,0.00904445378998802,0.6604881377494978,127.47582483291626
i21k_l,wn30bal,rand6,0.0,2,depth,1000,1024,28.387924194335938,1.374380350112915,0.009051760008016885,-0.00032098209181317255,0.0014939178322369096,0.009372742099830057,0.6647162930227142,124.80486965179443
i21k_l,wn30bal,rand6,0.0,3,depth,1000,1024,28.387922286987305,1.3806486129760742,0.012899855350400863,-0.00032098100479229646,0.0014939185010239852,0.01322083635519316,1.0870646824189059,127.77418375015259
i21k_l,wn30bal,rand6,0.0,4,depth,1000,1024,28.387922286987305,1.3801255226135254,0.009350997557916352,-0.0003209822651534869,0.0014939177755802565,0.009671979823069839,0.8061260287955081,126.94573163986206
i21k_l,wn30bal,rand6,0.25,0,depth,1000,1024,28.38791847229004,1.3797144889831543,0.008044672924258395,-0.0003209821352968004,0.00149391525489738,0.008365655059555195,0.5493865001980531,127.30864024162292
i21k_l,wn30bal,rand6,0.25,1,depth,1000,1024,28.387924194335938,1.3697803020477295,0.004136281317316651,-0.00032098321773817997,0.0014939171377981824,0.004457264535054831,0.3847590615362374,127.36827254295349
i21k_l,wn30bal,rand6,0.25,2,depth,1000,1024,28.387922286987305,1.3787423372268677,0.007127736007609853,-0.00032098292045750626,0.0014939172045909273,0.007448718928067359,0.6516907712422046,128.16253185272217
i21k_l,wn30bal,rand6,0.25,3,depth,1000,1024,28.38792610168457,1.3637064695358276,0.009512808045284857,-0.00031941646161188635,0.001451330228475947,0.009832224506896744,0.8134245509403092,128.2720549106598
i21k_l,wn30bal,rand6,0.25,4,depth,1000,1024,28.387922286987305,1.3841370344161987,0.00847041764271278,-0.00032098238772888257,0.0014939149732625765,0.008791400030441663,0.8097085913055526,124.23752069473267
i21k_l,wn30bal,rand6,0.5,0,depth,1000,1024,28.387922286987305,1.366777777671814,-0.0035435679051226965,-0.0003158911344384424,0.0014533701347460531,-0.003227676770684254,-0.2891340226509147,122.57448983192444
i21k_l,wn30bal,rand6,0.5,1,depth,1000,1024,28.387920379638672,1.382132887840271,-0.007525506725503339,-0.0003158901791390778,0.0014533665218400456,-0.007209616546364261,-0.6313963365030419,120.81630158424377
i21k_l,wn30bal,rand6,0.5,2,depth,1000,1024,28.387922286987305,1.3709660768508911,-0.001165791149436421,-0.0003158908616594097,0.0014533666297306448,-0.0008499002877770112,-0.07641745648768433,121.67197751998901
i21k_l,wn30bal,rand6,0.5,3,depth,1000,1024,28.387922286987305,1.3741106986999512,-0.0036319862656953444,-0.00031588884571834286,0.001453366596167821,-0.0033160974199770016,-0.26570280138771946,123.32477760314941
i21k_l,wn30bal,rand6,0.5,4,depth,1000,1024,28.387924194335938,1.3798484802246094,-0.0029228898605287157,-0.0003209833022864442,0.0014939181392962123,-0.0026019065582422716,-0.2372172284830949,120.02884197235107
i21k_l,wn30bal,rand6,0.75,0,depth,1000,1024,28.387922286987305,1.3752305507659912,-0.0026252286171435657,-0.000315893137707414,0.001453369602162711,-0.002309335479436152,-0.24079527637978979,122.51100015640259
i21k_l,wn30bal,rand6,0.75,1,depth,1000,1024,28.387924194335938,1.3904223442077637,0.0027247213742386256,-0.0003158913949517242,0.0014533677351683417,0.0030406127691903497,0.2571373685895817,120.28807759284973
i21k_l,wn30bal,rand6,0.75,2,depth,1000,1024,28.387924194335938,1.3806415796279907,-0.003094267579215257,-0.00032098245147291064,0.0014939178791647397,-0.002773285127742346,-0.2530227114264256,119.92145442962646
i21k_l,wn30bal,rand6,0.75,3,depth,1000,1024,28.38791847229004,1.378172755241394,-0.0026744501451873848,-0.00032098302676202283,0.0014939137965655912,-0.002353467118425362,-0.2376811054107927,116.21893525123596
i21k_l,wn30bal,rand6,0.75,4,depth,1000,1024,28.387924194335938,1.377525806427002,0.0016642937777756744,-0.00031589033312866277,0.001453368828191907,0.001980184110904337,0.1631454019599194,117.46251368522644
i21k_l,wn30bal,rand6,1.0,0,depth,1000,1024,28.387922286987305,1.3610368967056274,-0.008973790180453689,-0.0003158920978071425,0.0014533678338327465,-0.008657898082646547,-0.7113601439692337,115.86103057861328
i21k_l,wn30bal,rand6,1.0,1,depth,1000,1024,28.387922286987305,1.3742201328277588,-0.005486621918398882,-0.0003209836406568259,0.001493915178759982,-0.005165638277742056,-0.43995124545108316,116.75835609436035
i21k_l,wn30bal,rand6,1.0,2,depth,1000,1024,28.387924194335938,1.38389253616333,-0.006852490931929134,-0.00030479645735898426,0.0014373114145991815,-0.006547694474570149,-0.5605860531948975,117.238933801651
i21k_l,wn30bal,rand6,1.0,3,depth,1000,1024,28.387922286987305,1.3781570196151733,-0.008354494477057675,-0.00032098259813504446,0.0014939153319343372,-0.008033511878922631,-0.5667004216604777,118.87119650840759
i21k_l,wn30bal,rand6,1.0,4,depth,1000,1024,28.387922286987305,1.3715108633041382,-0.010498544208443802,-0.000319416566531093,0.0014513308672667632,-0.01017912764191271,-0.8953002252201646,118.56195569038391
