model,frame,partition,s,seed,kind,n,d,hub_rms,ratio,excessB_real,excessB_star,excessB_star_sd,depth,z,time_s
i21k_s,wn30bal,real,real,0,depth,1000,384,16.734357833862305,1.7825034856796265,-0.014150604856526236,0.0014088237466195418,0.0038031150995932865,-0.015559428603145778,-1.723365315778391,76.82788920402527
i21k_s,wn30bal,rand6,0.0,0,depth,1000,384,16.734357833862305,1.3829073905944824,0.005527914252288935,0.0014088261291126073,0.003803116813915851,0.0041190881231763276,0.3380378659195877,78.66614866256714
i21k_s,wn30bal,rand6,0.0,1,depth,1000,384,16.734357833862305,1.3928054571151733,-0.0015092993907119406,0.0014088232095695985,0.0038031153731639482,-0.0029181226002815393,-0.24232201059039482,75.97787308692932
i21k_s,wn30bal,rand6,0.0,2,depth,1000,384,16.734357833862305,1.3906328678131104,0.007969690809344676,0.0014088217002651685,0.0038031148478781768,0.006560869109079508,0.5114444015510444,79.01846241950989
i21k_s,wn30bal,rand6,0.0,3,depth,1000,384,16.734357833862305,1.4122358560562134,0.0007131936981605858,0.0014088235971724192,0.003803118667193947,-0.0006956298990118334,-0.06314107364247683,80.37476134300232
i21k_s,wn30bal,rand6,0.0,4,depth,1000,384,16.734357833862305,1.3845382928848267,0.004211700883947733,0.0014088229612752884,0.00380311477732145,0.002802877922672445,0.22019977015145928,77.55621576309204
i21k_s,wn30bal,rand6,0.25,0,depth,1000,384,16.734355926513672,1.386491060256958,-0.0009810951656495787,0.001408823290687665,0.0038031155060341223,-0.0023899184563372436,-0.23872020378081696,78.55478715896606
i21k_s,wn30bal,rand6,0.25,1,depth,1000,384,16.734357833862305,1.395688772201538,0.0034032269962638723,0.0014088221027096267,0.0038031177832790176,0.0019944048935542453,0.17897354467062376,78.5424919128418
i21k_s,wn30bal,rand6,0.25,2,depth,1000,384,16.734355926513672,1.3822481632232666,0.0023959145557254508,0.0014088227158212062,0.0038031145292437164,0.0009870918399042445,0.0694769431891106,77.55575108528137
i21k_s,wn30bal,rand6,0.25,3,depth,1000,384,16.734357833862305,1.4072659015655518,-0.0015871202927353473,0.0014088251788731145,0.003803112449188587,-0.0029959454716084618,-0.22846591103634414,78.71447491645813
i21k_s,wn30bal,rand6,0.25,4,depth,1000,384,16.734357833862305,1.3836785554885864,0.005428396684229939,0.0014088229685096376,0.0038031153495212615,0.004019573715720301,0.3363703008104595,76.41870379447937
i21k_s,wn30bal,rand6,0.5,0,depth,1000,384,16.734357833862305,1.3847649097442627,0.002390119061729437,0.001408824595513447,0.003803113947415855,0.00098129446621599,0.0682376155860566,79.92394137382507
i21k_s,wn30bal,rand6,0.5,1,depth,1000,384,16.734357833862305,1.3976466655731201,0.001856267384044541,0.0014088249365835303,0.0038031168132858493,0.00044744244746101067,0.03184166432033127,78.8310604095459
i21k_s,wn30bal,rand6,0.5,2,depth,1000,384,16.734357833862305,1.3989288806915283,0.0011056038817320035,0.0014088239338578418,0.003803115975018355,-0.00030322005212583825,-0.02357938075943418,79.6080276966095
i21k_s,wn30bal,rand6,0.5,3,depth,1000,384,16.734357833862305,1.3847832679748535,-0.002273620456002323,0.0014088243070439544,0.003803114949952914,-0.0036824447630462776,-0.3154376400252508,77.59921789169312
i21k_s,wn30bal,rand6,0.5,4,depth,1000,384,16.734357833862305,1.388698935508728,-0.003334835146777168,0.0014088239825256269,0.0038031147710742737,-0.004743659129302795,-0.4758343495233998,78.87613415718079
i21k_s,wn30bal,rand6,0.75,0,depth,1000,384,16.734355926513672,1.403965950012207,0.004415826761574218,0.0014088223324293576,0.00380311347412992,0.0030070044291448605,0.2882579803034395,78.25695514678955
i21k_s,wn30bal,rand6,0.75,1,depth,1000,384,16.734357833862305,1.4031989574432373,-0.0037651844927271694,0.0014088216996725148,0.0038031145596246424,-0.005174006192399684,-0.46378938818462706,78.76182246208191
i21k_s,wn30bal,rand6,0.75,2,depth,1000,384,16.734357833862305,1.4071667194366455,-0.0007288687352725587,0.0014088246810419745,0.0038031140265608484,-0.002137693416314533,-0.1857491203909058,79.2746946811676
i21k_s,wn30bal,rand6,0.75,3,depth,1000,384,16.734355926513672,1.404383897781372,-0.0036221606995989336,0.0014088221027518666,0.003803116413676843,-0.0050309828023508,-0.5819028952031677,80.35083222389221
i21k_s,wn30bal,rand6,0.75,4,depth,1000,384,16.734355926513672,1.4029905796051025,0.0009441391695120815,0.0014088221428451106,0.0038031115746346997,-0.0004646829733330291,-0.03532147002318365,79.6882209777832
i21k_s,wn30bal,rand6,1.0,0,depth,1000,384,16.734357833862305,1.3729727268218994,-0.012672892074465827,0.001408822653446297,0.003803117631436261,-0.014081714727912125,-1.257971448264346,80.31123423576355
i21k_s,wn30bal,rand6,1.0,1,depth,1000,384,16.734357833862305,1.3979928493499756,-0.009940265162986794,0.0014088249942340897,0.003803114303639292,-0.011349090157220885,-1.0521169236960737,79.59723472595215
i21k_s,wn30bal,rand6,1.0,2,depth,1000,384,16.734355926513672,1.4182214736938477,-0.011534845529294999,0.0014088232493833035,0.0038031121315246523,-0.012943668778678303,-1.2813660207575845,83.38193845748901
i21k_s,wn30bal,rand6,1.0,3,depth,1000,384,16.734357833862305,1.384297490119934,-0.004952071540435421,0.0014088212565803587,0.0038031181208492675,-0.00636089279701578,-0.5400115353518329,79.39080905914307
i21k_s,wn30bal,rand6,1.0,4,depth,1000,384,16.734357833862305,1.4040806293487549,-0.010205049879172617,0.0014088231363148587,0.00380311286379057,-0.011613873015487476,-1.222358218635602,80.24334859848022
