clip_b    wn30bal real      s=real  seed 0 depth: real -0.0125 star +0.0014 depth -0.0140 z -1.29 (88s)
clip_b    wn30bal rand6     s=0.0   seed 0 depth: real +0.0009 star +0.0014 depth -0.0005 z -0.05 (87s)
clip_b    wn30bal rand6     s=0.0   seed 1 depth: real -0.0021 star +0.0014 depth -0.0035 z -0.30 (91s)
clip_b    wn30bal rand6     s=0.0   seed 2 depth: real +0.0016 star +0.0014 depth +0.0002 z +0.01 (91s)
clip_b    wn30bal rand6     s=0.0   seed 3 depth: real -0.0016 star +0.0014 depth -0.0030 z -0.32 (90s)
clip_b    wn30bal rand6     s=0.0   seed 4 depth: real -0.0024 star +0.0014 depth -0.0038 z -0.34 (86s)
clip_b    wn30bal rand6     s=0.25  seed 0 depth: real +0.0030 star +0.0014 depth +0.0015 z +0.13 (87s)
clip_b    wn30bal rand6     s=0.25  seed 1 depth: real +0.0032 star +0.0014 depth +0.0017 z +0.13 (89s)
clip_b    wn30bal rand6     s=0.25  seed 2 depth: real -0.0024 star +0.0014 depth -0.0039 z -0.33 (89s)
clip_b    wn30bal rand6     s=0.25  seed 3 depth: real +0.0002 star +0.0014 depth -0.0013 z -0.10 (88s)
clip_b    wn30bal rand6     s=0.25  seed 4 depth: real +0.0031 star +0.0014 depth +0.0017 z +0.14 (90s)
clip_b    wn30bal rand6     s=0.5   seed 0 depth: real -0.0005 star +0.0014 depth -0.0019 z -0.12 (87s)
clip_b    wn30bal rand6     s=0.5   seed 1 depth: real +0.0008 star +0.0014 depth -0.0006 z -0.04 (85s)
clip_b    wn30bal rand6     s=0.5   seed 2 depth: real -0.0012 star +0.0014 depth -0.0026 z -0.19 (86s)
clip_b    wn30bal rand6     s=0.5   seed 3 depth: real +0.0013 star +0.0014 depth -0.0001 z -0.01 (85s)
clip_b    wn30bal rand6     s=0.5   seed 4 depth: real -0.0010 star +0.0014 depth -0.0024 z -0.21 (86s)
clip_b    wn30bal rand6     s=0.75  seed 0 depth: real +0.0051 star +0.0014 depth +0.0037 z +0.26 (85s)
clip_b    wn30bal rand6     s=0.75  seed 1 depth: real +0.0011 star +0.0014 depth -0.0004 z -0.02 (86s)
clip_b    wn30bal rand6     s=0.75  seed 2 depth: real +0.0048 star +0.0014 depth +0.0033 z +0.23 (83s)
clip_b    wn30bal rand6     s=0.75  seed 3 depth: real +0.0046 star +0.0014 depth +0.0032 z +0.23 (71s)
clip_b    wn30bal rand6     s=0.75  seed 4 depth: real -0.0018 star +0.0014 depth -0.0033 z -0.24 (79s)
clip_b    wn30bal rand6     s=1.0   seed 0 depth: real -0.0070 star +0.0014 depth -0.0084 z -0.63 (76s)
clip_b    wn30bal rand6     s=1.0   seed 1 depth: real -0.0040 star +0.0014 depth -0.0054 z -0.40 (71s)
clip_b    wn30bal rand6     s=1.0   seed 2 depth: real -0.0070 star +0.0014 depth -0.0084 z -0.62 (71s)
clip_b    wn30bal rand6     s=1.0   seed 3 depth: real -0.0106 star +0.0014 depth -0.0121 z -0.90 (48s)
clip_b    wn30bal rand6     s=1.0   seed 4 depth: real -0.0073 star +0.0014 depth -0.0088 z -0.59 (53s)
PART DONE wn30bal clip_b
