clip_l    wn30bal real      s=real  seed 0 depth: real -0.0065 star -0.0002 depth -0.0063 z -0.68 (103s)
clip_l    wn30bal rand6     s=0.0   seed 0 depth: real +0.0011 star -0.0002 depth +0.0013 z +0.10 (102s)
clip_l    wn30bal rand6     s=0.0   seed 1 depth: real -0.0010 star -0.0003 depth -0.0008 z -0.07 (105s)
clip_l    wn30bal rand6     s=0.0   seed 2 depth: real +0.0048 star -0.0003 depth +0.0050 z +0.49 (102s)
clip_l    wn30bal rand6     s=0.0   seed 3 depth: real +0.0019 star -0.0004 depth +0.0022 z +0.16 (104s)
clip_l    wn30bal rand6     s=0.0   seed 4 depth: real +0.0018 star -0.0003 depth +0.0021 z +0.16 (103s)
clip_l    wn30bal rand6     s=0.25  seed 0 depth: real +0.0032 star -0.0003 depth +0.0034 z +0.26 (108s)
clip_l    wn30bal rand6     s=0.25  seed 1 depth: real +0.0028 star -0.0003 depth +0.0031 z +0.22 (103s)
clip_l    wn30bal rand6     s=0.25  seed 2 depth: real +0.0030 star -0.0003 depth +0.0032 z +0.27 (101s)
clip_l    wn30bal rand6     s=0.25  seed 3 depth: real -0.0003 star -0.0003 depth -0.0001 z -0.00 (99s)
clip_l    wn30bal rand6     s=0.25  seed 4 depth: real +0.0024 star -0.0004 depth +0.0028 z +0.21 (101s)
clip_l    wn30bal rand6     s=0.5   seed 0 depth: real +0.0024 star -0.0003 depth +0.0027 z +0.19 (100s)
clip_l    wn30bal rand6     s=0.5   seed 1 depth: real +0.0031 star -0.0003 depth +0.0034 z +0.26 (100s)
clip_l    wn30bal rand6     s=0.5   seed 2 depth: real +0.0020 star -0.0002 depth +0.0022 z +0.16 (101s)
clip_l    wn30bal rand6     s=0.5   seed 3 depth: real +0.0034 star -0.0002 depth +0.0036 z +0.30 (101s)
clip_l    wn30bal rand6     s=0.5   seed 4 depth: real +0.0058 star -0.0004 depth +0.0062 z +0.48 (95s)
clip_l    wn30bal rand6     s=0.75  seed 0 depth: real -0.0015 star -0.0003 depth -0.0012 z -0.09 (66s)
clip_l    wn30bal rand6     s=0.75  seed 1 depth: real -0.0005 star -0.0002 depth -0.0003 z -0.02 (63s)
clip_l    wn30bal rand6     s=0.75  seed 2 depth: real -0.0045 star -0.0003 depth -0.0042 z -0.30 (66s)
clip_l    wn30bal rand6     s=0.75  seed 3 depth: real -0.0013 star -0.0002 depth -0.0011 z -0.08 (53s)
clip_l    wn30bal rand6     s=0.75  seed 4 depth: real -0.0020 star -0.0003 depth -0.0018 z -0.14 (55s)
clip_l    wn30bal rand6     s=1.0   seed 0 depth: real -0.0084 star -0.0003 depth -0.0082 z -0.48 (53s)
clip_l    wn30bal rand6     s=1.0   seed 1 depth: real -0.0140 star -0.0004 depth -0.0137 z -0.82 (56s)
clip_l    wn30bal rand6     s=1.0   seed 2 depth: real -0.0107 star -0.0002 depth -0.0105 z -0.65 (63s)
clip_l    wn30bal rand6     s=1.0   seed 3 depth: real -0.0098 star -0.0002 depth -0.0096 z -0.63 (50s)
clip_l    wn30bal rand6     s=1.0   seed 4 depth: real -0.0121 star -0.0003 depth -0.0118 z -0.77 (50s)
PART DONE wn30bal clip_l
