dinov1_b  wn30bal real      s=real  seed 0 depth: real -0.0096 star -0.0005 depth -0.0091 z -0.98 (115s)
dinov1_b  wn30bal rand6     s=0.0   seed 0 depth: real +0.0113 star -0.0005 depth +0.0118 z +1.41 (110s)
dinov1_b  wn30bal rand6     s=0.0   seed 1 depth: real +0.0037 star -0.0005 depth +0.0042 z +0.33 (113s)
dinov1_b  wn30bal rand6     s=0.0   seed 2 depth: real +0.0016 star -0.0005 depth +0.0021 z +0.17 (109s)
dinov1_b  wn30bal rand6     s=0.0   seed 3 depth: real +0.0035 star -0.0005 depth +0.0040 z +0.33 (111s)
dinov1_b  wn30bal rand6     s=0.0   seed 4 depth: real +0.0038 star -0.0005 depth +0.0043 z +0.41 (109s)
dinov1_b  wn30bal rand6     s=0.25  seed 0 depth: real +0.0079 star -0.0005 depth +0.0084 z +0.61 (109s)
dinov1_b  wn30bal rand6     s=0.25  seed 1 depth: real +0.0044 star -0.0005 depth +0.0049 z +0.37 (111s)
dinov1_b  wn30bal rand6     s=0.25  seed 2 depth: real +0.0042 star -0.0005 depth +0.0047 z +0.46 (111s)
dinov1_b  wn30bal rand6     s=0.25  seed 3 depth: real +0.0061 star -0.0005 depth +0.0066 z +0.52 (112s)
dinov1_b  wn30bal rand6     s=0.25  seed 4 depth: real +0.0051 star -0.0005 depth +0.0055 z +0.41 (110s)
dinov1_b  wn30bal rand6     s=0.5   seed 0 depth: real -0.0009 star -0.0005 depth -0.0005 z -0.04 (105s)
dinov1_b  wn30bal rand6     s=0.5   seed 1 depth: real +0.0064 star -0.0005 depth +0.0069 z +0.49 (108s)
dinov1_b  wn30bal rand6     s=0.5   seed 2 depth: real +0.0011 star -0.0005 depth +0.0016 z +0.13 (108s)
dinov1_b  wn30bal rand6     s=0.5   seed 3 depth: real +0.0008 star -0.0005 depth +0.0012 z +0.09 (106s)
dinov1_b  wn30bal rand6     s=0.5   seed 4 depth: real +0.0016 star -0.0005 depth +0.0021 z +0.13 (106s)
dinov1_b  wn30bal rand6     s=0.75  seed 0 depth: real +0.0036 star -0.0005 depth +0.0040 z +0.32 (104s)
dinov1_b  wn30bal rand6     s=0.75  seed 1 depth: real +0.0042 star -0.0005 depth +0.0047 z +0.32 (103s)
dinov1_b  wn30bal rand6     s=0.75  seed 2 depth: real -0.0032 star -0.0005 depth -0.0027 z -0.25 (107s)
dinov1_b  wn30bal rand6     s=0.75  seed 3 depth: real +0.0012 star -0.0005 depth +0.0017 z +0.15 (103s)
dinov1_b  wn30bal rand6     s=0.75  seed 4 depth: real -0.0014 star -0.0005 depth -0.0010 z -0.07 (103s)
dinov1_b  wn30bal rand6     s=1.0   seed 0 depth: real +0.0047 star -0.0005 depth +0.0052 z +0.38 (104s)
dinov1_b  wn30bal rand6     s=1.0   seed 1 depth: real -0.0006 star -0.0005 depth -0.0001 z -0.01 (103s)
dinov1_b  wn30bal rand6     s=1.0   seed 2 depth: real +0.0045 star -0.0005 depth +0.0050 z +0.42 (100s)
dinov1_b  wn30bal rand6     s=1.0   seed 3 depth: real +0.0079 star -0.0005 depth +0.0084 z +0.76 (101s)
dinov1_b  wn30bal rand6     s=1.0   seed 4 depth: real +0.0005 star -0.0005 depth +0.0010 z +0.09 (101s)
PART DONE wn30bal dinov1_b
