dinov2_b  wn30bal real      s=real  seed 0 depth: real -0.0039 star +0.0000 depth -0.0040 z -0.32 (108s)
dinov2_b  wn30bal rand6     s=0.0   seed 0 depth: real +0.0033 star +0.0000 depth +0.0032 z +0.34 (105s)
dinov2_b  wn30bal rand6     s=0.0   seed 1 depth: real +0.0065 star +0.0000 depth +0.0064 z +0.71 (100s)
dinov2_b  wn30bal rand6     s=0.0   seed 2 depth: real +0.0027 star +0.0000 depth +0.0027 z +0.26 (102s)
dinov2_b  wn30bal rand6     s=0.0   seed 3 depth: real +0.0042 star +0.0000 depth +0.0042 z +0.40 (102s)
dinov2_b  wn30bal rand6     s=0.0   seed 4 depth: real +0.0050 star +0.0000 depth +0.0050 z +0.55 (100s)
dinov2_b  wn30bal rand6     s=0.25  seed 0 depth: real +0.0023 star +0.0000 depth +0.0023 z +0.25 (100s)
dinov2_b  wn30bal rand6     s=0.25  seed 1 depth: real +0.0025 star +0.0000 depth +0.0025 z +0.25 (100s)
dinov2_b  wn30bal rand6     s=0.25  seed 2 depth: real +0.0020 star +0.0000 depth +0.0020 z +0.19 (100s)
dinov2_b  wn30bal rand6     s=0.25  seed 3 depth: real +0.0035 star +0.0000 depth +0.0034 z +0.38 (99s)
dinov2_b  wn30bal rand6     s=0.25  seed 4 depth: real +0.0015 star +0.0000 depth +0.0015 z +0.16 (102s)
dinov2_b  wn30bal rand6     s=0.5   seed 0 depth: real +0.0023 star +0.0000 depth +0.0022 z +0.21 (102s)
dinov2_b  wn30bal rand6     s=0.5   seed 1 depth: real -0.0001 star +0.0000 depth -0.0002 z -0.02 (100s)
dinov2_b  wn30bal rand6     s=0.5   seed 2 depth: real -0.0032 star +0.0000 depth -0.0033 z -0.31 (102s)
dinov2_b  wn30bal rand6     s=0.5   seed 3 depth: real -0.0042 star +0.0000 depth -0.0042 z -0.40 (102s)
dinov2_b  wn30bal rand6     s=0.5   seed 4 depth: real +0.0009 star +0.0000 depth +0.0008 z +0.08 (103s)
dinov2_b  wn30bal rand6     s=0.75  seed 0 depth: real -0.0065 star +0.0000 depth -0.0065 z -0.58 (101s)
dinov2_b  wn30bal rand6     s=0.75  seed 1 depth: real -0.0072 star +0.0000 depth -0.0072 z -0.57 (104s)
dinov2_b  wn30bal rand6     s=0.75  seed 2 depth: real -0.0064 star +0.0000 depth -0.0065 z -0.56 (102s)
dinov2_b  wn30bal rand6     s=0.75  seed 3 depth: real -0.0078 star +0.0000 depth -0.0078 z -0.78 (99s)
dinov2_b  wn30bal rand6     s=0.75  seed 4 depth: real -0.0094 star +0.0000 depth -0.0094 z -0.82 (98s)
dinov2_b  wn30bal rand6     s=1.0   seed 0 depth: real -0.0022 star +0.0000 depth -0.0022 z -0.18 (99s)
dinov2_b  wn30bal rand6     s=1.0   seed 1 depth: real -0.0061 star +0.0000 depth -0.0061 z -0.53 (98s)
dinov2_b  wn30bal rand6     s=1.0   seed 2 depth: real -0.0033 star +0.0000 depth -0.0034 z -0.29 (99s)
dinov2_b  wn30bal rand6     s=1.0   seed 3 depth: real -0.0057 star +0.0000 depth -0.0058 z -0.45 (98s)
dinov2_b  wn30bal rand6     s=1.0   seed 4 depth: real -0.0039 star +0.0000 depth -0.0039 z -0.36 (100s)
PART DONE wn30bal dinov2_b
