dinov2_g  wn30bal real      s=real  seed 0 depth: real -0.0098 star +0.0004 depth -0.0102 z -0.93 (147s)
dinov2_g  wn30bal rand6     s=0.0   seed 0 depth: real -0.0004 star +0.0004 depth -0.0008 z -0.09 (147s)
dinov2_g  wn30bal rand6     s=0.0   seed 1 depth: real -0.0001 star +0.0005 depth -0.0005 z -0.07 (149s)
dinov2_g  wn30bal rand6     s=0.0   seed 2 depth: real +0.0008 star +0.0004 depth +0.0004 z +0.06 (149s)
dinov2_g  wn30bal rand6     s=0.0   seed 3 depth: real +0.0020 star +0.0005 depth +0.0016 z +0.23 (147s)
dinov2_g  wn30bal rand6     s=0.0   seed 4 depth: real +0.0003 star +0.0004 depth -0.0002 z -0.02 (148s)
dinov2_g  wn30bal rand6     s=0.25  seed 0 depth: real -0.0022 star +0.0004 depth -0.0027 z -0.37 (141s)
dinov2_g  wn30bal rand6     s=0.25  seed 1 depth: real -0.0011 star +0.0004 depth -0.0016 z -0.21 (144s)
dinov2_g  wn30bal rand6     s=0.25  seed 2 depth: real -0.0038 star +0.0004 depth -0.0042 z -0.58 (143s)
dinov2_g  wn30bal rand6     s=0.25  seed 3 depth: real -0.0014 star +0.0004 depth -0.0018 z -0.36 (144s)
dinov2_g  wn30bal rand6     s=0.25  seed 4 depth: real -0.0021 star +0.0005 depth -0.0026 z -0.38 (143s)
dinov2_g  wn30bal rand6     s=0.5   seed 0 depth: real -0.0039 star +0.0005 depth -0.0043 z -0.59 (136s)
dinov2_g  wn30bal rand6     s=0.5   seed 1 depth: real -0.0050 star +0.0005 depth -0.0055 z -0.78 (129s)
dinov2_g  wn30bal rand6     s=0.5   seed 2 depth: real -0.0029 star +0.0005 depth -0.0034 z -0.42 (114s)
dinov2_g  wn30bal rand6     s=0.5   seed 3 depth: real -0.0042 star +0.0005 depth -0.0047 z -0.52 (113s)
dinov2_g  wn30bal rand6     s=0.5   seed 4 depth: real -0.0040 star +0.0005 depth -0.0045 z -0.52 (81s)
dinov2_g  wn30bal rand6     s=0.75  seed 0 depth: real -0.0056 star +0.0005 depth -0.0060 z -0.61 (81s)
dinov2_g  wn30bal rand6     s=0.75  seed 1 depth: real -0.0053 star +0.0004 depth -0.0058 z -0.66 (69s)
dinov2_g  wn30bal rand6     s=0.75  seed 2 depth: real -0.0074 star +0.0005 depth -0.0078 z -0.80 (67s)
dinov2_g  wn30bal rand6     s=0.75  seed 3 depth: real -0.0092 star +0.0005 depth -0.0097 z -1.05 (59s)
dinov2_g  wn30bal rand6     s=0.75  seed 4 depth: real -0.0054 star +0.0004 depth -0.0058 z -0.55 (47s)
dinov2_g  wn30bal rand6     s=1.0   seed 0 depth: real -0.0068 star +0.0004 depth -0.0072 z -0.69 (48s)
dinov2_g  wn30bal rand6     s=1.0   seed 1 depth: real -0.0074 star +0.0005 depth -0.0078 z -0.71 (47s)
dinov2_g  wn30bal rand6     s=1.0   seed 2 depth: real -0.0058 star +0.0004 depth -0.0062 z -0.56 (48s)
dinov2_g  wn30bal rand6     s=1.0   seed 3 depth: real -0.0058 star +0.0005 depth -0.0063 z -0.57 (47s)
dinov2_g  wn30bal rand6     s=1.0   seed 4 depth: real -0.0041 star +0.0005 depth -0.0045 z -0.38 (47s)
PART DONE wn30bal dinov2_g
