dinov2_l  wn30bal real      s=real  seed 0 depth: real -0.0190 star -0.0006 depth -0.0185 z -1.70 (120s)
dinov2_l  wn30bal rand6     s=0.0   seed 0 depth: real +0.0054 star -0.0006 depth +0.0060 z +0.69 (118s)
dinov2_l  wn30bal rand6     s=0.0   seed 1 depth: real +0.0055 star -0.0006 depth +0.0060 z +0.52 (116s)
dinov2_l  wn30bal rand6     s=0.0   seed 2 depth: real +0.0051 star -0.0006 depth +0.0056 z +0.66 (116s)
dinov2_l  wn30bal rand6     s=0.0   seed 3 depth: real +0.0028 star -0.0006 depth +0.0034 z +0.43 (116s)
dinov2_l  wn30bal rand6     s=0.0   seed 4 depth: real +0.0007 star -0.0006 depth +0.0012 z +0.15 (119s)
dinov2_l  wn30bal rand6     s=0.25  seed 0 depth: real +0.0016 star -0.0006 depth +0.0021 z +0.31 (118s)
dinov2_l  wn30bal rand6     s=0.25  seed 1 depth: real -0.0009 star -0.0006 depth -0.0004 z -0.06 (116s)
dinov2_l  wn30bal rand6     s=0.25  seed 2 depth: real -0.0002 star -0.0006 depth +0.0003 z +0.06 (117s)
dinov2_l  wn30bal rand6     s=0.25  seed 3 depth: real +0.0025 star -0.0006 depth +0.0031 z +0.35 (118s)
dinov2_l  wn30bal rand6     s=0.25  seed 4 depth: real +0.0027 star -0.0006 depth +0.0032 z +0.34 (115s)
dinov2_l  wn30bal rand6     s=0.5   seed 0 depth: real -0.0066 star -0.0006 depth -0.0061 z -0.80 (114s)
dinov2_l  wn30bal rand6     s=0.5   seed 1 depth: real -0.0084 star -0.0006 depth -0.0078 z -0.86 (114s)
dinov2_l  wn30bal rand6     s=0.5   seed 2 depth: real -0.0054 star -0.0006 depth -0.0049 z -0.53 (115s)
dinov2_l  wn30bal rand6     s=0.5   seed 3 depth: real -0.0045 star -0.0006 depth -0.0039 z -0.42 (113s)
dinov2_l  wn30bal rand6     s=0.5   seed 4 depth: real -0.0040 star -0.0006 depth -0.0034 z -0.41 (114s)
dinov2_l  wn30bal rand6     s=0.75  seed 0 depth: real -0.0083 star -0.0006 depth -0.0078 z -0.65 (109s)
dinov2_l  wn30bal rand6     s=0.75  seed 1 depth: real -0.0074 star -0.0006 depth -0.0069 z -0.61 (103s)
dinov2_l  wn30bal rand6     s=0.75  seed 2 depth: real -0.0084 star -0.0006 depth -0.0078 z -0.78 (103s)
dinov2_l  wn30bal rand6     s=0.75  seed 3 depth: real -0.0071 star -0.0006 depth -0.0066 z -0.60 (90s)
dinov2_l  wn30bal rand6     s=0.75  seed 4 depth: real -0.0087 star -0.0006 depth -0.0081 z -0.78 (90s)
dinov2_l  wn30bal rand6     s=1.0   seed 0 depth: real -0.0045 star -0.0006 depth -0.0040 z -0.32 (91s)
dinov2_l  wn30bal rand6     s=1.0   seed 1 depth: real -0.0080 star -0.0006 depth -0.0074 z -0.60 (85s)
dinov2_l  wn30bal rand6     s=1.0   seed 2 depth: real -0.0066 star -0.0006 depth -0.0060 z -0.53 (55s)
dinov2_l  wn30bal rand6     s=1.0   seed 3 depth: real -0.0032 star -0.0006 depth -0.0027 z -0.22 (53s)
dinov2_l  wn30bal rand6     s=1.0   seed 4 depth: real -0.0020 star -0.0006 depth -0.0014 z -0.11 (53s)
PART DONE wn30bal dinov2_l
