dinov2_s  wn30bal real      s=real  seed 0 depth: real +0.0012 star -0.0003 depth +0.0015 z +0.12 (81s)
dinov2_s  wn30bal rand6     s=0.0   seed 0 depth: real -0.0016 star -0.0003 depth -0.0013 z -0.20 (78s)
dinov2_s  wn30bal rand6     s=0.0   seed 1 depth: real -0.0068 star -0.0003 depth -0.0065 z -0.64 (81s)
dinov2_s  wn30bal rand6     s=0.0   seed 2 depth: real -0.0028 star -0.0003 depth -0.0025 z -0.29 (81s)
dinov2_s  wn30bal rand6     s=0.0   seed 3 depth: real -0.0017 star -0.0003 depth -0.0014 z -0.15 (81s)
dinov2_s  wn30bal rand6     s=0.0   seed 4 depth: real +0.0030 star -0.0003 depth +0.0033 z +0.31 (79s)
dinov2_s  wn30bal rand6     s=0.25  seed 0 depth: real +0.0007 star -0.0003 depth +0.0010 z +0.12 (79s)
dinov2_s  wn30bal rand6     s=0.25  seed 1 depth: real +0.0001 star -0.0003 depth +0.0004 z +0.03 (77s)
dinov2_s  wn30bal rand6     s=0.25  seed 2 depth: real -0.0006 star -0.0003 depth -0.0002 z -0.03 (79s)
dinov2_s  wn30bal rand6     s=0.25  seed 3 depth: real -0.0031 star -0.0003 depth -0.0028 z -0.36 (80s)
dinov2_s  wn30bal rand6     s=0.25  seed 4 depth: real -0.0031 star -0.0003 depth -0.0028 z -0.37 (78s)
dinov2_s  wn30bal rand6     s=0.5   seed 0 depth: real +0.0031 star -0.0003 depth +0.0034 z +0.33 (79s)
dinov2_s  wn30bal rand6     s=0.5   seed 1 depth: real -0.0037 star -0.0003 depth -0.0034 z -0.31 (79s)
dinov2_s  wn30bal rand6     s=0.5   seed 2 depth: real -0.0073 star -0.0003 depth -0.0070 z -0.77 (80s)
dinov2_s  wn30bal rand6     s=0.5   seed 3 depth: real -0.0022 star -0.0003 depth -0.0019 z -0.16 (76s)
dinov2_s  wn30bal rand6     s=0.5   seed 4 depth: real -0.0027 star -0.0003 depth -0.0024 z -0.23 (76s)
dinov2_s  wn30bal rand6     s=0.75  seed 0 depth: real -0.0045 star -0.0003 depth -0.0042 z -0.45 (77s)
dinov2_s  wn30bal rand6     s=0.75  seed 1 depth: real -0.0093 star -0.0003 depth -0.0090 z -0.98 (75s)
dinov2_s  wn30bal rand6     s=0.75  seed 2 depth: real -0.0032 star -0.0003 depth -0.0029 z -0.36 (76s)
dinov2_s  wn30bal rand6     s=0.75  seed 3 depth: real +0.0004 star -0.0003 depth +0.0008 z +0.07 (77s)
dinov2_s  wn30bal rand6     s=0.75  seed 4 depth: real -0.0055 star -0.0003 depth -0.0052 z -0.66 (75s)
dinov2_s  wn30bal rand6     s=1.0   seed 0 depth: real -0.0030 star -0.0003 depth -0.0027 z -0.33 (77s)
dinov2_s  wn30bal rand6     s=1.0   seed 1 depth: real -0.0043 star -0.0003 depth -0.0040 z -0.48 (77s)
dinov2_s  wn30bal rand6     s=1.0   seed 2 depth: real -0.0029 star -0.0003 depth -0.0026 z -0.28 (76s)
dinov2_s  wn30bal rand6     s=1.0   seed 3 depth: real -0.0021 star -0.0003 depth -0.0018 z -0.18 (77s)
dinov2_s  wn30bal rand6     s=1.0   seed 4 depth: real -0.0002 star -0.0003 depth +0.0001 z +0.01 (76s)
PART DONE wn30bal dinov2_s
