i21k_b    wn30bal real      s=real  seed 0 depth: real -0.0291 star +0.0009 depth -0.0300 z -2.82 (108s)
i21k_b    wn30bal rand6     s=0.0   seed 0 depth: real +0.0018 star +0.0009 depth +0.0010 z +0.09 (105s)
i21k_b    wn30bal rand6     s=0.0   seed 1 depth: real +0.0058 star +0.0008 depth +0.0050 z +0.34 (105s)
i21k_b    wn30bal rand6     s=0.0   seed 2 depth: real +0.0013 star +0.0008 depth +0.0004 z +0.04 (106s)
i21k_b    wn30bal rand6     s=0.0   seed 3 depth: real +0.0041 star +0.0009 depth +0.0032 z +0.28 (106s)
i21k_b    wn30bal rand6     s=0.0   seed 4 depth: real +0.0012 star +0.0009 depth +0.0003 z +0.03 (103s)
i21k_b    wn30bal rand6     s=0.25  seed 0 depth: real -0.0006 star +0.0009 depth -0.0014 z -0.14 (109s)
i21k_b    wn30bal rand6     s=0.25  seed 1 depth: real +0.0005 star +0.0009 depth -0.0004 z -0.03 (104s)
i21k_b    wn30bal rand6     s=0.25  seed 2 depth: real +0.0033 star +0.0009 depth +0.0024 z +0.22 (108s)
i21k_b    wn30bal rand6     s=0.25  seed 3 depth: real +0.0036 star +0.0009 depth +0.0027 z +0.21 (107s)
i21k_b    wn30bal rand6     s=0.25  seed 4 depth: real -0.0004 star +0.0009 depth -0.0012 z -0.10 (108s)
i21k_b    wn30bal rand6     s=0.5   seed 0 depth: real -0.0023 star +0.0009 depth -0.0032 z -0.26 (107s)
i21k_b    wn30bal rand6     s=0.5   seed 1 depth: real -0.0057 star +0.0009 depth -0.0066 z -0.50 (106s)
i21k_b    wn30bal rand6     s=0.5   seed 2 depth: real -0.0031 star +0.0009 depth -0.0040 z -0.30 (106s)
i21k_b    wn30bal rand6     s=0.5   seed 3 depth: real -0.0052 star +0.0009 depth -0.0060 z -0.49 (113s)
i21k_b    wn30bal rand6     s=0.5   seed 4 depth: real -0.0043 star +0.0009 depth -0.0052 z -0.46 (108s)
i21k_b    wn30bal rand6     s=0.75  seed 0 depth: real -0.0024 star +0.0009 depth -0.0033 z -0.21 (111s)
i21k_b    wn30bal rand6     s=0.75  seed 1 depth: real +0.0008 star +0.0009 depth -0.0001 z -0.01 (108s)
i21k_b    wn30bal rand6     s=0.75  seed 2 depth: real -0.0011 star +0.0009 depth -0.0020 z -0.13 (111s)
i21k_b    wn30bal rand6     s=0.75  seed 3 depth: real -0.0030 star +0.0009 depth -0.0038 z -0.23 (110s)
i21k_b    wn30bal rand6     s=0.75  seed 4 depth: real -0.0005 star +0.0009 depth -0.0014 z -0.09 (109s)
i21k_b    wn30bal rand6     s=1.0   seed 0 depth: real -0.0021 star +0.0009 depth -0.0029 z -0.19 (111s)
i21k_b    wn30bal rand6     s=1.0   seed 1 depth: real -0.0020 star +0.0009 depth -0.0029 z -0.22 (110s)
i21k_b    wn30bal rand6     s=1.0   seed 2 depth: real +0.0013 star +0.0009 depth +0.0004 z +0.03 (110s)
i21k_b    wn30bal rand6     s=1.0   seed 3 depth: real +0.0008 star +0.0009 depth -0.0001 z -0.00 (112s)
i21k_b    wn30bal rand6     s=1.0   seed 4 depth: real -0.0009 star +0.0009 depth -0.0017 z -0.13 (109s)
PART DONE wn30bal i21k_b
