i21k_l    wn30bal real      s=real  seed 0 depth: real -0.0354 star -0.0003 depth -0.0350 z -5.57 (125s)
i21k_l    wn30bal rand6     s=0.0   seed 0 depth: real +0.0083 star -0.0003 depth +0.0086 z +0.54 (129s)
i21k_l    wn30bal rand6     s=0.0   seed 1 depth: real +0.0087 star -0.0003 depth +0.0090 z +0.66 (127s)
i21k_l    wn30bal rand6     s=0.0   seed 2 depth: real +0.0091 star -0.0003 depth +0.0094 z +0.66 (125s)
i21k_l    wn30bal rand6     s=0.0   seed 3 depth: real +0.0129 star -0.0003 depth +0.0132 z +1.09 (128s)
i21k_l    wn30bal rand6     s=0.0   seed 4 depth: real +0.0094 star -0.0003 depth +0.0097 z +0.81 (127s)
i21k_l    wn30bal rand6     s=0.25  seed 0 depth: real +0.0080 star -0.0003 depth +0.0084 z +0.55 (127s)
i21k_l    wn30bal rand6     s=0.25  seed 1 depth: real +0.0041 star -0.0003 depth +0.0045 z +0.38 (127s)
i21k_l    wn30bal rand6     s=0.25  seed 2 depth: real +0.0071 star -0.0003 depth +0.0074 z +0.65 (128s)
i21k_l    wn30bal rand6     s=0.25  seed 3 depth: real +0.0095 star -0.0003 depth +0.0098 z +0.81 (128s)
i21k_l    wn30bal rand6     s=0.25  seed 4 depth: real +0.0085 star -0.0003 depth +0.0088 z +0.81 (124s)
i21k_l    wn30bal rand6     s=0.5   seed 0 depth: real -0.0035 star -0.0003 depth -0.0032 z -0.29 (123s)
i21k_l    wn30bal rand6     s=0.5   seed 1 depth: real -0.0075 star -0.0003 depth -0.0072 z -0.63 (121s)
i21k_l    wn30bal rand6     s=0.5   seed 2 depth: real -0.0012 star -0.0003 depth -0.0008 z -0.08 (122s)
i21k_l    wn30bal rand6     s=0.5   seed 3 depth: real -0.0036 star -0.0003 depth -0.0033 z -0.27 (123s)
i21k_l    wn30bal rand6     s=0.5   seed 4 depth: real -0.0029 star -0.0003 depth -0.0026 z -0.24 (120s)
i21k_l    wn30bal rand6     s=0.75  seed 0 depth: real -0.0026 star -0.0003 depth -0.0023 z -0.24 (123s)
i21k_l    wn30bal rand6     s=0.75  seed 1 depth: real +0.0027 star -0.0003 depth +0.0030 z +0.26 (120s)
i21k_l    wn30bal rand6     s=0.75  seed 2 depth: real -0.0031 star -0.0003 depth -0.0028 z -0.25 (120s)
i21k_l    wn30bal rand6     s=0.75  seed 3 depth: real -0.0027 star -0.0003 depth -0.0024 z -0.24 (116s)
i21k_l    wn30bal rand6     s=0.75  seed 4 depth: real +0.0017 star -0.0003 depth +0.0020 z +0.16 (117s)
i21k_l    wn30bal rand6     s=1.0   seed 0 depth: real -0.0090 star -0.0003 depth -0.0087 z -0.71 (116s)
i21k_l    wn30bal rand6     s=1.0   seed 1 depth: real -0.0055 star -0.0003 depth -0.0052 z -0.44 (117s)
i21k_l    wn30bal rand6     s=1.0   seed 2 depth: real -0.0069 star -0.0003 depth -0.0065 z -0.56 (117s)
i21k_l    wn30bal rand6     s=1.0   seed 3 depth: real -0.0084 star -0.0003 depth -0.0080 z -0.57 (119s)
i21k_l    wn30bal rand6     s=1.0   seed 4 depth: real -0.0105 star -0.0003 depth -0.0102 z -0.90 (119s)
PART DONE wn30bal i21k_l
