i21k_s    wn30bal real      s=real  seed 0 depth: real -0.0142 star +0.0014 depth -0.0156 z -1.72 (77s)
i21k_s    wn30bal rand6     s=0.0   seed 0 depth: real +0.0055 star +0.0014 depth +0.0041 z +0.34 (79s)
i21k_s    wn30bal rand6     s=0.0   seed 1 depth: real -0.0015 star +0.0014 depth -0.0029 z -0.24 (76s)
i21k_s    wn30bal rand6     s=0.0   seed 2 depth: real +0.0080 star +0.0014 depth +0.0066 z +0.51 (79s)
i21k_s    wn30bal rand6     s=0.0   seed 3 depth: real +0.0007 star +0.0014 depth -0.0007 z -0.06 (80s)
i21k_s    wn30bal rand6     s=0.0   seed 4 depth: real +0.0042 star +0.0014 depth +0.0028 z +0.22 (78s)
i21k_s    wn30bal rand6     s=0.25  seed 0 depth: real -0.0010 star +0.0014 depth -0.0024 z -0.24 (79s)
i21k_s    wn30bal rand6     s=0.25  seed 1 depth: real +0.0034 star +0.0014 depth +0.0020 z +0.18 (79s)
i21k_s    wn30bal rand6     s=0.25  seed 2 depth: real +0.0024 star +0.0014 depth +0.0010 z +0.07 (78s)
i21k_s    wn30bal rand6     s=0.25  seed 3 depth: real -0.0016 star +0.0014 depth -0.0030 z -0.23 (79s)
i21k_s    wn30bal rand6     s=0.25  seed 4 depth: real +0.0054 star +0.0014 depth +0.0040 z +0.34 (76s)
i21k_s    wn30bal rand6     s=0.5   seed 0 depth: real +0.0024 star +0.0014 depth +0.0010 z +0.07 (80s)
i21k_s    wn30bal rand6     s=0.5   seed 1 depth: real +0.0019 star +0.0014 depth +0.0004 z +0.03 (79s)
i21k_s    wn30bal rand6     s=0.5   seed 2 depth: real +0.0011 star +0.0014 depth -0.0003 z -0.02 (80s)
i21k_s    wn30bal rand6     s=0.5   seed 3 depth: real -0.0023 star +0.0014 depth -0.0037 z -0.32 (78s)
i21k_s    wn30bal rand6     s=0.5   seed 4 depth: real -0.0033 star +0.0014 depth -0.0047 z -0.48 (79s)
i21k_s    wn30bal rand6     s=0.75  seed 0 depth: real +0.0044 star +0.0014 depth +0.0030 z +0.29 (78s)
i21k_s    wn30bal rand6     s=0.75  seed 1 depth: real -0.0038 star +0.0014 depth -0.0052 z -0.46 (79s)
i21k_s    wn30bal rand6     s=0.75  seed 2 depth: real -0.0007 star +0.0014 depth -0.0021 z -0.19 (79s)
i21k_s    wn30bal rand6     s=0.75  seed 3 depth: real -0.0036 star +0.0014 depth -0.0050 z -0.58 (80s)
i21k_s    wn30bal rand6     s=0.75  seed 4 depth: real +0.0009 star +0.0014 depth -0.0005 z -0.04 (80s)
i21k_s    wn30bal rand6     s=1.0   seed 0 depth: real -0.0127 star +0.0014 depth -0.0141 z -1.26 (80s)
i21k_s    wn30bal rand6     s=1.0   seed 1 depth: real -0.0099 star +0.0014 depth -0.0113 z -1.05 (80s)
i21k_s    wn30bal rand6     s=1.0   seed 2 depth: real -0.0115 star +0.0014 depth -0.0129 z -1.28 (83s)
i21k_s    wn30bal rand6     s=1.0   seed 3 depth: real -0.0050 star +0.0014 depth -0.0064 z -0.54 (79s)
i21k_s    wn30bal rand6     s=1.0   seed 4 depth: real -0.0102 star +0.0014 depth -0.0116 z -1.22 (80s)
PART DONE wn30bal i21k_s
