i21k_t    wn30bal real      s=real  seed 0 depth: real -0.0226 star +0.0025 depth -0.0251 z -2.08 (66s)
i21k_t    wn30bal rand6     s=0.0   seed 0 depth: real -0.0040 star +0.0025 depth -0.0065 z -0.43 (69s)
i21k_t    wn30bal rand6     s=0.0   seed 1 depth: real +0.0064 star +0.0025 depth +0.0039 z +0.24 (69s)
i21k_t    wn30bal rand6     s=0.0   seed 2 depth: real -0.0044 star +0.0025 depth -0.0070 z -0.58 (67s)
i21k_t    wn30bal rand6     s=0.0   seed 3 depth: real -0.0012 star +0.0025 depth -0.0037 z -0.28 (66s)
i21k_t    wn30bal rand6     s=0.0   seed 4 depth: real -0.0010 star +0.0025 depth -0.0036 z -0.35 (69s)
i21k_t    wn30bal rand6     s=0.25  seed 0 depth: real +0.0039 star +0.0025 depth +0.0014 z +0.09 (68s)
i21k_t    wn30bal rand6     s=0.25  seed 1 depth: real -0.0056 star +0.0025 depth -0.0081 z -0.73 (67s)
i21k_t    wn30bal rand6     s=0.25  seed 2 depth: real -0.0172 star +0.0025 depth -0.0197 z -1.42 (66s)
i21k_t    wn30bal rand6     s=0.25  seed 3 depth: real -0.0034 star +0.0025 depth -0.0059 z -0.53 (67s)
i21k_t    wn30bal rand6     s=0.25  seed 4 depth: real -0.0044 star +0.0025 depth -0.0069 z -0.60 (72s)
i21k_t    wn30bal rand6     s=0.5   seed 0 depth: real -0.0116 star +0.0025 depth -0.0141 z -1.07 (70s)
i21k_t    wn30bal rand6     s=0.5   seed 1 depth: real -0.0141 star +0.0025 depth -0.0166 z -1.10 (67s)
i21k_t    wn30bal rand6     s=0.5   seed 2 depth: real -0.0181 star +0.0025 depth -0.0207 z -1.60 (68s)
i21k_t    wn30bal rand6     s=0.5   seed 3 depth: real -0.0065 star +0.0025 depth -0.0090 z -0.75 (68s)
i21k_t    wn30bal rand6     s=0.5   seed 4 depth: real -0.0103 star +0.0025 depth -0.0128 z -1.14 (66s)
i21k_t    wn30bal rand6     s=0.75  seed 0 depth: real -0.0012 star +0.0025 depth -0.0037 z -0.31 (68s)
i21k_t    wn30bal rand6     s=0.75  seed 1 depth: real -0.0061 star +0.0025 depth -0.0086 z -0.74 (69s)
i21k_t    wn30bal rand6     s=0.75  seed 2 depth: real -0.0082 star +0.0025 depth -0.0107 z -0.83 (70s)
i21k_t    wn30bal rand6     s=0.75  seed 3 depth: real +0.0002 star +0.0025 depth -0.0023 z -0.21 (68s)
i21k_t    wn30bal rand6     s=0.75  seed 4 depth: real -0.0046 star +0.0025 depth -0.0071 z -0.49 (64s)
i21k_t    wn30bal rand6     s=1.0   seed 0 depth: real -0.0214 star +0.0025 depth -0.0239 z -2.53 (64s)
i21k_t    wn30bal rand6     s=1.0   seed 1 depth: real -0.0100 star +0.0025 depth -0.0125 z -1.25 (65s)
i21k_t    wn30bal rand6     s=1.0   seed 2 depth: real -0.0066 star +0.0025 depth -0.0091 z -0.87 (65s)
i21k_t    wn30bal rand6     s=1.0   seed 3 depth: real -0.0052 star +0.0025 depth -0.0077 z -0.71 (66s)
i21k_t    wn30bal rand6     s=1.0   seed 4 depth: real -0.0087 star +0.0025 depth -0.0112 z -0.99 (65s)
PART DONE wn30bal i21k_t
